File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/252.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_06h-ChiBS_2
Injection Number	63
Position	GA8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	23:55:13
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,150912
Signal Max.	114,236130
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,092404
0,002500	0,1	-0,064553
0,004167	0,1	-0,077127
0,005833	0,1	-0,093611
0,007500	0,1	-0,048588
0,009167	0,1	-0,073848
0,010833	0,1	-0,095813
0,012500	0,1	-0,078141
0,014167	0,1	-0,062391
0,015833	0,1	-0,106201
0,017500	0,1	-0,060592
0,019167	0,1	-0,037733
0,020833	0,1	-0,092070
0,022500	0,1	-0,090675
0,024167	0,1	-0,054372
0,025833	0,1	-0,081652
0,027500	0,1	-0,115371
0,029167	0,1	-0,090652
0,030833	0,1	-0,108916
0,032500	0,1	-0,129136
0,034167	0,1	-0,105651
0,035833	0,1	-0,127850
0,037500	0,1	-0,121595
0,039167	0,1	-0,150912
0,040833	0,1	-0,105060
0,042500	0,1	-0,100045
0,044167	0,1	-0,095194
0,045833	0,1	-0,114626
0,047500	0,1	-0,110605
0,049167	0,1	-0,091553
0,050833	0,1	-0,097102
0,052500	0,1	-0,082080
0,054167	0,1	-0,075019
0,055833	0,1	-0,068405
0,057500	0,1	-0,102653
0,059167	0,1	-0,041265
0,060833	0,1	-0,072897
0,062500	0,1	-0,081383
0,064167	0,1	-0,060297
0,065833	0,1	-0,127944
0,067500	0,1	-0,096010
0,069167	0,1	-0,054885
0,070833	0,1	-0,124210
0,072500	0,1	-0,106032
0,074167	0,1	-0,077639
0,075833	0,1	-0,096702
0,077500	0,1	-0,087693
0,079167	0,1	-0,064779
0,080833	0,1	-0,093716
0,082500	0,1	-0,070600
0,084167	0,1	-0,078061
0,085833	0,1	-0,064214
0,087500	0,1	-0,050131
0,089167	0,1	-0,059797
0,090833	0,1	-0,086734
0,092500	0,1	-0,068301
0,094167	0,1	-0,077172
0,095833	0,1	-0,057998
0,097500	0,1	-0,047647
0,099167	0,1	-0,049485
0,100833	0,1	-0,059462
0,102500	0,1	-0,045446
0,104167	0,1	-0,086349
0,105833	0,1	-0,084889
0,107500	0,1	-0,055340
0,109167	0,1	-0,069456
0,110833	0,1	-0,094710
0,112500	0,1	-0,080699
0,114167	0,1	-0,114085
0,115833	0,1	-0,144759
0,117500	0,1	-0,091331
0,119167	0,1	-0,114350
0,120833	0,1	-0,129579
0,122500	0,1	-0,112353
0,124167	0,1	-0,122465
0,125833	0,1	-0,110440
0,127500	0,1	-0,118378
0,129167	0,1	-0,088876
0,130833	0,1	-0,076137
0,132500	0,1	-0,119012
0,134167	0,1	-0,078592
0,135833	0,1	-0,083663
0,137500	0,1	-0,079137
0,139167	0,1	-0,083602
0,140833	0,1	-0,088806
0,142500	0,1	-0,033256
0,144167	0,1	-0,052175
0,145833	0,1	-0,037166
0,147500	0,1	-0,099996
0,149167	0,1	-0,079126
0,150833	0,1	-0,115969
0,152500	0,1	-0,079404
0,154167	0,1	-0,072094
0,155833	0,1	-0,070763
0,157500	0,1	-0,093013
0,159167	0,1	-0,097456
0,160833	0,1	-0,090633
0,162500	0,1	-0,094928
0,164167	0,1	-0,075022
0,165833	0,1	-0,075827
0,167500	0,1	-0,076884
0,169167	0,1	-0,126006
0,170833	0,1	-0,099956
0,172500	0,1	-0,061771
0,174167	0,1	-0,086353
0,175833	0,1	-0,073381
0,177500	0,1	-0,071176
0,179167	0,1	-0,046354
0,180833	0,1	-0,123197
0,182500	0,1	-0,106277
0,184167	0,1	-0,096297
0,185833	0,1	-0,076111
0,187500	0,1	-0,066080
0,189167	0,1	-0,085130
0,190833	0,1	-0,097530
0,192500	0,1	-0,105170
0,194167	0,1	-0,108262
0,195833	0,1	-0,061023
0,197500	0,1	-0,075349
0,199167	0,1	-0,112462
0,200833	0,1	-0,083213
0,202500	0,1	-0,073045
0,204167	0,1	-0,059210
0,205833	0,1	-0,060212
0,207500	0,1	-0,073375
0,209167	0,1	-0,092202
0,210833	0,1	-0,067782
0,212500	0,1	-0,065602
0,214167	0,1	-0,078915
0,215833	0,1	-0,101064
0,217500	0,1	-0,067769
0,219167	0,1	-0,081382
0,220833	0,1	-0,060693
0,222500	0,1	-0,053221
0,224167	0,1	-0,107087
0,225833	0,1	-0,084789
0,227500	0,1	-0,072799
0,229167	0,1	-0,079885
0,230833	0,1	-0,068988
0,232500	0,1	-0,025538
0,234167	0,1	-0,094472
0,235833	0,1	-0,065704
0,237500	0,1	-0,118367
0,239167	0,1	-0,039983
0,240833	0,1	-0,058956
0,242500	0,1	-0,069229
0,244167	0,1	-0,048986
0,245833	0,1	-0,050005
0,247500	0,1	-0,088553
0,249167	0,1	-0,101110
0,250833	0,1	-0,069300
0,252500	0,1	-0,093197
0,254167	0,1	-0,067555
0,255833	0,1	-0,092001
0,257500	0,1	-0,064781
0,259167	0,1	-0,087288
0,260833	0,1	-0,060756
0,262500	0,1	-0,093011
0,264167	0,1	-0,058141
0,265833	0,1	-0,101488
0,267500	0,1	-0,064448
0,269167	0,1	-0,108957
0,270833	0,1	-0,092149
0,272500	0,1	-0,083439
0,274167	0,1	-0,094424
0,275833	0,1	-0,070981
0,277500	0,1	-0,058532
0,279167	0,1	-0,124149
0,280833	0,1	-0,099883
0,282500	0,1	-0,067830
0,284167	0,1	-0,107611
0,285833	0,1	-0,075455
0,287500	0,1	-0,111881
0,289167	0,1	-0,070069
0,290833	0,1	-0,066710
0,292500	0,1	-0,108665
0,294167	0,1	-0,087880
0,295833	0,1	-0,085012
0,297500	0,1	-0,120758
0,299167	0,1	-0,107042
0,300833	0,1	-0,083258
0,302500	0,1	-0,094959
0,304167	0,1	-0,080103
0,305833	0,1	-0,073672
0,307500	0,1	-0,086233
0,309167	0,1	-0,067430
0,310833	0,1	-0,038085
0,312500	0,1	-0,048012
0,314167	0,1	-0,090408
0,315833	0,1	-0,058740
0,317500	0,1	-0,082329
0,319167	0,1	-0,085180
0,320833	0,1	-0,067245
0,322500	0,1	-0,094359
0,324167	0,1	-0,093784
0,325833	0,1	-0,073217
0,327500	0,1	-0,055980
0,329167	0,1	-0,070787
0,330833	0,1	-0,067134
0,332500	0,1	-0,083906
0,334167	0,1	-0,093519
0,335833	0,1	-0,053457
0,337500	0,1	-0,079555
0,339167	0,1	-0,099793
0,340833	0,1	-0,070171
0,342500	0,1	-0,091085
0,344167	0,1	-0,055677
0,345833	0,1	-0,084882
0,347500	0,1	-0,094530
0,349167	0,1	-0,074792
0,350833	0,1	-0,080326
0,352500	0,1	-0,072325
0,354167	0,1	-0,091895
0,355833	0,1	-0,104771
0,357500	0,1	-0,042259
0,359167	0,1	-0,086930
0,360833	0,1	-0,064841
0,362500	0,1	-0,115170
0,364167	0,1	-0,051579
0,365833	0,1	-0,076297
0,367500	0,1	-0,030850
0,369167	0,1	-0,045228
0,370833	0,1	-0,068890
0,372500	0,1	-0,071741
0,374167	0,1	-0,074356
0,375833	0,1	-0,057890
0,377500	0,1	-0,062816
0,379167	0,1	-0,076820
0,380833	0,1	-0,079868
0,382500	0,1	-0,058245
0,384167	0,1	-0,122391
0,385833	0,1	-0,057813
0,387500	0,1	-0,076757
0,389167	0,1	-0,031036
0,390833	0,1	-0,081388
0,392500	0,1	-0,070501
0,394167	0,1	-0,033482
0,395833	0,1	-0,093752
0,397500	0,1	-0,042591
0,399167	0,1	-0,084023
0,400833	0,1	-0,029567
0,402500	0,1	-0,103485
0,404167	0,1	-0,074581
0,405833	0,1	-0,077693
0,407500	0,1	-0,072217
0,409167	0,1	-0,094191
0,410833	0,1	-0,051547
0,412500	0,1	-0,071322
0,414167	0,1	-0,082025
0,415833	0,1	-0,043215
0,417500	0,1	-0,052848
0,419167	0,1	-0,057596
0,420833	0,1	-0,110652
0,422500	0,1	-0,071705
0,424167	0,1	-0,078704
0,425833	0,1	-0,090718
0,427500	0,1	-0,038214
0,429167	0,1	-0,082061
0,430833	0,1	-0,044578
0,432500	0,1	-0,086244
0,434167	0,1	-0,105564
0,435833	0,1	-0,071580
0,437500	0,1	-0,108330
0,439167	0,1	-0,047448
0,440833	0,1	-0,080258
0,442500	0,1	-0,062179
0,444167	0,1	-0,089137
0,445833	0,1	-0,094134
0,447500	0,1	-0,074010
0,449167	0,1	-0,030700
0,450833	0,1	-0,086837
0,452500	0,1	-0,042316
0,454167	0,1	-0,063624
0,455833	0,1	-0,120814
0,457500	0,1	-0,092762
0,459167	0,1	-0,093997
0,460833	0,1	-0,094488
0,462500	0,1	-0,066605
0,464167	0,1	-0,077876
0,465833	0,1	-0,059653
0,467500	0,1	-0,086627
0,469167	0,1	-0,063115
0,470833	0,1	-0,067424
0,472500	0,1	-0,065417
0,474167	0,1	-0,046811
0,475833	0,1	-0,050127
0,477500	0,1	-0,085339
0,479167	0,1	-0,078461
0,480833	0,1	-0,071177
0,482500	0,1	-0,044487
0,484167	0,1	-0,101362
0,485833	0,1	-0,052377
0,487500	0,1	-0,067957
