File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/781.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_06h-ChiBS_3
Injection Number	64
Position	GB1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	00:01:44
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,185464
Signal Max.	117,838172
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,080985
0,002500	0,1	-0,103296
0,004167	0,1	-0,145782
0,005833	0,1	-0,120331
0,007500	0,1	-0,115641
0,009167	0,1	-0,083045
0,010833	0,1	-0,122621
0,012500	0,1	-0,136894
0,014167	0,1	-0,113074
0,015833	0,1	-0,115594
0,017500	0,1	-0,097722
0,019167	0,1	-0,094795
0,020833	0,1	-0,086172
0,022500	0,1	-0,103050
0,024167	0,1	-0,104314
0,025833	0,1	-0,110557
0,027500	0,1	-0,135720
0,029167	0,1	-0,122176
0,030833	0,1	-0,136374
0,032500	0,1	-0,135735
0,034167	0,1	-0,142346
0,035833	0,1	-0,126923
0,037500	0,1	-0,129156
0,039167	0,1	-0,121690
0,040833	0,1	-0,178624
0,042500	0,1	-0,183779
0,044167	0,1	-0,129231
0,045833	0,1	-0,185464
0,047500	0,1	-0,134391
0,049167	0,1	-0,092461
0,050833	0,1	-0,112606
0,052500	0,1	-0,108277
0,054167	0,1	-0,108250
0,055833	0,1	-0,101164
0,057500	0,1	-0,078666
0,059167	0,1	-0,104845
0,060833	0,1	-0,068609
0,062500	0,1	-0,123191
0,064167	0,1	-0,130609
0,065833	0,1	-0,070915
0,067500	0,1	-0,107027
0,069167	0,1	-0,073481
0,070833	0,1	-0,098857
0,072500	0,1	-0,085592
0,074167	0,1	-0,111503
0,075833	0,1	-0,073588
0,077500	0,1	-0,123835
0,079167	0,1	-0,088683
0,080833	0,1	-0,108502
0,082500	0,1	-0,097905
0,084167	0,1	-0,097305
0,085833	0,1	-0,061952
0,087500	0,1	-0,148924
0,089167	0,1	-0,089065
0,090833	0,1	-0,062821
0,092500	0,1	-0,090560
0,094167	0,1	-0,089570
0,095833	0,1	-0,090752
0,097500	0,1	-0,067403
0,099167	0,1	-0,067607
0,100833	0,1	-0,075196
0,102500	0,1	-0,111235
0,104167	0,1	-0,114873
0,105833	0,1	-0,089823
0,107500	0,1	-0,123697
0,109167	0,1	-0,164284
0,110833	0,1	-0,182244
0,112500	0,1	-0,111218
0,114167	0,1	-0,134690
0,115833	0,1	-0,128515
0,117500	0,1	-0,131480
0,119167	0,1	-0,125758
0,120833	0,1	-0,123082
0,122500	0,1	-0,149124
0,124167	0,1	-0,171529
0,125833	0,1	-0,141070
0,127500	0,1	-0,127153
0,129167	0,1	-0,093975
0,130833	0,1	-0,132926
0,132500	0,1	-0,116946
0,134167	0,1	-0,136346
0,135833	0,1	-0,089680
0,137500	0,1	-0,103273
0,139167	0,1	-0,142031
0,140833	0,1	-0,140666
0,142500	0,1	-0,129124
0,144167	0,1	-0,122298
0,145833	0,1	-0,080970
0,147500	0,1	-0,112145
0,149167	0,1	-0,112883
0,150833	0,1	-0,104255
0,152500	0,1	-0,112608
0,154167	0,1	-0,101207
0,155833	0,1	-0,096062
0,157500	0,1	-0,114473
0,159167	0,1	-0,132227
0,160833	0,1	-0,130884
0,162500	0,1	-0,115741
0,164167	0,1	-0,078686
0,165833	0,1	-0,092905
0,167500	0,1	-0,102277
0,169167	0,1	-0,073108
0,170833	0,1	-0,097818
0,172500	0,1	-0,115882
0,174167	0,1	-0,092810
0,175833	0,1	-0,061722
0,177500	0,1	-0,132504
0,179167	0,1	-0,112219
0,180833	0,1	-0,104359
0,182500	0,1	-0,078666
0,184167	0,1	-0,125041
0,185833	0,1	-0,132626
0,187500	0,1	-0,080540
0,189167	0,1	-0,130387
0,190833	0,1	-0,122791
0,192500	0,1	-0,104793
0,194167	0,1	-0,144224
0,195833	0,1	-0,080832
0,197500	0,1	-0,112207
0,199167	0,1	-0,100090
0,200833	0,1	-0,089901
0,202500	0,1	-0,116276
0,204167	0,1	-0,101578
0,205833	0,1	-0,076050
0,207500	0,1	-0,096427
0,209167	0,1	-0,116155
0,210833	0,1	-0,119574
0,212500	0,1	-0,086030
0,214167	0,1	-0,144124
0,215833	0,1	-0,113631
0,217500	0,1	-0,074478
0,219167	0,1	-0,079010
0,220833	0,1	-0,100865
0,222500	0,1	-0,098467
0,224167	0,1	-0,167921
0,225833	0,1	-0,089213
0,227500	0,1	-0,120837
0,229167	0,1	-0,079541
0,230833	0,1	-0,103270
0,232500	0,1	-0,083059
0,234167	0,1	-0,060268
0,235833	0,1	-0,076893
0,237500	0,1	-0,092756
0,239167	0,1	-0,073583
0,240833	0,1	-0,155047
0,242500	0,1	-0,142581
0,244167	0,1	-0,137225
0,245833	0,1	-0,134758
0,247500	0,1	-0,094513
0,249167	0,1	-0,092866
0,250833	0,1	-0,066221
0,252500	0,1	-0,118322
0,254167	0,1	-0,105454
0,255833	0,1	-0,109473
0,257500	0,1	-0,068631
0,259167	0,1	-0,100326
0,260833	0,1	-0,071571
0,262500	0,1	-0,102148
0,264167	0,1	-0,092807
0,265833	0,1	-0,067754
0,267500	0,1	-0,108682
0,269167	0,1	-0,080428
0,270833	0,1	-0,093815
0,272500	0,1	-0,094548
0,274167	0,1	-0,099336
0,275833	0,1	-0,119200
0,277500	0,1	-0,106704
0,279167	0,1	-0,087312
0,280833	0,1	-0,084200
0,282500	0,1	-0,137254
0,284167	0,1	-0,121861
0,285833	0,1	-0,085511
0,287500	0,1	-0,099977
0,289167	0,1	-0,106778
0,290833	0,1	-0,105432
0,292500	0,1	-0,103319
0,294167	0,1	-0,083121
0,295833	0,1	-0,095353
0,297500	0,1	-0,122951
0,299167	0,1	-0,114876
0,300833	0,1	-0,108648
0,302500	0,1	-0,131829
0,304167	0,1	-0,082423
0,305833	0,1	-0,131057
0,307500	0,1	-0,091694
0,309167	0,1	-0,084614
0,310833	0,1	-0,076610
0,312500	0,1	-0,096904
0,314167	0,1	-0,103255
0,315833	0,1	-0,116552
0,317500	0,1	-0,128449
0,319167	0,1	-0,096526
0,320833	0,1	-0,121040
0,322500	0,1	-0,093805
0,324167	0,1	-0,095227
0,325833	0,1	-0,115115
0,327500	0,1	-0,073111
0,329167	0,1	-0,089190
0,330833	0,1	-0,055708
0,332500	0,1	-0,116804
0,334167	0,1	-0,096128
0,335833	0,1	-0,134043
0,337500	0,1	-0,098846
0,339167	0,1	-0,132178
0,340833	0,1	-0,068327
0,342500	0,1	-0,126263
0,344167	0,1	-0,129305
0,345833	0,1	-0,094141
0,347500	0,1	-0,097161
0,349167	0,1	-0,089362
0,350833	0,1	-0,122888
0,352500	0,1	-0,107699
0,354167	0,1	-0,101082
0,355833	0,1	-0,100062
0,357500	0,1	-0,122371
0,359167	0,1	-0,088374
0,360833	0,1	-0,123882
0,362500	0,1	-0,052650
0,364167	0,1	-0,089289
0,365833	0,1	-0,125397
0,367500	0,1	-0,062953
0,369167	0,1	-0,087779
0,370833	0,1	-0,092697
0,372500	0,1	-0,097259
0,374167	0,1	-0,089072
0,375833	0,1	-0,124050
0,377500	0,1	-0,074234
0,379167	0,1	-0,107995
0,380833	0,1	-0,121377
0,382500	0,1	-0,119498
0,384167	0,1	-0,084621
0,385833	0,1	-0,097652
0,387500	0,1	-0,043972
0,389167	0,1	-0,088521
0,390833	0,1	-0,099767
0,392500	0,1	-0,096724
0,394167	0,1	-0,097347
0,395833	0,1	-0,081896
0,397500	0,1	-0,104388
0,399167	0,1	-0,086046
0,400833	0,1	-0,100850
0,402500	0,1	-0,066762
0,404167	0,1	-0,095703
0,405833	0,1	-0,116505
0,407500	0,1	-0,085905
0,409167	0,1	-0,116935
0,410833	0,1	-0,097099
0,412500	0,1	-0,080383
0,414167	0,1	-0,106571
0,415833	0,1	-0,111843
0,417500	0,1	-0,080102
0,419167	0,1	-0,088178
0,420833	0,1	-0,096017
0,422500	0,1	-0,084573
0,424167	0,1	-0,107751
0,425833	0,1	-0,066744
0,427500	0,1	-0,043614
0,429167	0,1	-0,120534
0,430833	0,1	-0,117111
0,432500	0,1	-0,117611
0,434167	0,1	-0,055633
0,435833	0,1	-0,079587
0,437500	0,1	-0,102319
0,439167	0,1	-0,108830
0,440833	0,1	-0,069978
0,442500	0,1	-0,090245
0,444167	0,1	-0,056723
0,445833	0,1	-0,113776
0,447500	0,1	-0,087729
0,449167	0,1	-0,079013
0,450833	0,1	-0,088714
0,452500	0,1	-0,107401
0,454167	0,1	-0,093678
0,455833	0,1	-0,087539
0,457500	0,1	-0,117084
0,459167	0,1	-0,078897
0,460833	0,1	-0,092343
0,462500	0,1	-0,105578
0,464167	0,1	-0,082103
0,465833	0,1	-0,082473
0,467500	0,1	-0,097486
0,469167	0,1	-0,100518
0,470833	0,1	-0,109641
0,472500	0,1	-0,105124
0,474167	0,1	-0,074105
0,475833	0,1	-0,057589
0,477500	0,1	-0,104612
0,479167	0,1	-0,104957
0,480833	0,1	-0,090093
0,482500	0,1	-0,099478
0,484167	0,1	-0,083392
0,485833	0,1	-0,085546
0,487500	0,1	-0,105119
0,489167	0,1	-0,071201
0,490833	0,1	-0,088960
0,492500	0,1	-0,097117
0,494167	0,1	-0,113460
0,495833	0,1	-0,092624
0,497500	0,1	-0,100806
0,499167	0,1	-0,084327
0,500833	0,1	-0,064149
0,502500	0,1	-0,080170
0,504167	0,1	-0,103481
0,505833	0,1	-0,071328
0,507500	0,1	-0,045357
0,509167	0,1	-0,152703
0,510833	0,1	-0,075402
0,512500	0,1	-0,101490
0,514167	0,1	-0,084723
0,515833	0,1	-0,081814
0,517500	0,1	-0,066448
0,519167	0,1	-0,112827
0,520833	0,1	-0,093539
0,522500	0,1	-0,102631
0,524167	0,1	-0,101909
0,525833	0,1	-0,081402
0,527500	0,1	-0,096639
0,529167	0,1	-0,101223
0,530833	0,1	-0,065061
0,532500	0,1	-0,097569
0,534167	0,1	-0,103193
0,535833	0,1	-0,079969
0,537500	0,1	-0,087140
0,539167	0,1	-0,097426
0,540833	0,1	-0,062719
0,542500	0,1	-0,119915
0,544167	0,1	-0,093454
0,545833	0,1	-0,101696
0,547500	0,1	-0,047582
0,549167	0,1	-0,089703
0,550833	0,1	-0,091931
0,552500	0,1	-0,083848
0,554167	0,1	-0,115174
0,555833	0,1	-0,093989
0,557500	0,1	-0,063694
0,559167	0,1	-0,093791
0,560833	0,1	-0,076278
0,562500	0,1	-0,067379
0,564167	0,1	-0,073557
