File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/201.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-ChiBI_3
Injection Number	41
Position	RE4
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	21:33:12
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,175687
Signal Max.	127,850726
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,109561
0,002500	0,1	-0,067542
0,004167	0,1	-0,133890
0,005833	0,1	-0,124693
0,007500	0,1	-0,075501
0,009167	0,1	-0,074617
0,010833	0,1	-0,082699
0,012500	0,1	-0,068466
0,014167	0,1	-0,113605
0,015833	0,1	-0,105860
0,017500	0,1	-0,068766
0,019167	0,1	-0,102948
0,020833	0,1	-0,074305
0,022500	0,1	-0,097127
0,024167	0,1	-0,112486
0,025833	0,1	-0,053151
0,027500	0,1	-0,105047
0,029167	0,1	-0,140728
0,030833	0,1	-0,091177
0,032500	0,1	-0,080453
0,034167	0,1	-0,120372
0,035833	0,1	-0,131807
0,037500	0,1	-0,099673
0,039167	0,1	-0,115189
0,040833	0,1	-0,109843
0,042500	0,1	-0,115292
0,044167	0,1	-0,175687
0,045833	0,1	-0,125093
0,047500	0,1	-0,092887
0,049167	0,1	-0,103443
0,050833	0,1	-0,113613
0,052500	0,1	-0,097391
0,054167	0,1	-0,083030
0,055833	0,1	-0,086182
0,057500	0,1	-0,113164
0,059167	0,1	-0,113515
0,060833	0,1	-0,091241
0,062500	0,1	-0,115894
0,064167	0,1	-0,125786
0,065833	0,1	-0,087897
0,067500	0,1	-0,070821
0,069167	0,1	-0,116541
0,070833	0,1	-0,090018
0,072500	0,1	-0,089659
0,074167	0,1	-0,130965
0,075833	0,1	-0,099552
0,077500	0,1	-0,096228
0,079167	0,1	-0,114806
0,080833	0,1	-0,120190
0,082500	0,1	-0,082009
0,084167	0,1	-0,109517
0,085833	0,1	-0,095620
0,087500	0,1	-0,057688
