File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/944.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-ChiBI_NA
Injection Number	42
Position	RE5
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	21:39:40
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,212553
Signal Max.	151,332283
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,087649
0,002500	0,1	-0,125904
0,004167	0,1	-0,096545
0,005833	0,1	-0,131766
0,007500	0,1	-0,104050
0,009167	0,1	-0,136951
0,010833	0,1	-0,097095
0,012500	0,1	-0,099728
0,014167	0,1	-0,085108
0,015833	0,1	-0,104940
0,017500	0,1	-0,108808
0,019167	0,1	-0,117761
0,020833	0,1	-0,105557
0,022500	0,1	-0,110423
0,024167	0,1	-0,108265
0,025833	0,1	-0,114352
0,027500	0,1	-0,094450
0,029167	0,1	-0,155176
0,030833	0,1	-0,138896
0,032500	0,1	-0,146687
0,034167	0,1	-0,160049
0,035833	0,1	-0,188358
0,037500	0,1	-0,164758
0,039167	0,1	-0,161372
0,040833	0,1	-0,149489
0,042500	0,1	-0,158537
0,044167	0,1	-0,141988
0,045833	0,1	-0,189960
0,047500	0,1	-0,138289
0,049167	0,1	-0,136280
0,050833	0,1	-0,127687
0,052500	0,1	-0,147741
0,054167	0,1	-0,113134
0,055833	0,1	-0,131542
0,057500	0,1	-0,154025
0,059167	0,1	-0,110880
0,060833	0,1	-0,161684
0,062500	0,1	-0,124022
0,064167	0,1	-0,116285
0,065833	0,1	-0,116154
0,067500	0,1	-0,131094
0,069167	0,1	-0,159948
0,070833	0,1	-0,142085
0,072500	0,1	-0,140277
0,074167	0,1	-0,122664
0,075833	0,1	-0,125428
0,077500	0,1	-0,130712
0,079167	0,1	-0,120666
0,080833	0,1	-0,119888
0,082500	0,1	-0,128647
0,084167	0,1	-0,115866
0,085833	0,1	-0,134927
0,087500	0,1	-0,087757
0,089167	0,1	-0,123815
0,090833	0,1	-0,053811
0,092500	0,1	-0,125671
0,094167	0,1	-0,075291
0,095833	0,1	-0,116853
0,097500	0,1	-0,097767
0,099167	0,1	-0,134019
0,100833	0,1	-0,117639
0,102500	0,1	-0,108844
0,104167	0,1	-0,061923
0,105833	0,1	-0,095595
0,107500	0,1	-0,107355
0,109167	0,1	-0,152667
0,110833	0,1	-0,118704
0,112500	0,1	-0,123140
0,114167	0,1	-0,151644
0,115833	0,1	-0,130100
0,117500	0,1	-0,162907
0,119167	0,1	-0,165072
0,120833	0,1	-0,103604
0,122500	0,1	-0,118625
0,124167	0,1	-0,157850
0,125833	0,1	-0,137961
0,127500	0,1	-0,147871
0,129167	0,1	-0,148681
0,130833	0,1	-0,131583
0,132500	0,1	-0,154153
0,134167	0,1	-0,144047
0,135833	0,1	-0,110301
0,137500	0,1	-0,155788
0,139167	0,1	-0,133676
0,140833	0,1	-0,126559
0,142500	0,1	-0,114382
0,144167	0,1	-0,140498
0,145833	0,1	-0,124917
0,147500	0,1	-0,141689
0,149167	0,1	-0,093712
0,150833	0,1	-0,158588
0,152500	0,1	-0,114168
0,154167	0,1	-0,114254
0,155833	0,1	-0,087817
0,157500	0,1	-0,082915
0,159167	0,1	-0,126130
0,160833	0,1	-0,109265
0,162500	0,1	-0,086622
0,164167	0,1	-0,131472
0,165833	0,1	-0,125238
0,167500	0,1	-0,118826
0,169167	0,1	-0,132220
0,170833	0,1	-0,106819
0,172500	0,1	-0,123845
0,174167	0,1	-0,105529
0,175833	0,1	-0,086139
0,177500	0,1	-0,131828
0,179167	0,1	-0,108687
0,180833	0,1	-0,125041
0,182500	0,1	-0,097381
0,184167	0,1	-0,118886
0,185833	0,1	-0,100891
0,187500	0,1	-0,121204
0,189167	0,1	-0,126332
0,190833	0,1	-0,125654
0,192500	0,1	-0,110361
0,194167	0,1	-0,091291
0,195833	0,1	-0,133437
0,197500	0,1	-0,098286
0,199167	0,1	-0,100659
0,200833	0,1	-0,095766
0,202500	0,1	-0,109415
0,204167	0,1	-0,134185
0,205833	0,1	-0,073394
0,207500	0,1	-0,142164
0,209167	0,1	-0,126272
0,210833	0,1	-0,070266
0,212500	0,1	-0,095051
0,214167	0,1	-0,075927
0,215833	0,1	-0,109510
0,217500	0,1	-0,115346
0,219167	0,1	-0,059766
0,220833	0,1	-0,107897
0,222500	0,1	-0,081309
0,224167	0,1	-0,106163
0,225833	0,1	-0,090872
0,227500	0,1	-0,107068
0,229167	0,1	-0,092452
0,230833	0,1	-0,105005
0,232500	0,1	-0,162262
0,234167	0,1	-0,143985
0,235833	0,1	-0,061803
0,237500	0,1	-0,089672
0,239167	0,1	-0,078341
0,240833	0,1	-0,100622
0,242500	0,1	-0,114667
0,244167	0,1	-0,124914
0,245833	0,1	-0,120889
0,247500	0,1	-0,056676
0,249167	0,1	-0,082263
0,250833	0,1	-0,119975
0,252500	0,1	-0,118988
0,254167	0,1	-0,058800
0,255833	0,1	-0,066227
0,257500	0,1	-0,122003
0,259167	0,1	-0,131385
0,260833	0,1	-0,106335
0,262500	0,1	-0,101048
0,264167	0,1	-0,117503
0,265833	0,1	-0,103111
0,267500	0,1	-0,089939
0,269167	0,1	-0,109093
0,270833	0,1	-0,075416
0,272500	0,1	-0,084874
0,274167	0,1	-0,119623
0,275833	0,1	-0,093257
0,277500	0,1	-0,062852
0,279167	0,1	-0,107091
0,280833	0,1	-0,074900
0,282500	0,1	-0,050579
0,284167	0,1	-0,105671
0,285833	0,1	-0,122656
0,287500	0,1	-0,082151
0,289167	0,1	-0,082205
0,290833	0,1	-0,090156
0,292500	0,1	-0,095698
0,294167	0,1	-0,115471
0,295833	0,1	-0,092839
0,297500	0,1	-0,110770
0,299167	0,1	-0,085882
0,300833	0,1	-0,097564
0,302500	0,1	-0,080791
0,304167	0,1	-0,065845
0,305833	0,1	-0,087225
0,307500	0,1	-0,081530
0,309167	0,1	-0,091607
0,310833	0,1	-0,047105
0,312500	0,1	-0,104575
0,314167	0,1	-0,057349
0,315833	0,1	-0,072440
0,317500	0,1	-0,090704
0,319167	0,1	-0,100563
0,320833	0,1	-0,086590
0,322500	0,1	-0,105779
0,324167	0,1	-0,037478
0,325833	0,1	-0,056141
0,327500	0,1	-0,049609
0,329167	0,1	-0,072988
0,330833	0,1	-0,073603
0,332500	0,1	-0,105453
0,334167	0,1	-0,076350
0,335833	0,1	-0,098048
0,337500	0,1	-0,087779
0,339167	0,1	-0,082851
0,340833	0,1	-0,050775
0,342500	0,1	-0,061394
0,344167	0,1	-0,044231
0,345833	0,1	-0,059203
0,347500	0,1	-0,081169
0,349167	0,1	-0,065747
0,350833	0,1	-0,084906
0,352500	0,1	-0,029164
0,354167	0,1	-0,091273
0,355833	0,1	-0,073092
0,357500	0,1	-0,036698
0,359167	0,1	-0,010472
0,360833	0,1	-0,076005
0,362500	0,1	-0,057150
0,364167	0,1	-0,031317
0,365833	0,1	-0,072564
0,367500	0,1	-0,058308
0,369167	0,1	-0,060203
0,370833	0,1	-0,074824
0,372500	0,1	-0,055183
0,374167	0,1	-0,044229
0,375833	0,1	-0,021523
0,377500	0,1	-0,069147
0,379167	0,1	-0,063138
0,380833	0,1	-0,039820
0,382500	0,1	-0,102676
0,384167	0,1	-0,040345
0,385833	0,1	-0,008413
0,387500	0,1	-0,045217
0,389167	0,1	-0,057495
0,390833	0,1	-0,100008
0,392500	0,1	-0,073546
0,394167	0,1	-0,016892
0,395833	0,1	-0,053464
0,397500	0,1	-0,054405
0,399167	0,1	-0,068415
0,400833	0,1	-0,051351
0,402500	0,1	-0,040943
0,404167	0,1	-0,027286
0,405833	0,1	-0,062355
0,407500	0,1	-0,056502
0,409167	0,1	-0,076468
0,410833	0,1	-0,049356
0,412500	0,1	-0,032054
0,414167	0,1	-0,046833
0,415833	0,1	-0,068831
0,417500	0,1	-0,044588
0,419167	0,1	-0,062970
0,420833	0,1	-0,011767
0,422500	0,1	-0,009307
0,424167	0,1	-0,053913
0,425833	0,1	-0,061748
0,427500	0,1	-0,042814
0,429167	0,1	-0,021167
0,430833	0,1	-0,012788
0,432500	0,1	-0,073236
0,434167	0,1	-0,046650
0,435833	0,1	-0,059912
0,437500	0,1	-0,021880
0,439167	0,1	-0,052757
0,440833	0,1	-0,052184
0,442500	0,1	-0,052828
0,444167	0,1	-0,021590
0,445833	0,1	-0,060228
0,447500	0,1	-0,003780
0,449167	0,1	-0,077100
0,450833	0,1	0,002367
0,452500	0,1	-0,064409
0,454167	0,1	-0,021043
0,455833	0,1	-0,010374
0,457500	0,1	-0,033882
0,459167	0,1	-0,021036
0,460833	0,1	-0,017555
0,462500	0,1	-0,040196
0,464167	0,1	-0,017752
0,465833	0,1	-0,027056
0,467500	0,1	-0,031984
0,469167	0,1	-0,008926
0,470833	0,1	-0,045733
0,472500	0,1	-0,008447
0,474167	0,1	-0,016649
0,475833	0,1	-0,014783
0,477500	0,1	-0,035106
0,479167	0,1	-0,031440
0,480833	0,1	-0,048474
0,482500	0,1	-0,016435
0,484167	0,1	-0,060000
0,485833	0,1	-0,037338
0,487500	0,1	-0,037302
0,489167	0,1	-0,024935
0,490833	0,1	-0,003289
0,492500	0,1	-0,053170
0,494167	0,1	0,012679
0,495833	0,1	-0,018255
0,497500	0,1	-0,018424
0,499167	0,1	0,013816
0,500833	0,1	-0,030493
0,502500	0,1	0,019770
0,504167	0,1	-0,048624
0,505833	0,1	-0,013375
0,507500	0,1	-0,012690
0,509167	0,1	-0,011854
0,510833	0,1	0,011435
0,512500	0,1	-0,024213
0,514167	0,1	0,015039
0,515833	0,1	0,023873
0,517500	0,1	-0,018574
0,519167	0,1	-0,004671
0,520833	0,1	-0,029178
0,522500	0,1	0,009434
0,524167	0,1	0,012629
0,525833	0,1	0,001100
0,527500	0,1	0,003868
0,529167	0,1	-0,010011
0,530833	0,1	0,012983
0,532500	0,1	0,007735
0,534167	0,1	0,012599
0,535833	0,1	-0,023699
0,537500	0,1	0,012592
0,539167	0,1	-0,015228
0,540833	0,1	-0,018712
0,542500	0,1	0,007571
0,544167	0,1	0,003775
0,545833	0,1	-0,035424
0,547500	0,1	0,007918
0,549167	0,1	0,010667
0,550833	0,1	0,011632
0,552500	0,1	0,004743
0,554167	0,1	0,016914
0,555833	0,1	0,002876
0,557500	0,1	0,023326
0,559167	0,1	0,025746
0,560833	0,1	0,028223
0,562500	0,1	0,010637
0,564167	0,1	0,021457
0,565833	0,1	0,024227
0,567500	0,1	0,043493
0,569167	0,1	0,030354
0,570833	0,1	0,007645
0,572500	0,1	0,002389
0,574167	0,1	0,041652
0,575833	0,1	-0,002306
0,577500	0,1	0,003546
0,579167	0,1	0,025320
0,580833	0,1	0,022684
0,582500	0,1	0,065587
0,584167	0,1	0,040800
0,585833	0,1	-0,001468
0,587500	0,1	0,021871
0,589167	0,1	0,051353
0,590833	0,1	0,000208
0,592500	0,1	0,038719
0,594167	0,1	0,061822
0,595833	0,1	0,013868
0,597500	0,1	0,033344
0,599167	0,1	0,061051
0,600833	0,1	0,027493
0,602500	0,1	-0,004981
0,604167	0,1	0,052987
0,605833	0,1	0,037090
0,607500	0,1	0,027840
0,609167	0,1	0,041176
0,610833	0,1	0,042014
0,612500	0,1	0,028197
0,614167	0,1	0,052290
0,615833	0,1	0,040631
0,617500	0,1	0,064464
0,619167	0,1	0,036383
0,620833	0,1	0,047073
0,622500	0,1	0,019309
0,624167	0,1	0,010092
0,625833	0,1	0,046548
0,627500	0,1	0,046042
0,629167	0,1	0,013897
0,630833	0,1	0,038592
0,632500	0,1	0,084436
0,634167	0,1	0,052397
0,635833	0,1	0,083854
0,637500	0,1	0,052364
0,639167	0,1	0,072486
0,640833	0,1	0,064700
0,642500	0,1	0,091752
0,644167	0,1	0,052784
0,645833	0,1	0,061376
0,647500	0,1	0,056034
0,649167	0,1	0,044306
0,650833	0,1	0,075581
0,652500	0,1	0,068372
0,654167	0,1	0,072171
0,655833	0,1	0,032459
0,657500	0,1	0,061469
0,659167	0,1	0,062116
0,660833	0,1	0,021534
0,662500	0,1	0,086495
0,664167	0,1	0,108379
0,665833	0,1	0,096598
0,667500	0,1	0,062773
0,669167	0,1	0,099685
0,670833	0,1	0,059103
0,672500	0,1	0,087117
0,674167	0,1	0,098498
0,675833	0,1	0,121371
0,677500	0,1	0,073732
0,679167	0,1	0,117303
0,680833	0,1	0,075794
0,682500	0,1	0,069086
0,684167	0,1	0,081191
0,685833	0,1	0,075141
0,687500	0,1	0,090308
0,689167	0,1	0,106940
0,690833	0,1	0,096793
0,692500	0,1	0,094923
0,694167	0,1	0,088804
0,695833	0,1	0,085098
0,697500	0,1	0,123198
0,699167	0,1	0,081274
0,700833	0,1	0,127910
0,702500	0,1	0,120826
0,704167	0,1	0,117936
0,705833	0,1	0,107780
0,707500	0,1	0,097691
0,709167	0,1	0,139543
0,710833	0,1	0,113779
0,712500	0,1	0,131554
0,714167	0,1	0,103214
0,715833	0,1	0,125657
0,717500	0,1	0,132910
0,719167	0,1	0,181399
0,720833	0,1	0,104478
0,722500	0,1	0,140795
0,724167	0,1	0,126471
0,725833	0,1	0,126821
0,727500	0,1	0,080792
0,729167	0,1	0,107517
0,730833	0,1	0,112678
0,732500	0,1	0,134876
0,734167	0,1	0,151831
0,735833	0,1	0,145587
0,737500	0,1	0,178611
0,739167	0,1	0,169849
0,740833	0,1	0,128737
0,742500	0,1	0,173478
0,744167	0,1	0,165756
0,745833	0,1	0,223007
0,747500	0,1	0,179552
0,749167	0,1	0,168008
0,750833	0,1	0,175169
0,752500	0,1	0,214996
0,754167	0,1	0,172631
0,755833	0,1	0,150263
0,757500	0,1	0,190857
0,759167	0,1	0,207688
0,760833	0,1	0,213966
0,762500	0,1	0,234842
0,764167	0,1	0,215655
0,765833	0,1	0,227121
0,767500	0,1	0,219127
0,769167	0,1	0,187808
0,770833	0,1	0,226432
0,772500	0,1	0,218745
0,774167	0,1	0,165384
0,775833	0,1	0,214284
0,777500	0,1	0,232883
0,779167	0,1	0,216065
0,780833	0,1	0,246800
0,782500	0,1	0,232247
0,784167	0,1	0,211172
0,785833	0,1	0,184715
0,787500	0,1	0,233164
0,789167	0,1	0,232597
0,790833	0,1	0,272270
0,792500	0,1	0,224716
0,794167	0,1	0,231819
