File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/894.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-ChiBS_1
Injection Number	11
Position	RA8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	18:18:49
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,084982
Signal Max.	118,595922
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,017588
0,002500	0,1	0,006130
0,004167	0,1	-0,019957
0,005833	0,1	-0,007877
0,007500	0,1	-0,041128
0,009167	0,1	0,015827
0,010833	0,1	-0,033065
0,012500	0,1	0,035033
0,014167	0,1	-0,016342
0,015833	0,1	-0,024173
0,017500	0,1	0,021164
0,019167	0,1	0,005174
0,020833	0,1	0,002688
0,022500	0,1	0,038075
0,024167	0,1	-0,000010
0,025833	0,1	-0,028233
0,027500	0,1	0,004057
0,029167	0,1	-0,029538
0,030833	0,1	-0,022612
0,032500	0,1	-0,021911
0,034167	0,1	-0,056649
0,035833	0,1	0,012550
0,037500	0,1	-0,030860
0,039167	0,1	-0,022337
0,040833	0,1	-0,025130
0,042500	0,1	-0,035448
0,044167	0,1	-0,062377
0,045833	0,1	-0,028062
0,047500	0,1	-0,024247
0,049167	0,1	-0,028477
0,050833	0,1	-0,059562
0,052500	0,1	-0,000033
0,054167	0,1	-0,014660
0,055833	0,1	-0,023692
0,057500	0,1	-0,012863
0,059167	0,1	-0,039048
0,060833	0,1	0,008526
0,062500	0,1	-0,040996
0,064167	0,1	-0,014539
0,065833	0,1	-0,005466
0,067500	0,1	-0,038553
0,069167	0,1	0,000616
0,070833	0,1	-0,006511
0,072500	0,1	-0,003294
0,074167	0,1	-0,038918
0,075833	0,1	-0,007568
0,077500	0,1	-0,016114
0,079167	0,1	-0,036660
0,080833	0,1	0,020830
0,082500	0,1	0,003535
0,084167	0,1	0,008536
0,085833	0,1	-0,017932
0,087500	0,1	0,000307
0,089167	0,1	0,004377
0,090833	0,1	0,003184
0,092500	0,1	-0,049091
0,094167	0,1	-0,009171
0,095833	0,1	0,022163
0,097500	0,1	0,022814
0,099167	0,1	-0,003580
0,100833	0,1	-0,011129
0,102500	0,1	-0,000132
0,104167	0,1	-0,003311
0,105833	0,1	0,023617
0,107500	0,1	-0,050278
0,109167	0,1	0,002471
0,110833	0,1	-0,034505
0,112500	0,1	-0,017371
0,114167	0,1	-0,018747
0,115833	0,1	-0,036441
0,117500	0,1	-0,037233
0,119167	0,1	-0,060720
0,120833	0,1	-0,066814
0,122500	0,1	-0,068342
0,124167	0,1	-0,076635
0,125833	0,1	-0,084982
0,127500	0,1	-0,066930
0,129167	0,1	-0,052304
0,130833	0,1	-0,019234
0,132500	0,1	-0,038003
0,134167	0,1	-0,055092
0,135833	0,1	-0,051384
0,137500	0,1	-0,037367
0,139167	0,1	-0,018934
0,140833	0,1	-0,050691
