File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/503.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-ChiBS_2
Injection Number	12
Position	RB1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	18:25:18
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,147683
Signal Max.	119,134056
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,080483
0,002500	0,1	-0,018049
0,004167	0,1	-0,063138
0,005833	0,1	-0,065121
0,007500	0,1	-0,069714
0,009167	0,1	-0,098231
0,010833	0,1	-0,100265
0,012500	0,1	-0,029377
0,014167	0,1	-0,062245
0,015833	0,1	-0,028068
0,017500	0,1	-0,080035
0,019167	0,1	-0,083003
0,020833	0,1	-0,057582
0,022500	0,1	-0,052761
0,024167	0,1	-0,076374
0,025833	0,1	-0,058797
0,027500	0,1	-0,064296
0,029167	0,1	-0,088262
0,030833	0,1	-0,074914
0,032500	0,1	-0,101182
0,034167	0,1	-0,110330
0,035833	0,1	-0,094768
0,037500	0,1	-0,103946
0,039167	0,1	-0,099566
0,040833	0,1	-0,072801
0,042500	0,1	-0,115291
0,044167	0,1	-0,092640
0,045833	0,1	-0,083145
0,047500	0,1	-0,147683
0,049167	0,1	-0,097225
0,050833	0,1	-0,101594
0,052500	0,1	-0,112778
0,054167	0,1	-0,055826
0,055833	0,1	-0,044682
0,057500	0,1	-0,075379
0,059167	0,1	-0,085729
0,060833	0,1	-0,087607
0,062500	0,1	-0,090436
0,064167	0,1	-0,062372
0,065833	0,1	-0,066536
0,067500	0,1	-0,064830
0,069167	0,1	-0,082731
0,070833	0,1	-0,113306
0,072500	0,1	-0,083724
0,074167	0,1	-0,087958
0,075833	0,1	-0,101901
0,077500	0,1	-0,091895
0,079167	0,1	-0,101173
0,080833	0,1	-0,091349
0,082500	0,1	-0,070631
0,084167	0,1	-0,079584
0,085833	0,1	-0,098496
0,087500	0,1	-0,071976
0,089167	0,1	-0,039773
0,090833	0,1	-0,075474
0,092500	0,1	-0,097279
0,094167	0,1	-0,096276
0,095833	0,1	-0,033284
0,097500	0,1	-0,099004
0,099167	0,1	-0,051188
0,100833	0,1	-0,087418
0,102500	0,1	-0,075893
0,104167	0,1	-0,101533
0,105833	0,1	-0,073041
0,107500	0,1	-0,091047
0,109167	0,1	-0,113715
0,110833	0,1	-0,142247
0,112500	0,1	-0,111054
0,114167	0,1	-0,093773
0,115833	0,1	-0,101663
0,117500	0,1	-0,105305
0,119167	0,1	-0,096906
0,120833	0,1	-0,108802
0,122500	0,1	-0,097748
0,124167	0,1	-0,124748
0,125833	0,1	-0,106178
0,127500	0,1	-0,095815
0,129167	0,1	-0,123301
0,130833	0,1	-0,089255
0,132500	0,1	-0,097799
0,134167	0,1	-0,092189
0,135833	0,1	-0,082934
0,137500	0,1	-0,090938
0,139167	0,1	-0,101593
0,140833	0,1	-0,061310
0,142500	0,1	-0,113763
0,144167	0,1	-0,134504
0,145833	0,1	-0,081712
0,147500	0,1	-0,080691
0,149167	0,1	-0,072951
0,150833	0,1	-0,088376
0,152500	0,1	-0,107147
0,154167	0,1	-0,072846
0,155833	0,1	-0,058168
0,157500	0,1	-0,074766
0,159167	0,1	-0,084457
0,160833	0,1	-0,067606
0,162500	0,1	-0,081388
0,164167	0,1	-0,081519
0,165833	0,1	-0,056742
0,167500	0,1	-0,091368
0,169167	0,1	-0,109152
0,170833	0,1	-0,033916
0,172500	0,1	-0,055163
0,174167	0,1	-0,076374
0,175833	0,1	-0,092043
0,177500	0,1	-0,078302
0,179167	0,1	-0,107089
0,180833	0,1	-0,098082
0,182500	0,1	-0,076188
0,184167	0,1	-0,070108
0,185833	0,1	-0,094295
0,187500	0,1	-0,117578
0,189167	0,1	-0,072316
0,190833	0,1	-0,116174
0,192500	0,1	-0,093886
0,194167	0,1	-0,090004
0,195833	0,1	-0,080582
0,197500	0,1	-0,081643
0,199167	0,1	-0,110858
0,200833	0,1	-0,085626
0,202500	0,1	-0,077585
0,204167	0,1	-0,069156
0,205833	0,1	-0,098438
0,207500	0,1	-0,093701
0,209167	0,1	-0,084097
0,210833	0,1	-0,047560
0,212500	0,1	-0,058554
0,214167	0,1	-0,069811
0,215833	0,1	-0,095681
0,217500	0,1	-0,078247
0,219167	0,1	-0,121873
0,220833	0,1	-0,081444
0,222500	0,1	-0,078159
0,224167	0,1	-0,061921
0,225833	0,1	-0,094559
0,227500	0,1	-0,104183
0,229167	0,1	-0,096570
0,230833	0,1	-0,074341
0,232500	0,1	-0,081937
0,234167	0,1	-0,120864
0,235833	0,1	-0,114379
0,237500	0,1	-0,117739
0,239167	0,1	-0,110151
0,240833	0,1	-0,133525
0,242500	0,1	-0,080368
0,244167	0,1	-0,105999
0,245833	0,1	-0,067372
0,247500	0,1	-0,120568
0,249167	0,1	-0,074921
0,250833	0,1	-0,098790
0,252500	0,1	-0,070925
0,254167	0,1	-0,115474
0,255833	0,1	-0,107519
0,257500	0,1	-0,093687
0,259167	0,1	-0,055470
0,260833	0,1	-0,106456
0,262500	0,1	-0,074202
0,264167	0,1	-0,083757
0,265833	0,1	-0,103481
0,267500	0,1	-0,079409
0,269167	0,1	-0,103814
0,270833	0,1	-0,070354
0,272500	0,1	-0,063851
0,274167	0,1	-0,106991
0,275833	0,1	-0,069626
0,277500	0,1	-0,072570
0,279167	0,1	-0,058924
0,280833	0,1	-0,123309
0,282500	0,1	-0,097275
0,284167	0,1	-0,063086
0,285833	0,1	-0,113708
0,287500	0,1	-0,079259
0,289167	0,1	-0,086486
0,290833	0,1	-0,062371
0,292500	0,1	-0,111734
0,294167	0,1	-0,060570
0,295833	0,1	-0,110836
0,297500	0,1	-0,098980
0,299167	0,1	-0,086911
0,300833	0,1	-0,066247
0,302500	0,1	-0,067586
0,304167	0,1	-0,134311
0,305833	0,1	-0,091427
0,307500	0,1	-0,065240
0,309167	0,1	-0,079359
0,310833	0,1	-0,089889
0,312500	0,1	-0,073206
0,314167	0,1	-0,082217
0,315833	0,1	-0,079180
0,317500	0,1	-0,066232
0,319167	0,1	-0,116984
0,320833	0,1	-0,095525
0,322500	0,1	-0,076720
0,324167	0,1	-0,090811
0,325833	0,1	-0,079954
0,327500	0,1	-0,064049
0,329167	0,1	-0,109171
0,330833	0,1	-0,110555
0,332500	0,1	-0,085809
0,334167	0,1	-0,100334
0,335833	0,1	-0,093478
0,337500	0,1	-0,068740
0,339167	0,1	-0,083503
0,340833	0,1	-0,071733
0,342500	0,1	-0,080229
0,344167	0,1	-0,083030
