File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/489.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-ChiBS_NA
Injection Number	14
Position	RB3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	18:38:18
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,085842
Signal Max.	65,917144
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,006452
0,002500	0,1	0,005051
0,004167	0,1	0,024019
0,005833	0,1	-0,009516
0,007500	0,1	0,008570
0,009167	0,1	0,043223
0,010833	0,1	0,025618
0,012500	0,1	0,018115
0,014167	0,1	0,037722
0,015833	0,1	0,065832
0,017500	0,1	0,047574
0,019167	0,1	0,006303
0,020833	0,1	-0,007410
0,022500	0,1	0,001715
0,024167	0,1	0,046857
0,025833	0,1	0,010279
0,027500	0,1	0,000791
0,029167	0,1	-0,044583
0,030833	0,1	-0,001446
0,032500	0,1	-0,085842
0,034167	0,1	-0,019248
0,035833	0,1	-0,037032
0,037500	0,1	-0,048568
0,039167	0,1	-0,037919
0,040833	0,1	0,003601
0,042500	0,1	0,010685
0,044167	0,1	-0,055931
0,045833	0,1	-0,045816
0,047500	0,1	-0,037796
0,049167	0,1	-0,027955
0,050833	0,1	-0,023410
0,052500	0,1	-0,021003
0,054167	0,1	0,001200
0,055833	0,1	-0,013262
0,057500	0,1	-0,011107
0,059167	0,1	0,003494
0,060833	0,1	-0,014493
0,062500	0,1	-0,009687
0,064167	0,1	-0,018898
0,065833	0,1	0,004923
0,067500	0,1	0,019341
0,069167	0,1	0,003369
0,070833	0,1	-0,026905
0,072500	0,1	0,004524
0,074167	0,1	0,014841
0,075833	0,1	-0,002833
0,077500	0,1	-0,012336
0,079167	0,1	-0,008521
0,080833	0,1	-0,027542
0,082500	0,1	0,007259
0,084167	0,1	0,036026
0,085833	0,1	0,037965
0,087500	0,1	0,028192
0,089167	0,1	0,022868
0,090833	0,1	-0,022157
0,092500	0,1	0,010566
0,094167	0,1	0,001018
0,095833	0,1	0,018685
0,097500	0,1	0,010565
0,099167	0,1	0,059501
0,100833	0,1	0,021285
0,102500	0,1	0,010906
0,104167	0,1	-0,001186
0,105833	0,1	-0,000792
0,107500	0,1	-0,005347
0,109167	0,1	-0,013082
0,110833	0,1	-0,004734
0,112500	0,1	0,009215
0,114167	0,1	-0,032924
0,115833	0,1	-0,011092
0,117500	0,1	-0,017611
0,119167	0,1	-0,035744
0,120833	0,1	-0,054193
0,122500	0,1	-0,010519
0,124167	0,1	-0,017117
0,125833	0,1	-0,018000
0,127500	0,1	-0,008930
0,129167	0,1	-0,014135
0,130833	0,1	-0,040012
0,132500	0,1	-0,057582
0,134167	0,1	-0,008826
0,135833	0,1	0,001555
0,137500	0,1	-0,016944
0,139167	0,1	-0,025196
0,140833	0,1	-0,053129
0,142500	0,1	-0,035562
0,144167	0,1	-0,009749
0,145833	0,1	-0,038261
0,147500	0,1	-0,000043
0,149167	0,1	-0,009116
0,150833	0,1	-0,024040
0,152500	0,1	0,008566
0,154167	0,1	0,015600
0,155833	0,1	-0,002075
0,157500	0,1	-0,013623
0,159167	0,1	0,029646
0,160833	0,1	0,007984
0,162500	0,1	0,015724
0,164167	0,1	-0,014612
0,165833	0,1	-0,003495
0,167500	0,1	-0,051315
0,169167	0,1	0,008154
0,170833	0,1	0,021046
0,172500	0,1	-0,026021
0,174167	0,1	0,017458
0,175833	0,1	0,019400
0,177500	0,1	0,036559
0,179167	0,1	0,002009
0,180833	0,1	0,042870
0,182500	0,1	-0,003243
0,184167	0,1	-0,015961
0,185833	0,1	0,030111
0,187500	0,1	-0,004477
0,189167	0,1	-0,009466
0,190833	0,1	0,025311
0,192500	0,1	0,001609
0,194167	0,1	0,007769
0,195833	0,1	0,015713
0,197500	0,1	0,004591
0,199167	0,1	0,015845
0,200833	0,1	0,013965
0,202500	0,1	-0,011024
0,204167	0,1	0,007812
0,205833	0,1	-0,023741
0,207500	0,1	0,020327
0,209167	0,1	-0,003884
0,210833	0,1	0,029574
0,212500	0,1	-0,025194
0,214167	0,1	0,046036
0,215833	0,1	0,010874
