File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/110.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-NT_2
Injection Number	26
Position	RC6
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	19:56:08
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,111165
Signal Max.	123,994562
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,076035
0,002500	0,1	-0,068034
0,004167	0,1	-0,060408
0,005833	0,1	-0,044077
0,007500	0,1	-0,030318
0,009167	0,1	-0,074320
0,010833	0,1	-0,042396
0,012500	0,1	-0,013905
0,014167	0,1	-0,035631
0,015833	0,1	-0,047185
0,017500	0,1	-0,041770
0,019167	0,1	-0,082298
0,020833	0,1	-0,049921
0,022500	0,1	-0,051345
0,024167	0,1	-0,047295
0,025833	0,1	-0,064602
0,027500	0,1	-0,035203
0,029167	0,1	-0,048914
0,030833	0,1	-0,048996
0,032500	0,1	-0,062478
0,034167	0,1	-0,088391
0,035833	0,1	-0,101674
0,037500	0,1	-0,074294
0,039167	0,1	-0,092089
0,040833	0,1	-0,111165
0,042500	0,1	-0,069929
0,044167	0,1	-0,082490
0,045833	0,1	-0,083615
0,047500	0,1	-0,079045
0,049167	0,1	-0,060492
0,050833	0,1	-0,099735
0,052500	0,1	-0,035546
0,054167	0,1	-0,035592
0,055833	0,1	-0,063145
0,057500	0,1	-0,038757
0,059167	0,1	-0,070688
0,060833	0,1	-0,068075
0,062500	0,1	-0,062756
0,064167	0,1	-0,062797
0,065833	0,1	-0,042039
0,067500	0,1	-0,088598
0,069167	0,1	-0,068742
0,070833	0,1	-0,056774
0,072500	0,1	-0,046838
0,074167	0,1	-0,046588
0,075833	0,1	-0,064390
0,077500	0,1	-0,085233
0,079167	0,1	-0,071793
0,080833	0,1	-0,050458
0,082500	0,1	-0,029155
0,084167	0,1	-0,071135
0,085833	0,1	-0,002215
0,087500	0,1	-0,027256
0,089167	0,1	-0,012862
0,090833	0,1	-0,043649
0,092500	0,1	-0,044759
0,094167	0,1	-0,015028
0,095833	0,1	-0,048195
0,097500	0,1	-0,037448
0,099167	0,1	-0,038627
0,100833	0,1	-0,045860
0,102500	0,1	-0,094349
0,104167	0,1	-0,069368
0,105833	0,1	-0,039464
0,107500	0,1	-0,066216
0,109167	0,1	-0,062606
0,110833	0,1	-0,054506
0,112500	0,1	-0,100702
0,114167	0,1	-0,096568
0,115833	0,1	-0,080317
0,117500	0,1	-0,088288
0,119167	0,1	-0,071088
0,120833	0,1	-0,059244
0,122500	0,1	-0,065558
0,124167	0,1	-0,098862
0,125833	0,1	-0,078678
0,127500	0,1	-0,065290
0,129167	0,1	-0,050808
0,130833	0,1	-0,062231
0,132500	0,1	-0,091318
0,134167	0,1	-0,035977
0,135833	0,1	-0,071579
0,137500	0,1	-0,048254
0,139167	0,1	-0,039335
0,140833	0,1	-0,076335
0,142500	0,1	-0,042211
0,144167	0,1	-0,067778
0,145833	0,1	-0,078274
0,147500	0,1	-0,039115
0,149167	0,1	-0,074985
0,150833	0,1	-0,043771
0,152500	0,1	-0,068026
0,154167	0,1	-0,060382
0,155833	0,1	-0,051055
0,157500	0,1	-0,042329
0,159167	0,1	-0,012242
0,160833	0,1	-0,030478
0,162500	0,1	-0,056509
0,164167	0,1	-0,066494
0,165833	0,1	-0,038324
0,167500	0,1	-0,025704
0,169167	0,1	-0,045771
0,170833	0,1	-0,048351
0,172500	0,1	-0,021594
0,174167	0,1	-0,033991
0,175833	0,1	-0,072203
0,177500	0,1	-0,040320
0,179167	0,1	-0,034473
0,180833	0,1	-0,032082
0,182500	0,1	-0,035839
0,184167	0,1	-0,056494
0,185833	0,1	-0,049791
0,187500	0,1	-0,051114
0,189167	0,1	-0,043579
0,190833	0,1	-0,046711
0,192500	0,1	-0,017395
0,194167	0,1	-0,041429
0,195833	0,1	-0,050344
0,197500	0,1	-0,037156
0,199167	0,1	-0,055231
0,200833	0,1	-0,022654
0,202500	0,1	-0,005610
0,204167	0,1	-0,028042
0,205833	0,1	-0,064968
0,207500	0,1	0,000074
0,209167	0,1	-0,028023
0,210833	0,1	-0,052670
0,212500	0,1	-0,033002
0,214167	0,1	-0,047952
0,215833	0,1	-0,051803
0,217500	0,1	-0,053946
0,219167	0,1	-0,020597
0,220833	0,1	-0,063678
0,222500	0,1	-0,037011
0,224167	0,1	-0,055372
0,225833	0,1	-0,047524
0,227500	0,1	-0,043076
0,229167	0,1	-0,031836
0,230833	0,1	-0,023688
0,232500	0,1	-0,042012
0,234167	0,1	-0,059052
0,235833	0,1	0,017196
0,237500	0,1	-0,049545
0,239167	0,1	-0,024233
0,240833	0,1	-0,003158
0,242500	0,1	-0,060640
0,244167	0,1	-0,023423
0,245833	0,1	-0,017017
0,247500	0,1	-0,030728
0,249167	0,1	-0,023750
0,250833	0,1	0,007440
0,252500	0,1	-0,073289
0,254167	0,1	-0,028685
0,255833	0,1	-0,049284
0,257500	0,1	-0,041250
0,259167	0,1	-0,031129
0,260833	0,1	-0,026970
0,262500	0,1	-0,009351
0,264167	0,1	-0,047161
0,265833	0,1	-0,007238
0,267500	0,1	-0,018092
0,269167	0,1	-0,001056
0,270833	0,1	-0,073688
0,272500	0,1	-0,056069
0,274167	0,1	-0,043618
0,275833	0,1	-0,017728
0,277500	0,1	-0,040475
0,279167	0,1	0,018635
0,280833	0,1	-0,028081
0,282500	0,1	-0,043343
0,284167	0,1	-0,038628
0,285833	0,1	-0,034763
0,287500	0,1	-0,035716
0,289167	0,1	-0,009229
0,290833	0,1	-0,049217
0,292500	0,1	0,010072
0,294167	0,1	-0,025468
0,295833	0,1	-0,001974
0,297500	0,1	-0,031076
0,299167	0,1	-0,019241
0,300833	0,1	-0,004339
0,302500	0,1	-0,023014
0,304167	0,1	-0,026741
0,305833	0,1	-0,043257
0,307500	0,1	-0,012638
0,309167	0,1	-0,036857
