File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/923.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	7_24h-NT_NA
Injection Number	28
Position	RC8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	20:09:06
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,116354
Signal Max.	68,227296
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,014724
0,002500	0,1	-0,009366
0,004167	0,1	-0,026191
0,005833	0,1	-0,021376
0,007500	0,1	0,008604
0,009167	0,1	-0,005163
0,010833	0,1	-0,016778
0,012500	0,1	-0,004734
0,014167	0,1	-0,012998
0,015833	0,1	0,005366
0,017500	0,1	-0,008966
0,019167	0,1	0,001544
0,020833	0,1	-0,028808
0,022500	0,1	-0,021376
0,024167	0,1	-0,046887
0,025833	0,1	-0,028571
0,027500	0,1	-0,030204
0,029167	0,1	-0,041509
0,030833	0,1	-0,012114
0,032500	0,1	-0,078440
0,034167	0,1	-0,065700
0,035833	0,1	-0,072323
0,037500	0,1	-0,064745
0,039167	0,1	-0,044756
0,040833	0,1	-0,038101
0,042500	0,1	-0,074231
0,044167	0,1	-0,046752
0,045833	0,1	-0,070052
0,047500	0,1	-0,061190
0,049167	0,1	-0,059442
0,050833	0,1	-0,074236
0,052500	0,1	-0,045694
0,054167	0,1	-0,027469
0,055833	0,1	-0,049402
0,057500	0,1	-0,051130
0,059167	0,1	-0,020635
0,060833	0,1	-0,027877
0,062500	0,1	-0,058315
0,064167	0,1	-0,015298
0,065833	0,1	-0,030576
0,067500	0,1	-0,001141
0,069167	0,1	-0,020020
0,070833	0,1	-0,029498
0,072500	0,1	0,017994
0,074167	0,1	-0,056372
0,075833	0,1	-0,013321
0,077500	0,1	0,008814
0,079167	0,1	-0,077332
0,080833	0,1	-0,037967
0,082500	0,1	-0,047493
0,084167	0,1	-0,004471
0,085833	0,1	-0,005500
0,087500	0,1	-0,018358
0,089167	0,1	-0,026588
0,090833	0,1	0,018556
0,092500	0,1	-0,008546
0,094167	0,1	0,002832
0,095833	0,1	0,023134
0,097500	0,1	0,007139
0,099167	0,1	0,021992
0,100833	0,1	0,005873
0,102500	0,1	-0,006804
0,104167	0,1	-0,037678
0,105833	0,1	-0,011012
0,107500	0,1	-0,025986
0,109167	0,1	0,013195
0,110833	0,1	-0,037839
0,112500	0,1	-0,058025
0,114167	0,1	-0,024914
0,115833	0,1	-0,011674
0,117500	0,1	-0,010424
0,119167	0,1	-0,028456
0,120833	0,1	-0,059479
0,122500	0,1	-0,021050
0,124167	0,1	-0,020441
0,125833	0,1	-0,020894
0,127500	0,1	-0,031638
0,129167	0,1	-0,089726
0,130833	0,1	-0,068633
0,132500	0,1	-0,046213
0,134167	0,1	-0,047351
0,135833	0,1	0,010010
0,137500	0,1	-0,053629
0,139167	0,1	-0,029359
0,140833	0,1	-0,070134
0,142500	0,1	-0,029572
0,144167	0,1	-0,010658
0,145833	0,1	0,016917
0,147500	0,1	0,000034
0,149167	0,1	-0,007574
0,150833	0,1	-0,025776
0,152500	0,1	0,011928
0,154167	0,1	-0,005639
0,155833	0,1	-0,038449
0,157500	0,1	0,009514
0,159167	0,1	0,011750
0,160833	0,1	-0,034601
0,162500	0,1	0,003656
0,164167	0,1	-0,019791
0,165833	0,1	-0,007641
0,167500	0,1	-0,011337
0,169167	0,1	0,007215
0,170833	0,1	-0,020101
0,172500	0,1	0,023106
0,174167	0,1	0,015658
0,175833	0,1	-0,023111
0,177500	0,1	0,037795
0,179167	0,1	0,000848
0,180833	0,1	-0,012374
0,182500	0,1	0,022174
0,184167	0,1	-0,027098
0,185833	0,1	0,003036
0,187500	0,1	0,011873
0,189167	0,1	-0,004164
0,190833	0,1	-0,040505
0,192500	0,1	0,010907
0,194167	0,1	-0,020348
0,195833	0,1	0,004907
0,197500	0,1	-0,001070
0,199167	0,1	0,017648
0,200833	0,1	0,002922
0,202500	0,1	0,020578
0,204167	0,1	-0,011601
0,205833	0,1	0,036966
0,207500	0,1	-0,029275
0,209167	0,1	-0,004009
0,210833	0,1	0,023505
0,212500	0,1	0,032840
0,214167	0,1	0,031327
0,215833	0,1	0,023887
0,217500	0,1	-0,002770
0,219167	0,1	0,008007
0,220833	0,1	-0,023610
0,222500	0,1	0,004325
0,224167	0,1	-0,007408
0,225833	0,1	-0,014931
0,227500	0,1	0,007277
0,229167	0,1	0,011168
0,230833	0,1	0,027498
0,232500	0,1	0,008429
0,234167	0,1	-0,002815
0,235833	0,1	-0,003442
0,237500	0,1	0,001025
0,239167	0,1	-0,006204
0,240833	0,1	-0,001073
0,242500	0,1	-0,025922
0,244167	0,1	-0,002014
0,245833	0,1	0,000985
0,247500	0,1	0,005992
0,249167	0,1	-0,021971
0,250833	0,1	-0,007726
0,252500	0,1	0,002166
0,254167	0,1	-0,005747
0,255833	0,1	0,034911
0,257500	0,1	-0,013695
0,259167	0,1	-0,007434
0,260833	0,1	0,030070
0,262500	0,1	-0,014611
0,264167	0,1	-0,016492
0,265833	0,1	-0,006022
0,267500	0,1	0,010978
0,269167	0,1	-0,017337
0,270833	0,1	-0,030910
0,272500	0,1	-0,025032
0,274167	0,1	-0,021978
0,275833	0,1	-0,004816
0,277500	0,1	0,014799
0,279167	0,1	0,008363
0,280833	0,1	0,011063
0,282500	0,1	-0,006034
0,284167	0,1	0,018249
0,285833	0,1	0,008137
0,287500	0,1	0,019706
0,289167	0,1	0,009923
0,290833	0,1	0,030219
0,292500	0,1	-0,026724
0,294167	0,1	-0,000704
0,295833	0,1	-0,006849
0,297500	0,1	0,008878
0,299167	0,1	0,022531
0,300833	0,1	0,000574
0,302500	0,1	0,029387
0,304167	0,1	0,013354
0,305833	0,1	0,030656
0,307500	0,1	0,016283
0,309167	0,1	0,014555
0,310833	0,1	0,011627
0,312500	0,1	0,040360
0,314167	0,1	0,001639
0,315833	0,1	0,019185
0,317500	0,1	0,045659
0,319167	0,1	0,023060
0,320833	0,1	0,014766
0,322500	0,1	-0,020326
0,324167	0,1	-0,013957
0,325833	0,1	0,031273
