File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/925.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	A2ox 50
Injection Number	57
Position	RA3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Calibration Standard
Status	Finished
Injection Date	12.06.2022
Injection Time	23:16:13
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,104851
Signal Max.	27,759128
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,043205
0,002500	0,1	-0,010535
0,004167	0,1	-0,032019
0,005833	0,1	-0,074296
0,007500	0,1	-0,055475
0,009167	0,1	-0,019956
0,010833	0,1	-0,063009
0,012500	0,1	-0,037695
0,014167	0,1	-0,060899
0,015833	0,1	-0,033045
0,017500	0,1	-0,055254
0,019167	0,1	-0,005956
0,020833	0,1	-0,056118
0,022500	0,1	-0,047400
0,024167	0,1	-0,012819
0,025833	0,1	-0,038098
0,027500	0,1	-0,073178
0,029167	0,1	-0,009961
0,030833	0,1	-0,037287
0,032500	0,1	-0,061023
0,034167	0,1	-0,035414
0,035833	0,1	-0,011654
0,037500	0,1	-0,050130
0,039167	0,1	-0,083760
0,040833	0,1	-0,054896
0,042500	0,1	-0,062085
0,044167	0,1	-0,055798
0,045833	0,1	-0,035203
0,047500	0,1	-0,034844
0,049167	0,1	-0,037313
0,050833	0,1	-0,104851
0,052500	0,1	-0,031956
0,054167	0,1	-0,020865
0,055833	0,1	-0,035776
0,057500	0,1	-0,026653
0,059167	0,1	-0,016442
0,060833	0,1	-0,032474
0,062500	0,1	-0,031629
0,064167	0,1	-0,084645
0,065833	0,1	-0,046764
0,067500	0,1	-0,029517
0,069167	0,1	-0,015676
0,070833	0,1	-0,036541
0,072500	0,1	-0,103643
0,074167	0,1	-0,036752
0,075833	0,1	-0,027792
0,077500	0,1	-0,030861
0,079167	0,1	-0,062703
0,080833	0,1	-0,020332
0,082500	0,1	-0,031230
0,084167	0,1	-0,053968
0,085833	0,1	-0,065193
0,087500	0,1	-0,044645
