File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/732.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank
Injection Number	124
Position	RA1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	13.06.2022
Injection Time	06:30:11
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,100898
Signal Max.	0,517523
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,028151
0,002500	0,1	0,015085
0,004167	0,1	0,008679
0,005833	0,1	0,029175
0,007500	0,1	0,019936
0,009167	0,1	0,004363
0,010833	0,1	0,053263
0,012500	0,1	0,013929
0,014167	0,1	0,047071
0,015833	0,1	0,049486
0,017500	0,1	0,034969
0,019167	0,1	0,033912
0,020833	0,1	0,001510
0,022500	0,1	0,064963
0,024167	0,1	0,029201
0,025833	0,1	0,024583
0,027500	0,1	0,038375
0,029167	0,1	0,021729
0,030833	0,1	0,051672
0,032500	0,1	0,053976
0,034167	0,1	0,030529
0,035833	0,1	0,053380
0,037500	0,1	0,054255
0,039167	0,1	0,004311
0,040833	0,1	0,012162
0,042500	0,1	0,026103
0,044167	0,1	0,023300
0,045833	0,1	0,065549
0,047500	0,1	0,037585
0,049167	0,1	0,037239
0,050833	0,1	0,045395
0,052500	0,1	0,059917
0,054167	0,1	0,030060
0,055833	0,1	-0,043134
0,057500	0,1	0,034185
0,059167	0,1	0,031699
0,060833	0,1	0,043191
0,062500	0,1	0,046269
0,064167	0,1	-0,014927
0,065833	0,1	0,037398
0,067500	0,1	0,030477
0,069167	0,1	0,017651
0,070833	0,1	0,008851
0,072500	0,1	0,030722
0,074167	0,1	0,033101
0,075833	0,1	0,037047
0,077500	0,1	0,000047
0,079167	0,1	0,023704
0,080833	0,1	0,031854
0,082500	0,1	0,032968
0,084167	0,1	0,026556
0,085833	0,1	-0,035742
0,087500	0,1	0,038396
0,089167	0,1	0,043001
0,090833	0,1	-0,006231
0,092500	0,1	0,029111
0,094167	0,1	0,040675
0,095833	0,1	0,047151
0,097500	0,1	0,052850
0,099167	0,1	0,035490
0,100833	0,1	0,056648
0,102500	0,1	0,006416
0,104167	0,1	-0,003335
0,105833	0,1	0,057569
0,107500	0,1	0,066490
0,109167	0,1	0,021288
0,110833	0,1	0,021255
0,112500	0,1	0,023759
0,114167	0,1	0,024544
0,115833	0,1	0,053547
0,117500	0,1	-0,000298
0,119167	0,1	-0,009941
0,120833	0,1	0,054240
0,122500	0,1	0,053047
0,124167	0,1	0,079957
0,125833	0,1	0,029484
0,127500	0,1	0,054407
0,129167	0,1	0,023136
0,130833	0,1	0,009520
0,132500	0,1	0,021442
0,134167	0,1	0,026166
0,135833	0,1	0,067534
0,137500	0,1	0,054622
0,139167	0,1	0,052574
0,140833	0,1	0,041829
0,142500	0,1	0,001572
0,144167	0,1	0,023656
0,145833	0,1	0,056827
0,147500	0,1	0,021793
0,149167	0,1	0,066022
0,150833	0,1	0,042232
0,152500	0,1	0,046218
0,154167	0,1	-0,001522
0,155833	0,1	0,013554
0,157500	0,1	0,012517
0,159167	0,1	0,018748
0,160833	0,1	0,003890
0,162500	0,1	0,074077
0,164167	0,1	0,047619
0,165833	0,1	0,064636
0,167500	0,1	0,023779
0,169167	0,1	0,013811
0,170833	0,1	0,021192
0,172500	0,1	0,010293
0,174167	0,1	0,039036
0,175833	0,1	0,021186
0,177500	0,1	0,034610
0,179167	0,1	0,048650
0,180833	0,1	0,033045
0,182500	0,1	0,063507
0,184167	0,1	0,067047
0,185833	0,1	0,049189
0,187500	0,1	0,008507
0,189167	0,1	0,063175
0,190833	0,1	0,049225
0,192500	0,1	0,027093
0,194167	0,1	0,034951
0,195833	0,1	0,039635
0,197500	0,1	0,041668
0,199167	0,1	0,017872
0,200833	0,1	0,037066
0,202500	0,1	0,003955
0,204167	0,1	0,019387
0,205833	0,1	0,029688
0,207500	0,1	0,042526
0,209167	0,1	0,077328
0,210833	0,1	0,036198
0,212500	0,1	-0,001636
0,214167	0,1	0,024624
0,215833	0,1	0,057612
0,217500	0,1	0,040028
0,219167	0,1	0,028071
0,220833	0,1	0,060893
0,222500	0,1	0,044530
0,224167	0,1	0,043002
0,225833	0,1	0,079662
0,227500	0,1	-0,001987
0,229167	0,1	0,049995
0,230833	0,1	0,047479
0,232500	0,1	0,057631
0,234167	0,1	0,053823
0,235833	0,1	0,070227
0,237500	0,1	0,026698
0,239167	0,1	0,041944
0,240833	0,1	-0,018446
0,242500	0,1	0,023508
0,244167	0,1	0,009773
0,245833	0,1	-0,010528
0,247500	0,1	0,074715
0,249167	0,1	0,025163
0,250833	0,1	-0,002590
0,252500	0,1	0,065483
0,254167	0,1	0,027786
0,255833	0,1	0,035763
0,257500	0,1	0,040543
0,259167	0,1	0,039020
0,260833	0,1	0,070502
0,262500	0,1	0,005306
0,264167	0,1	0,041650
0,265833	0,1	0,057919
0,267500	0,1	0,018517
0,269167	0,1	0,039790
0,270833	0,1	0,032039
0,272500	0,1	0,023591
0,274167	0,1	0,042004
0,275833	0,1	0,054084
0,277500	0,1	0,051704
0,279167	0,1	0,012634
0,280833	0,1	0,033376
0,282500	0,1	0,048952
0,284167	0,1	0,039276
0,285833	0,1	0,034725
0,287500	0,1	0,012751
0,289167	0,1	0,043404
0,290833	0,1	0,061575
0,292500	0,1	0,032686
0,294167	0,1	0,021959
0,295833	0,1	0,045730
0,297500	0,1	0,034508
0,299167	0,1	0,061886
0,300833	0,1	0,022426
0,302500	0,1	0,010875
0,304167	0,1	0,084846
0,305833	0,1	0,035485
0,307500	0,1	0,061839
0,309167	0,1	0,029661
0,310833	0,1	0,065152
0,312500	0,1	0,033449
0,314167	0,1	0,028261
0,315833	0,1	0,063929
0,317500	0,1	0,031185
0,319167	0,1	0,045333
0,320833	0,1	0,051289
0,322500	0,1	0,058515
0,324167	0,1	0,079449
0,325833	0,1	0,006641
0,327500	0,1	0,031800
0,329167	0,1	0,063919
0,330833	0,1	0,036544
0,332500	0,1	0,022128
0,334167	0,1	0,014601
0,335833	0,1	0,051100
0,337500	0,1	0,063632
0,339167	0,1	0,051112
0,340833	0,1	0,064334
0,342500	0,1	0,038481
0,344167	0,1	0,033030
0,345833	0,1	0,044003
0,347500	0,1	0,035247
0,349167	0,1	0,040905
0,350833	0,1	0,018644
0,352500	0,1	0,059099
0,354167	0,1	0,062486
0,355833	0,1	0,050168
0,357500	0,1	0,058441
0,359167	0,1	0,042885
0,360833	0,1	0,077026
0,362500	0,1	0,030766
0,364167	0,1	0,039900
0,365833	0,1	0,015437
0,367500	0,1	0,000614
0,369167	0,1	0,067468
0,370833	0,1	0,019824
0,372500	0,1	0,056812
0,374167	0,1	0,056120
0,375833	0,1	0,058564
0,377500	0,1	0,062932
0,379167	0,1	0,026525
0,380833	0,1	0,037687
0,382500	0,1	0,075233
0,384167	0,1	0,041945
0,385833	0,1	0,071956
0,387500	0,1	0,058047
0,389167	0,1	0,056640
0,390833	0,1	0,060198
0,392500	0,1	0,049647
0,394167	0,1	0,046911
0,395833	0,1	0,052209
0,397500	0,1	0,021903
0,399167	0,1	0,020712
0,400833	0,1	0,058484
0,402500	0,1	0,055878
0,404167	0,1	0,003950
0,405833	0,1	0,058322
0,407500	0,1	0,059447
0,409167	0,1	0,043345
0,410833	0,1	0,088690
0,412500	0,1	0,016671
0,414167	0,1	0,072082
0,415833	0,1	0,008430
0,417500	0,1	0,053083
0,419167	0,1	0,025278
0,420833	0,1	0,008130
0,422500	0,1	0,062279
0,424167	0,1	0,032455
0,425833	0,1	0,027438
0,427500	0,1	0,041595
0,429167	0,1	0,019565
0,430833	0,1	0,051974
0,432500	0,1	0,008968
0,434167	0,1	0,049164
0,435833	0,1	0,008217
0,437500	0,1	0,024797
0,439167	0,1	0,026554
0,440833	0,1	0,059016
0,442500	0,1	0,023187
0,444167	0,1	0,013608
0,445833	0,1	0,072359
0,447500	0,1	0,028441
0,449167	0,1	0,036186
0,450833	0,1	0,057095
0,452500	0,1	0,078601
0,454167	0,1	0,044280
0,455833	0,1	0,075804
0,457500	0,1	0,054539
0,459167	0,1	0,036894
0,460833	0,1	0,018211
0,462500	0,1	0,016124
0,464167	0,1	-0,016409
0,465833	0,1	0,047235
0,467500	0,1	0,066777
0,469167	0,1	0,046721
0,470833	0,1	0,010770
0,472500	0,1	0,075578
0,474167	0,1	0,086133
0,475833	0,1	0,045104
0,477500	0,1	0,058162
0,479167	0,1	0,020489
0,480833	0,1	0,060492
0,482500	0,1	0,046974
0,484167	0,1	0,047250
0,485833	0,1	0,029305
0,487500	0,1	0,030173
0,489167	0,1	0,044040
0,490833	0,1	0,021489
0,492500	0,1	0,048308
0,494167	0,1	0,049234
0,495833	0,1	0,088474
0,497500	0,1	0,062298
0,499167	0,1	0,044809
0,500833	0,1	0,064756
0,502500	0,1	0,069165
0,504167	0,1	0,051271
0,505833	0,1	0,058431
0,507500	0,1	0,074076
0,509167	0,1	0,031356
0,510833	0,1	0,043409
0,512500	0,1	0,078853
0,514167	0,1	0,028722
0,515833	0,1	0,051795
0,517500	0,1	0,075115
0,519167	0,1	0,034975
0,520833	0,1	0,039418
0,522500	0,1	0,052086
0,524167	0,1	0,046959
0,525833	0,1	-0,000781
0,527500	0,1	0,055115
0,529167	0,1	0,033977
0,530833	0,1	0,066908
0,532500	0,1	0,049578
0,534167	0,1	0,034667
0,535833	0,1	0,019213
0,537500	0,1	0,031501
0,539167	0,1	0,046484
0,540833	0,1	0,015137
0,542500	0,1	0,074575
0,544167	0,1	0,025092
0,545833	0,1	0,032156
0,547500	0,1	0,054941
0,549167	0,1	0,066900
0,550833	0,1	0,069952
0,552500	0,1	0,047605
0,554167	0,1	0,059095
0,555833	0,1	0,013969
0,557500	0,1	0,048995
0,559167	0,1	0,083743
0,560833	0,1	0,026349
0,562500	0,1	0,055521
0,564167	0,1	0,040510
0,565833	0,1	0,063219
0,567500	0,1	0,039908
0,569167	0,1	0,054071
0,570833	0,1	0,033484
0,572500	0,1	0,055583
0,574167	0,1	0,023247
0,575833	0,1	0,018109
0,577500	0,1	0,046189
0,579167	0,1	0,049003
0,580833	0,1	0,089465
0,582500	0,1	0,002615
0,584167	0,1	0,047239
0,585833	0,1	0,016820
0,587500	0,1	0,052843
0,589167	0,1	0,067020
0,590833	0,1	0,077841
0,592500	0,1	0,045092
0,594167	0,1	0,077340
0,595833	0,1	0,043289
0,597500	0,1	0,070274
0,599167	0,1	0,099781
0,600833	0,1	0,040390
0,602500	0,1	0,049353
0,604167	0,1	0,070625
0,605833	0,1	0,058217
0,607500	0,1	0,041941
0,609167	0,1	0,066776
0,610833	0,1	0,083334
0,612500	0,1	0,029787
0,614167	0,1	0,046252
0,615833	0,1	0,031339
0,617500	0,1	0,043228
0,619167	0,1	0,056868
0,620833	0,1	0,044154
0,622500	0,1	0,065833
0,624167	0,1	0,049128
0,625833	0,1	0,042000
0,627500	0,1	0,036297
0,629167	0,1	0,070333
0,630833	0,1	0,017419
0,632500	0,1	0,055398
0,634167	0,1	0,070701
0,635833	0,1	0,022076
0,637500	0,1	0,053317
0,639167	0,1	0,015199
0,640833	0,1	0,021603
0,642500	0,1	0,064836
0,644167	0,1	0,019741
0,645833	0,1	0,040841
0,647500	0,1	0,068119
0,649167	0,1	0,047194
0,650833	0,1	0,053263
0,652500	0,1	0,034655
0,654167	0,1	0,072777
0,655833	0,1	0,058205
0,657500	0,1	0,084615
0,659167	0,1	0,041196
0,660833	0,1	0,040628
0,662500	0,1	0,073648
0,664167	0,1	0,026867
0,665833	0,1	0,066433
0,667500	0,1	0,090631
0,669167	0,1	0,068711
0,670833	0,1	0,054829
0,672500	0,1	0,079726
0,674167	0,1	0,054312
0,675833	0,1	0,023898
0,677500	0,1	0,050111
0,679167	0,1	0,069984
0,680833	0,1	0,044472
