File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/558.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank__04
Injection Number	24
Position	RC4
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	12.06.2022
Injection Time	19:43:10
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,393569
Signal Max.	2,864351
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,019668
0,002500	0,1	-0,000141
0,004167	0,1	-0,022660
0,005833	0,1	-0,036632
0,007500	0,1	-0,018572
0,009167	0,1	-0,045302
0,010833	0,1	-0,061461
0,012500	0,1	-0,032799
0,014167	0,1	-0,058093
0,015833	0,1	-0,035681
0,017500	0,1	-0,007198
0,019167	0,1	-0,029271
0,020833	0,1	-0,038567
0,022500	0,1	-0,017323
0,024167	0,1	-0,012225
0,025833	0,1	-0,032039
0,027500	0,1	-0,068697
0,029167	0,1	-0,033405
0,030833	0,1	-0,035990
0,032500	0,1	-0,033915
0,034167	0,1	-0,033270
0,035833	0,1	-0,049007
0,037500	0,1	-0,058034
0,039167	0,1	-0,068059
0,040833	0,1	-0,032382
0,042500	0,1	-0,057159
0,044167	0,1	-0,022837
0,045833	0,1	-0,055679
0,047500	0,1	-0,043880
0,049167	0,1	-0,069651
0,050833	0,1	-0,042280
0,052500	0,1	-0,070839
0,054167	0,1	-0,029956
0,055833	0,1	-0,060608
0,057500	0,1	-0,040455
0,059167	0,1	-0,085126
0,060833	0,1	-0,037709
0,062500	0,1	-0,042751
0,064167	0,1	-0,064896
0,065833	0,1	-0,058164
