File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/518.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank__05
Injection Number	38
Position	RE1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	12.06.2022
Injection Time	21:13:42
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,287983
Signal Max.	2,107552
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,023127
0,002500	0,1	0,038590
0,004167	0,1	0,026032
0,005833	0,1	-0,018329
0,007500	0,1	0,029591
0,009167	0,1	0,033532
0,010833	0,1	0,050671
0,012500	0,1	0,023681
0,014167	0,1	-0,028185
0,015833	0,1	0,014966
0,017500	0,1	-0,009310
0,019167	0,1	0,005628
0,020833	0,1	-0,003194
0,022500	0,1	0,035684
0,024167	0,1	0,014305
0,025833	0,1	-0,018877
0,027500	0,1	0,007495
0,029167	0,1	-0,026388
0,030833	0,1	0,009332
0,032500	0,1	0,030499
0,034167	0,1	-0,014297
0,035833	0,1	-0,014311
0,037500	0,1	0,011874
0,039167	0,1	0,015524
0,040833	0,1	0,022900
0,042500	0,1	0,020130
0,044167	0,1	-0,022128
0,045833	0,1	0,027143
0,047500	0,1	0,009986
0,049167	0,1	-0,020167
0,050833	0,1	-0,011575
0,052500	0,1	0,012134
0,054167	0,1	-0,015044
0,055833	0,1	0,016771
0,057500	0,1	0,012914
0,059167	0,1	-0,037014
0,060833	0,1	0,009164
0,062500	0,1	0,011078
0,064167	0,1	0,000672
0,065833	0,1	0,026988
0,067500	0,1	-0,002834
0,069167	0,1	-0,006706
0,070833	0,1	-0,046453
0,072500	0,1	-0,040376
0,074167	0,1	0,021245
0,075833	0,1	-0,058715
0,077500	0,1	0,004136
0,079167	0,1	-0,016335
0,080833	0,1	0,011876
0,082500	0,1	0,023706
0,084167	0,1	-0,046318
0,085833	0,1	0,016670
0,087500	0,1	0,044031
0,089167	0,1	0,033892
0,090833	0,1	-0,052304
0,092500	0,1	0,004330
0,094167	0,1	0,003763
0,095833	0,1	-0,044421
0,097500	0,1	-0,026813
0,099167	0,1	0,048594
0,100833	0,1	-0,013167
0,102500	0,1	0,010845
0,104167	0,1	-0,007315
0,105833	0,1	-0,056115
0,107500	0,1	-0,027912
0,109167	0,1	0,017864
