File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/209.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank__06
Injection Number	52
Position	RA1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	12.06.2022
Injection Time	22:44:17
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,433675
Signal Max.	7,601582
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,014302
0,002500	0,1	-0,007660
0,004167	0,1	-0,020884
0,005833	0,1	-0,007817
0,007500	0,1	-0,006211
0,009167	0,1	-0,016680
0,010833	0,1	-0,002836
0,012500	0,1	-0,021834
0,014167	0,1	0,018540
0,015833	0,1	-0,031915
0,017500	0,1	-0,009621
0,019167	0,1	0,018186
0,020833	0,1	-0,012385
0,022500	0,1	0,013633
0,024167	0,1	0,018434
0,025833	0,1	-0,022960
0,027500	0,1	0,005607
0,029167	0,1	-0,034298
0,030833	0,1	-0,025328
0,032500	0,1	-0,002953
0,034167	0,1	-0,018008
0,035833	0,1	-0,040576
0,037500	0,1	-0,020869
0,039167	0,1	-0,051496
0,040833	0,1	0,005732
0,042500	0,1	-0,008679
0,044167	0,1	-0,008475
0,045833	0,1	0,018013
0,047500	0,1	-0,020514
0,049167	0,1	-0,039987
0,050833	0,1	-0,009127
0,052500	0,1	-0,029569
0,054167	0,1	0,003318
0,055833	0,1	-0,042520
0,057500	0,1	-0,001024
0,059167	0,1	-0,021808
0,060833	0,1	0,002560
0,062500	0,1	-0,008498
0,064167	0,1	-0,033319
0,065833	0,1	-0,013729
0,067500	0,1	-0,032148
0,069167	0,1	0,032540
0,070833	0,1	-0,026575
0,072500	0,1	0,022097
0,074167	0,1	-0,007625
0,075833	0,1	0,026012
0,077500	0,1	-0,048116
0,079167	0,1	-0,030643
0,080833	0,1	-0,014505
0,082500	0,1	0,001256
0,084167	0,1	0,002770
0,085833	0,1	-0,040494
0,087500	0,1	-0,019414
0,089167	0,1	-0,017030
0,090833	0,1	-0,050140
0,092500	0,1	0,006558
0,094167	0,1	-0,005828
0,095833	0,1	-0,061628
0,097500	0,1	-0,055894
0,099167	0,1	-0,046466
0,100833	0,1	-0,005130
0,102500	0,1	0,012461
0,104167	0,1	-0,053379
0,105833	0,1	-0,022729
0,107500	0,1	-0,020550
0,109167	0,1	-0,002232
0,110833	0,1	-0,002872
0,112500	0,1	-0,034276
0,114167	0,1	-0,029393
