File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/484.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank__09
Injection Number	71
Position	GB7
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	13.06.2022
Injection Time	00:46:57
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,355704
Signal Max.	1,225470
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,043968
0,002500	0,1	0,046152
0,004167	0,1	0,002106
0,005833	0,1	0,034828
0,007500	0,1	0,014194
0,009167	0,1	0,023607
0,010833	0,1	0,029786
0,012500	0,1	0,034480
0,014167	0,1	0,049499
0,015833	0,1	0,034293
0,017500	0,1	0,039655
0,019167	0,1	0,041365
0,020833	0,1	0,034901
0,022500	0,1	-0,001818
0,024167	0,1	0,017300
0,025833	0,1	0,024606
0,027500	0,1	0,065410
0,029167	0,1	0,036551
0,030833	0,1	0,024447
0,032500	0,1	0,027886
0,034167	0,1	0,035829
0,035833	0,1	0,021874
0,037500	0,1	0,027277
0,039167	0,1	0,012009
0,040833	0,1	0,037239
0,042500	0,1	0,028023
0,044167	0,1	0,032968
0,045833	0,1	0,050239
0,047500	0,1	0,039310
0,049167	0,1	0,022936
0,050833	0,1	0,033064
0,052500	0,1	0,005961
0,054167	0,1	0,032454
0,055833	0,1	0,042452
0,057500	0,1	0,028731
0,059167	0,1	0,059276
0,060833	0,1	0,065391
0,062500	0,1	0,025522
0,064167	0,1	-0,016067
0,065833	0,1	0,034538
0,067500	0,1	-0,029957
0,069167	0,1	-0,007205
0,070833	0,1	-0,003241
0,072500	0,1	0,035858
0,074167	0,1	-0,044644
0,075833	0,1	0,053053
0,077500	0,1	0,028607
0,079167	0,1	0,026990
0,080833	0,1	0,001530
0,082500	0,1	0,046281
0,084167	0,1	0,008761
0,085833	0,1	-0,013851
0,087500	0,1	-0,011149
0,089167	0,1	-0,015107
0,090833	0,1	0,054828
0,092500	0,1	0,027928
0,094167	0,1	0,035001
0,095833	0,1	0,013903
0,097500	0,1	-0,010182
0,099167	0,1	-0,005941
0,100833	0,1	0,012932
0,102500	0,1	0,009433
0,104167	0,1	0,041809
0,105833	0,1	0,001978
0,107500	0,1	0,022609
0,109167	0,1	0,021010
0,110833	0,1	-0,011847
0,112500	0,1	0,012351
0,114167	0,1	0,039556
0,115833	0,1	-0,016860
0,117500	0,1	0,029451
0,119167	0,1	-0,018085
0,120833	0,1	0,014831
0,122500	0,1	0,040524
0,124167	0,1	0,036672
0,125833	0,1	-0,004482
0,127500	0,1	0,026564
0,129167	0,1	0,032847
0,130833	0,1	0,046735
0,132500	0,1	0,029403
0,134167	0,1	0,002745
0,135833	0,1	0,021521
0,137500	0,1	0,011039
0,139167	0,1	0,021198
0,140833	0,1	-0,006830
0,142500	0,1	0,017208
0,144167	0,1	0,002459
0,145833	0,1	-0,009343
0,147500	0,1	-0,007933
0,149167	0,1	0,019971
0,150833	0,1	0,009660
0,152500	0,1	0,012139
0,154167	0,1	-0,038791
0,155833	0,1	0,007690
0,157500	0,1	-0,017574
0,159167	0,1	-0,010227
0,160833	0,1	-0,033019
0,162500	0,1	0,003826
0,164167	0,1	0,008949
0,165833	0,1	0,011679
0,167500	0,1	0,013905
0,169167	0,1	0,034157
0,170833	0,1	-0,004065
0,172500	0,1	0,023285
0,174167	0,1	-0,024110
0,175833	0,1	0,016307
0,177500	0,1	0,042581
0,179167	0,1	-0,028560
0,180833	0,1	-0,001444
0,182500	0,1	0,002936
0,184167	0,1	-0,013590
0,185833	0,1	0,019843
0,187500	0,1	-0,002748
0,189167	0,1	-0,022657
0,190833	0,1	0,025980
0,192500	0,1	0,031270
0,194167	0,1	-0,018113
0,195833	0,1	0,013150
0,197500	0,1	-0,024527
0,199167	0,1	-0,002639
0,200833	0,1	0,037114
0,202500	0,1	0,013522
0,204167	0,1	-0,041045
0,205833	0,1	-0,018872
0,207500	0,1	-0,031409
0,209167	0,1	0,020163
0,210833	0,1	-0,026483
0,212500	0,1	-0,014629
0,214167	0,1	-0,020088
0,215833	0,1	-0,007195
0,217500	0,1	0,028395
0,219167	0,1	0,046154
0,220833	0,1	-0,016117
0,222500	0,1	-0,007194
0,224167	0,1	0,018401
0,225833	0,1	-0,011912
0,227500	0,1	-0,019000
0,229167	0,1	0,006562
0,230833	0,1	-0,015230
0,232500	0,1	-0,003307
0,234167	0,1	0,007011
0,235833	0,1	0,010363
0,237500	0,1	-0,003782
0,239167	0,1	-0,008739
0,240833	0,1	0,023836
0,242500	0,1	0,005096
0,244167	0,1	-0,008157
0,245833	0,1	0,009074
0,247500	0,1	0,025542
0,249167	0,1	0,021299
0,250833	0,1	-0,010345
0,252500	0,1	-0,012824
0,254167	0,1	0,013992
0,255833	0,1	-0,016342
0,257500	0,1	0,000805
0,259167	0,1	-0,021116
0,260833	0,1	-0,015652
0,262500	0,1	-0,019482
0,264167	0,1	0,030455
0,265833	0,1	0,001721
0,267500	0,1	0,026501
0,269167	0,1	0,028212
0,270833	0,1	0,000914
0,272500	0,1	-0,008095
0,274167	0,1	-0,004400
0,275833	0,1	0,015052
0,277500	0,1	0,028922
0,279167	0,1	-0,013939
0,280833	0,1	0,024732
0,282500	0,1	-0,024072
0,284167	0,1	-0,028740
0,285833	0,1	0,039877
0,287500	0,1	0,018724
0,289167	0,1	0,037856
0,290833	0,1	0,014745
0,292500	0,1	0,002268
0,294167	0,1	-0,024394
0,295833	0,1	-0,019193
0,297500	0,1	0,034701
0,299167	0,1	0,013042
0,300833	0,1	-0,012720
0,302500	0,1	0,007080
0,304167	0,1	-0,000729
0,305833	0,1	0,033872
0,307500	0,1	0,031824
0,309167	0,1	-0,013846
0,310833	0,1	-0,046322
0,312500	0,1	0,019735
0,314167	0,1	0,029466
0,315833	0,1	0,007415
0,317500	0,1	0,008300
0,319167	0,1	0,012965
0,320833	0,1	0,011008
0,322500	0,1	0,035054
0,324167	0,1	-0,018337
0,325833	0,1	0,009516
0,327500	0,1	0,015735
0,329167	0,1	0,013165
0,330833	0,1	-0,005067
0,332500	0,1	0,021355
0,334167	0,1	-0,006441
0,335833	0,1	-0,029442
0,337500	0,1	0,032445
0,339167	0,1	0,002074
0,340833	0,1	0,016411
0,342500	0,1	-0,000592
0,344167	0,1	0,010941
0,345833	0,1	-0,005449
0,347500	0,1	0,019815
0,349167	0,1	-0,023294
0,350833	0,1	0,002224
0,352500	0,1	0,002773
0,354167	0,1	0,046054
0,355833	0,1	0,007419
0,357500	0,1	0,018950
0,359167	0,1	0,027051
0,360833	0,1	-0,038407
0,362500	0,1	0,016012
0,364167	0,1	0,055895
0,365833	0,1	-0,037269
0,367500	0,1	0,010191
0,369167	0,1	-0,010699
0,370833	0,1	-0,004621
0,372500	0,1	-0,002598
0,374167	0,1	0,028721
0,375833	0,1	0,012009
0,377500	0,1	0,003003
0,379167	0,1	0,021039
0,380833	0,1	0,022973
0,382500	0,1	-0,032776
0,384167	0,1	-0,013662
0,385833	0,1	0,030329
0,387500	0,1	0,028799
0,389167	0,1	0,014843
0,390833	0,1	0,039499
0,392500	0,1	0,004748
0,394167	0,1	0,044896
0,395833	0,1	0,010817
0,397500	0,1	-0,014586
0,399167	0,1	0,025375
0,400833	0,1	0,032840
0,402500	0,1	-0,028888
0,404167	0,1	0,023704
0,405833	0,1	0,010079
0,407500	0,1	-0,010374
0,409167	0,1	0,016755
0,410833	0,1	0,048624
0,412500	0,1	0,024972
0,414167	0,1	0,017377
0,415833	0,1	0,002043
0,417500	0,1	-0,013011
0,419167	0,1	0,025346
0,420833	0,1	0,022712
0,422500	0,1	0,015384
0,424167	0,1	-0,001011
0,425833	0,1	-0,007706
0,427500	0,1	0,016763
0,429167	0,1	0,020881
0,430833	0,1	0,026027
0,432500	0,1	0,000207
0,434167	0,1	-0,004491
0,435833	0,1	-0,001375
0,437500	0,1	0,018141
0,439167	0,1	0,019368
0,440833	0,1	0,025092
0,442500	0,1	0,002524
0,444167	0,1	0,023068
0,445833	0,1	-0,004845
0,447500	0,1	0,021971
0,449167	0,1	0,027926
0,450833	0,1	0,036281
0,452500	0,1	0,009854
0,454167	0,1	-0,030369
0,455833	0,1	0,032217
0,457500	0,1	0,001658
0,459167	0,1	0,055509
0,460833	0,1	0,059056
0,462500	0,1	0,050084
0,464167	0,1	0,006706
0,465833	0,1	-0,007739
0,467500	0,1	0,040392
0,469167	0,1	0,030081
0,470833	0,1	0,002398
0,472500	0,1	-0,009986
0,474167	0,1	0,022613
0,475833	0,1	0,030365
0,477500	0,1	0,007479
0,479167	0,1	0,031811
0,480833	0,1	0,016997
0,482500	0,1	0,007442
0,484167	0,1	0,040750
0,485833	0,1	0,033621
0,487500	0,1	0,044451
0,489167	0,1	0,019150
0,490833	0,1	0,015320
0,492500	0,1	0,007793
0,494167	0,1	0,028596
0,495833	0,1	-0,001105
0,497500	0,1	0,015090
0,499167	0,1	0,012492
0,500833	0,1	0,013228
0,502500	0,1	0,049372
0,504167	0,1	0,031466
0,505833	0,1	0,007897
0,507500	0,1	0,021359
0,509167	0,1	-0,030721
0,510833	0,1	0,037043
0,512500	0,1	0,028475
0,514167	0,1	0,028919
0,515833	0,1	0,039114
0,517500	0,1	0,035449
0,519167	0,1	0,024744
0,520833	0,1	0,020529
0,522500	0,1	0,020691
0,524167	0,1	0,035063
0,525833	0,1	-0,003840
0,527500	0,1	0,023646
0,529167	0,1	0,010042
0,530833	0,1	0,013679
0,532500	0,1	0,048213
0,534167	0,1	0,016033
0,535833	0,1	0,025416
0,537500	0,1	-0,004167
0,539167	0,1	0,003515
0,540833	0,1	0,028085
0,542500	0,1	0,033942
0,544167	0,1	0,037893
0,545833	0,1	0,052465
0,547500	0,1	0,051693
0,549167	0,1	0,006164
0,550833	0,1	0,016666
0,552500	0,1	0,000821
0,554167	0,1	0,037469
0,555833	0,1	0,013686
0,557500	0,1	0,076956
0,559167	0,1	0,029092
0,560833	0,1	0,046958
0,562500	0,1	0,055259
0,564167	0,1	0,017612
0,565833	0,1	0,055895
0,567500	0,1	0,033849
0,569167	0,1	0,020822
0,570833	0,1	0,047988
0,572500	0,1	0,016063
0,574167	0,1	0,027664
0,575833	0,1	0,031497
0,577500	0,1	0,021364
0,579167	0,1	0,004228
0,580833	0,1	0,033676
0,582500	0,1	0,045327
0,584167	0,1	0,035387
0,585833	0,1	0,028057
0,587500	0,1	0,034070
0,589167	0,1	0,024771
0,590833	0,1	0,060498
0,592500	0,1	0,026163
0,594167	0,1	0,024642
0,595833	0,1	-0,005226
