File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/540.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank__09
Injection Number	90
Position	GE1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	13.06.2022
Injection Time	02:50:06
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,341306
Signal Max.	0,712793
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,004343
0,002500	0,1	-0,019221
0,004167	0,1	-0,017528
0,005833	0,1	-0,052955
0,007500	0,1	-0,024370
0,009167	0,1	0,011047
0,010833	0,1	-0,010999
0,012500	0,1	-0,013985
0,014167	0,1	-0,006158
0,015833	0,1	0,007966
0,017500	0,1	-0,018309
0,019167	0,1	-0,019764
0,020833	0,1	0,017654
0,022500	0,1	-0,000435
0,024167	0,1	0,022005
0,025833	0,1	-0,037336
0,027500	0,1	0,015413
0,029167	0,1	-0,025678
0,030833	0,1	-0,039313
0,032500	0,1	0,003815
0,034167	0,1	-0,017296
0,035833	0,1	-0,019184
0,037500	0,1	-0,022105
0,039167	0,1	-0,026661
0,040833	0,1	0,041611
0,042500	0,1	0,011973
0,044167	0,1	-0,011991
0,045833	0,1	0,006658
0,047500	0,1	-0,013816
0,049167	0,1	0,014630
0,050833	0,1	0,008964
0,052500	0,1	-0,029159
0,054167	0,1	0,003798
0,055833	0,1	-0,041108
0,057500	0,1	-0,059524
0,059167	0,1	-0,010043
0,060833	0,1	-0,021005
0,062500	0,1	-0,016577
0,064167	0,1	-0,018191
0,065833	0,1	-0,018378
0,067500	0,1	-0,024071
0,069167	0,1	-0,021609
0,070833	0,1	0,010985
0,072500	0,1	0,015032
0,074167	0,1	-0,028122
0,075833	0,1	-0,008336
0,077500	0,1	0,006908
0,079167	0,1	-0,050320
0,080833	0,1	-0,064745
0,082500	0,1	-0,018140
0,084167	0,1	-0,019164
0,085833	0,1	-0,017736
0,087500	0,1	-0,002661
0,089167	0,1	-0,021211
0,090833	0,1	-0,025603
0,092500	0,1	-0,014072
0,094167	0,1	-0,024774
0,095833	0,1	-0,080476
0,097500	0,1	0,003144
0,099167	0,1	-0,048851
0,100833	0,1	-0,046110
0,102500	0,1	-0,015423
0,104167	0,1	0,002351
0,105833	0,1	-0,017669
0,107500	0,1	0,004318
0,109167	0,1	-0,022803
0,110833	0,1	-0,046953
0,112500	0,1	-0,037269
0,114167	0,1	-0,022751
0,115833	0,1	-0,046311
0,117500	0,1	-0,041842
0,119167	0,1	-0,012875
0,120833	0,1	-0,065729
0,122500	0,1	-0,039261
0,124167	0,1	-0,003534
0,125833	0,1	-0,031025
0,127500	0,1	0,001207
0,129167	0,1	-0,024956
0,130833	0,1	-0,050349
0,132500	0,1	-0,063462
0,134167	0,1	-0,032467
0,135833	0,1	-0,019416
0,137500	0,1	-0,029559
0,139167	0,1	-0,063227
0,140833	0,1	-0,051641
0,142500	0,1	-0,018116
0,144167	0,1	-0,036722
0,145833	0,1	-0,042981
0,147500	0,1	-0,017949
0,149167	0,1	-0,013429
0,150833	0,1	-0,017880
0,152500	0,1	-0,026824
0,154167	0,1	-0,000986
0,155833	0,1	-0,016115
0,157500	0,1	-0,033553
0,159167	0,1	0,016594
0,160833	0,1	-0,058701
0,162500	0,1	-0,006418
0,164167	0,1	-0,032599
0,165833	0,1	-0,041073
0,167500	0,1	0,001516
0,169167	0,1	-0,094360
0,170833	0,1	-0,042124
0,172500	0,1	-0,039150
0,174167	0,1	-0,011921
0,175833	0,1	-0,070698
0,177500	0,1	-0,052927
0,179167	0,1	-0,067437
0,180833	0,1	-0,032966
0,182500	0,1	0,000028
0,184167	0,1	-0,026572
0,185833	0,1	-0,039208
0,187500	0,1	-0,064575
0,189167	0,1	-0,013563
0,190833	0,1	-0,015269
0,192500	0,1	-0,036805
0,194167	0,1	-0,036106
0,195833	0,1	-0,007820
0,197500	0,1	-0,036906
0,199167	0,1	-0,058404
0,200833	0,1	-0,044952
0,202500	0,1	-0,026127
0,204167	0,1	-0,056042
0,205833	0,1	-0,016585
0,207500	0,1	-0,045708
0,209167	0,1	-0,045321
0,210833	0,1	-0,026437
0,212500	0,1	-0,032024
0,214167	0,1	-0,066809
0,215833	0,1	-0,066242
0,217500	0,1	-0,045865
0,219167	0,1	-0,030766
0,220833	0,1	-0,011795
0,222500	0,1	-0,038916
0,224167	0,1	-0,017099
0,225833	0,1	-0,053246
0,227500	0,1	-0,068597
0,229167	0,1	-0,094212
0,230833	0,1	-0,026098
0,232500	0,1	-0,051447
0,234167	0,1	-0,042051
0,235833	0,1	-0,035816
0,237500	0,1	-0,019333
0,239167	0,1	-0,073100
0,240833	0,1	-0,048475
0,242500	0,1	-0,044639
0,244167	0,1	-0,045569
0,245833	0,1	-0,041532
0,247500	0,1	-0,063893
0,249167	0,1	-0,051868
0,250833	0,1	-0,043998
0,252500	0,1	-0,038738
0,254167	0,1	-0,063003
0,255833	0,1	-0,061225
0,257500	0,1	-0,041309
0,259167	0,1	-0,060663
0,260833	0,1	-0,016896
0,262500	0,1	-0,052955
0,264167	0,1	-0,026895
0,265833	0,1	-0,021341
0,267500	0,1	-0,020075
0,269167	0,1	-0,044509
0,270833	0,1	-0,046564
0,272500	0,1	0,007521
0,274167	0,1	-0,043817
0,275833	0,1	-0,001901
0,277500	0,1	-0,070696
0,279167	0,1	-0,040732
0,280833	0,1	-0,041738
0,282500	0,1	0,003173
0,284167	0,1	-0,035889
0,285833	0,1	-0,031923
0,287500	0,1	-0,055817
0,289167	0,1	-0,031575
0,290833	0,1	-0,037222
0,292500	0,1	-0,036417
0,294167	0,1	-0,058860
0,295833	0,1	-0,041783
0,297500	0,1	-0,073644
0,299167	0,1	-0,014952
0,300833	0,1	-0,004108
0,302500	0,1	-0,043448
0,304167	0,1	-0,039317
0,305833	0,1	-0,039564
0,307500	0,1	-0,047555
0,309167	0,1	-0,042856
0,310833	0,1	-0,059795
0,312500	0,1	-0,082201
0,314167	0,1	-0,061212
0,315833	0,1	-0,022279
0,317500	0,1	-0,029415
0,319167	0,1	-0,028588
0,320833	0,1	-0,042585
0,322500	0,1	-0,033023
0,324167	0,1	-0,025213
0,325833	0,1	-0,021297
0,327500	0,1	-0,037200
0,329167	0,1	-0,042277
0,330833	0,1	-0,046688
0,332500	0,1	-0,013020
0,334167	0,1	-0,066600
0,335833	0,1	-0,042470
0,337500	0,1	-0,023435
0,339167	0,1	-0,050224
0,340833	0,1	-0,042342
0,342500	0,1	-0,057081
0,344167	0,1	-0,028201
0,345833	0,1	-0,028939
0,347500	0,1	-0,024322
0,349167	0,1	-0,027716
0,350833	0,1	-0,015419
0,352500	0,1	-0,041007
0,354167	0,1	0,010483
0,355833	0,1	-0,016485
0,357500	0,1	-0,031317
0,359167	0,1	-0,032046
0,360833	0,1	-0,037513
0,362500	0,1	-0,073457
0,364167	0,1	-0,031393
0,365833	0,1	-0,025504
0,367500	0,1	-0,079749
0,369167	0,1	-0,074542
0,370833	0,1	-0,055288
0,372500	0,1	-0,047394
0,374167	0,1	-0,068263
0,375833	0,1	-0,032843
0,377500	0,1	-0,015213
0,379167	0,1	-0,042849
0,380833	0,1	-0,018486
0,382500	0,1	-0,029702
0,384167	0,1	-0,033432
0,385833	0,1	-0,035920
0,387500	0,1	-0,026581
0,389167	0,1	-0,041633
0,390833	0,1	-0,038632
0,392500	0,1	-0,028011
0,394167	0,1	-0,010677
0,395833	0,1	-0,063368
0,397500	0,1	-0,024745
0,399167	0,1	-0,020138
0,400833	0,1	-0,006719
0,402500	0,1	-0,040735
0,404167	0,1	-0,028259
0,405833	0,1	-0,064346
0,407500	0,1	-0,040730
0,409167	0,1	-0,038033
0,410833	0,1	-0,006806
0,412500	0,1	-0,048251
0,414167	0,1	-0,049421
0,415833	0,1	-0,012834
0,417500	0,1	-0,046618
0,419167	0,1	-0,038986
0,420833	0,1	-0,029003
0,422500	0,1	-0,081384
0,424167	0,1	-0,091562
0,425833	0,1	-0,035373
0,427500	0,1	-0,032668
0,429167	0,1	-0,004279
0,430833	0,1	-0,072973
0,432500	0,1	-0,042822
0,434167	0,1	-0,045860
0,435833	0,1	-0,061948
0,437500	0,1	-0,018925
0,439167	0,1	-0,000715
0,440833	0,1	-0,033716
0,442500	0,1	-0,019665
0,444167	0,1	-0,043182
0,445833	0,1	-0,055302
0,447500	0,1	-0,060086
0,449167	0,1	-0,068617
0,450833	0,1	-0,027624
0,452500	0,1	-0,062748
0,454167	0,1	-0,042116
0,455833	0,1	-0,018818
0,457500	0,1	-0,030676
0,459167	0,1	-0,059336
0,460833	0,1	-0,014307
0,462500	0,1	-0,040448
0,464167	0,1	-0,033270
0,465833	0,1	-0,043517
0,467500	0,1	-0,033435
0,469167	0,1	-0,078282
0,470833	0,1	-0,026488
0,472500	0,1	-0,047472
0,474167	0,1	-0,015113
0,475833	0,1	-0,025457
0,477500	0,1	-0,032147
0,479167	0,1	-0,042316
0,480833	0,1	-0,020640
0,482500	0,1	-0,028171
0,484167	0,1	-0,053205
0,485833	0,1	-0,039670
0,487500	0,1	-0,007077
0,489167	0,1	-0,027485
0,490833	0,1	-0,028938
0,492500	0,1	-0,033950
0,494167	0,1	-0,004777
0,495833	0,1	-0,031625
0,497500	0,1	-0,048881
0,499167	0,1	-0,031554
0,500833	0,1	-0,045339
0,502500	0,1	0,001102
0,504167	0,1	-0,000006
0,505833	0,1	-0,011374
0,507500	0,1	-0,044569
0,509167	0,1	-0,029938
0,510833	0,1	-0,045256
0,512500	0,1	-0,076006
0,514167	0,1	-0,020005
0,515833	0,1	-0,055709
0,517500	0,1	0,018390
0,519167	0,1	-0,032614
0,520833	0,1	-0,035172
0,522500	0,1	-0,086935
0,524167	0,1	-0,075622
0,525833	0,1	-0,055598
0,527500	0,1	-0,006355
0,529167	0,1	-0,060964
0,530833	0,1	-0,008884
0,532500	0,1	-0,037197
0,534167	0,1	-0,075715
0,535833	0,1	-0,060710
0,537500	0,1	0,002258
0,539167	0,1	-0,020442
0,540833	0,1	-0,032084
0,542500	0,1	-0,035752
0,544167	0,1	-0,038860
0,545833	0,1	-0,048758
0,547500	0,1	-0,036274
0,549167	0,1	-0,015110
0,550833	0,1	-0,015685
0,552500	0,1	-0,030985
0,554167	0,1	-0,018070
0,555833	0,1	-0,031919
0,557500	0,1	-0,003057
0,559167	0,1	-0,014749
0,560833	0,1	-0,000466
0,562500	0,1	-0,011002
0,564167	0,1	-0,010568
0,565833	0,1	-0,055312
0,567500	0,1	0,004391
0,569167	0,1	0,006891
0,570833	0,1	-0,026406
0,572500	0,1	-0,010283
0,574167	0,1	-0,058854
0,575833	0,1	-0,017061
0,577500	0,1	-0,013863
0,579167	0,1	-0,029102
0,580833	0,1	0,003156
0,582500	0,1	-0,008597
0,584167	0,1	-0,037672
0,585833	0,1	0,000046
0,587500	0,1	-0,033012
0,589167	0,1	-0,008359
0,590833	0,1	0,007033
0,592500	0,1	-0,022967
0,594167	0,1	-0,001005
0,595833	0,1	-0,014460
0,597500	0,1	-0,013861
0,599167	0,1	-0,022166
0,600833	0,1	-0,033824
0,602500	0,1	-0,088592
0,604167	0,1	-0,042786
0,605833	0,1	-0,036418
0,607500	0,1	-0,030516
0,609167	0,1	-0,003099
0,610833	0,1	-0,009158
0,612500	0,1	-0,037526
0,614167	0,1	-0,010657
0,615833	0,1	0,021505
0,617500	0,1	-0,023565
0,619167	0,1	0,005538
0,620833	0,1	-0,007893
0,622500	0,1	-0,024483
0,624167	0,1	0,021439
0,625833	0,1	0,005156
0,627500	0,1	-0,029036
0,629167	0,1	-0,076002
0,630833	0,1	-0,011350
0,632500	0,1	-0,030922
0,634167	0,1	-0,024716
0,635833	0,1	-0,002911
0,637500	0,1	0,013722
0,639167	0,1	-0,051022
0,640833	0,1	0,027646
0,642500	0,1	-0,007743
0,644167	0,1	0,026023
0,645833	0,1	-0,014764
0,647500	0,1	-0,006243
0,649167	0,1	0,005936
0,650833	0,1	-0,045309
0,652500	0,1	0,023819
0,654167	0,1	-0,019546
0,655833	0,1	-0,028462
0,657500	0,1	-0,020181
0,659167	0,1	0,004400
0,660833	0,1	0,000367
0,662500	0,1	-0,016510
0,664167	0,1	-0,015747
0,665833	0,1	0,009372
0,667500	0,1	0,004407
0,669167	0,1	0,000181
0,670833	0,1	-0,010028
0,672500	0,1	-0,022329
0,674167	0,1	-0,035378
0,675833	0,1	0,026036
0,677500	0,1	0,021163
0,679167	0,1	-0,007704
0,680833	0,1	-0,018893
0,682500	0,1	-0,042809
0,684167	0,1	0,010918
0,685833	0,1	-0,012925
0,687500	0,1	0,029685
0,689167	0,1	0,029241
0,690833	0,1	0,004805
0,692500	0,1	-0,016861
0,694167	0,1	0,030308
0,695833	0,1	-0,039052
0,697500	0,1	0,032122
0,699167	0,1	-0,031017
0,700833	0,1	0,016470
0,702500	0,1	-0,004703
0,704167	0,1	0,022709
0,705833	0,1	0,013666
0,707500	0,1	-0,024292
0,709167	0,1	0,009514
0,710833	0,1	-0,012097
0,712500	0,1	-0,014525
0,714167	0,1	0,020885
0,715833	0,1	-0,057522
0,717500	0,1	0,029737
0,719167	0,1	0,017706
0,720833	0,1	0,003560
0,722500	0,1	-0,009219
0,724167	0,1	0,005542
0,725833	0,1	0,002873
0,727500	0,1	0,005276
0,729167	0,1	0,030745
0,730833	0,1	-0,016523
0,732500	0,1	0,020013
0,734167	0,1	0,028534
0,735833	0,1	0,013212
0,737500	0,1	0,008115
0,739167	0,1	-0,001806
0,740833	0,1	-0,000400
0,742500	0,1	0,012150
0,744167	0,1	-0,014395
0,745833	0,1	0,032024
0,747500	0,1	0,003626
0,749167	0,1	0,016023
0,750833	0,1	0,037601
0,752500	0,1	0,015533
0,754167	0,1	-0,049511
0,755833	0,1	0,003855
0,757500	0,1	-0,019532
0,759167	0,1	0,049793
0,760833	0,1	0,037591
0,762500	0,1	0,019407
0,764167	0,1	-0,005013
0,765833	0,1	0,030703
0,767500	0,1	-0,019234
0,769167	0,1	0,015542
0,770833	0,1	0,035945
0,772500	0,1	0,065669
0,774167	0,1	0,005766
0,775833	0,1	0,010183
0,777500	0,1	0,029547
0,779167	0,1	0,029135
0,780833	0,1	0,032676
0,782500	0,1	0,000705
0,784167	0,1	0,041595
0,785833	0,1	0,026863
0,787500	0,1	-0,008447
0,789167	0,1	0,022895
0,790833	0,1	-0,001842
0,792500	0,1	0,007096
0,794167	0,1	0,003971
0,795833	0,1	0,029876
0,797500	0,1	0,031995
0,799167	0,1	0,002860
0,800833	0,1	0,002542
0,802500	0,1	0,033499
0,804167	0,1	0,013544
0,805833	0,1	0,044932
0,807500	0,1	-0,003288
0,809167	0,1	0,019188
0,810833	0,1	0,011926
0,812500	0,1	0,042034
0,814167	0,1	0,040365
0,815833	0,1	0,025703
0,817500	0,1	0,021307
0,819167	0,1	0,021205
0,820833	0,1	0,031601
0,822500	0,1	-0,001903
0,824167	0,1	0,036770
0,825833	0,1	0,000107
0,827500	0,1	0,019375
0,829167	0,1	0,039509
0,830833	0,1	0,038810
0,832500	0,1	0,008534
0,834167	0,1	0,026956
0,835833	0,1	-0,027518
0,837500	0,1	0,020758
0,839167	0,1	0,032157
0,840833	0,1	0,057675
0,842500	0,1	0,029723
0,844167	0,1	0,050652
0,845833	0,1	0,020279
0,847500	0,1	0,037810
0,849167	0,1	0,070101
0,850833	0,1	0,032811
0,852500	0,1	0,020484
0,854167	0,1	0,071443
0,855833	0,1	0,060003
0,857500	0,1	0,082408
0,859167	0,1	0,025297
0,860833	0,1	0,044293
0,862500	0,1	0,025413
0,864167	0,1	0,029738
0,865833	0,1	0,024666
0,867500	0,1	0,049310
0,869167	0,1	0,048361
0,870833	0,1	0,058571
0,872500	0,1	0,040886
0,874167	0,1	0,044258
0,875833	0,1	0,038338
0,877500	0,1	0,045705
0,879167	0,1	0,059792
0,880833	0,1	0,042830
0,882500	0,1	0,075967
0,884167	0,1	0,017491
0,885833	0,1	0,048684
0,887500	0,1	0,033016
0,889167	0,1	-0,000618
0,890833	0,1	0,063154
0,892500	0,1	0,058676
0,894167	0,1	0,074311
0,895833	0,1	0,082558
0,897500	0,1	0,096560
0,899167	0,1	0,053280
0,900833	0,1	0,069854
0,902500	0,1	0,054950
0,904167	0,1	0,047635
0,905833	0,1	0,093962
0,907500	0,1	0,099172
0,909167	0,1	0,077077
0,910833	0,1	0,092706
0,912500	0,1	0,085688
0,914167	0,1	0,105612
0,915833	0,1	0,034727
0,917500	0,1	0,057635
0,919167	0,1	0,089617
0,920833	0,1	0,107314
0,922500	0,1	0,081886
0,924167	0,1	0,121704
0,925833	0,1	0,114031
0,927500	0,1	0,053014
0,929167	0,1	0,045152
0,930833	0,1	0,109496
0,932500	0,1	0,082896
0,934167	0,1	0,121539
0,935833	0,1	0,066168
0,937500	0,1	0,078892
0,939167	0,1	0,103334
0,940833	0,1	0,114506
0,942500	0,1	0,093545
0,944167	0,1	0,125143
0,945833	0,1	0,137601
0,947500	0,1	0,136648
0,949167	0,1	0,114927
0,950833	0,1	0,104335
0,952500	0,1	0,086505
0,954167	0,1	0,125064
0,955833	0,1	0,124759
0,957500	0,1	0,163287
0,959167	0,1	0,123838
0,960833	0,1	0,165957
0,962500	0,1	0,089063
0,964167	0,1	0,126577
0,965833	0,1	0,115670
