File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/116.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank__10
Injection Number	109
Position	BB3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Blank
Status	Finished
Injection Date	13.06.2022
Injection Time	04:53:19
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,275627
Signal Max.	0,600660
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,057382
0,002500	0,1	0,001982
0,004167	0,1	0,025974
0,005833	0,1	-0,006383
0,007500	0,1	0,026737
0,009167	0,1	0,013708
0,010833	0,1	0,018756
0,012500	0,1	0,018032
0,014167	0,1	0,018466
0,015833	0,1	0,031172
0,017500	0,1	-0,001665
0,019167	0,1	0,004720
0,020833	0,1	0,033466
0,022500	0,1	-0,014681
0,024167	0,1	0,067919
0,025833	0,1	0,015168
0,027500	0,1	0,038829
0,029167	0,1	-0,000297
0,030833	0,1	0,032181
0,032500	0,1	0,024968
0,034167	0,1	-0,014103
0,035833	0,1	0,037994
0,037500	0,1	-0,003898
0,039167	0,1	-0,029279
0,040833	0,1	0,007735
0,042500	0,1	0,046317
0,044167	0,1	0,040244
0,045833	0,1	0,039765
0,047500	0,1	0,012719
0,049167	0,1	0,026971
0,050833	0,1	0,024490
0,052500	0,1	0,004831
0,054167	0,1	0,046565
0,055833	0,1	-0,004538
0,057500	0,1	0,000561
0,059167	0,1	0,020427
0,060833	0,1	0,032167
0,062500	0,1	0,013690
0,064167	0,1	0,008015
0,065833	0,1	0,022852
0,067500	0,1	0,008141
0,069167	0,1	0,062605
0,070833	0,1	0,009973
0,072500	0,1	0,023763
0,074167	0,1	-0,005432
0,075833	0,1	0,020655
0,077500	0,1	0,052490
0,079167	0,1	-0,004434
0,080833	0,1	0,014797
0,082500	0,1	-0,026894
0,084167	0,1	-0,028457
0,085833	0,1	0,012083
0,087500	0,1	0,032600
0,089167	0,1	0,008971
0,090833	0,1	0,008491
0,092500	0,1	0,008261
0,094167	0,1	-0,012616
0,095833	0,1	-0,009913
0,097500	0,1	0,019454
0,099167	0,1	0,030553
0,100833	0,1	-0,008288
0,102500	0,1	0,014880
0,104167	0,1	0,055592
0,105833	0,1	-0,001681
0,107500	0,1	0,019000
0,109167	0,1	0,012630
0,110833	0,1	0,019459
0,112500	0,1	0,051619
0,114167	0,1	0,037719
0,115833	0,1	-0,034503
0,117500	0,1	-0,002964
0,119167	0,1	0,003954
0,120833	0,1	0,016684
0,122500	0,1	0,011285
0,124167	0,1	-0,008519
0,125833	0,1	-0,008338
0,127500	0,1	-0,020773
0,129167	0,1	-0,022577
0,130833	0,1	-0,010225
0,132500	0,1	0,022723
