File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/642.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_00h-EGS_
Injection Number	122
Position	BC8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	06:17:49
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,102643
Signal Max.	110,017668
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,064929
0,002500	0,1	-0,040904
0,004167	0,1	-0,080165
0,005833	0,1	-0,045687
0,007500	0,1	-0,010393
0,009167	0,1	-0,026101
0,010833	0,1	-0,089924
0,012500	0,1	-0,043274
0,014167	0,1	-0,068618
0,015833	0,1	-0,092666
0,017500	0,1	-0,090275
0,019167	0,1	-0,004367
0,020833	0,1	-0,033726
0,022500	0,1	-0,041722
0,024167	0,1	-0,025298
0,025833	0,1	-0,031974
0,027500	0,1	-0,048577
0,029167	0,1	-0,079893
0,030833	0,1	-0,073792
0,032500	0,1	-0,080785
0,034167	0,1	-0,075320
0,035833	0,1	-0,102643
0,037500	0,1	-0,067796
0,039167	0,1	-0,083166
0,040833	0,1	-0,083584
0,042500	0,1	-0,100079
0,044167	0,1	-0,088825
0,045833	0,1	-0,083020
0,047500	0,1	-0,066782
0,049167	0,1	-0,092086
0,050833	0,1	-0,045110
0,052500	0,1	-0,009463
0,054167	0,1	-0,085826
0,055833	0,1	-0,056122
0,057500	0,1	-0,060375
0,059167	0,1	-0,077268
0,060833	0,1	-0,032337
0,062500	0,1	-0,025622
0,064167	0,1	-0,050745
0,065833	0,1	-0,054250
0,067500	0,1	-0,045543
0,069167	0,1	-0,053301
0,070833	0,1	-0,082338
0,072500	0,1	-0,078390
0,074167	0,1	-0,058899
0,075833	0,1	-0,034119
0,077500	0,1	-0,034939
0,079167	0,1	-0,053191
0,080833	0,1	-0,058969
0,082500	0,1	-0,002101
0,084167	0,1	-0,026026
0,085833	0,1	-0,040158
0,087500	0,1	-0,008678
0,089167	0,1	-0,040565
0,090833	0,1	-0,035766
0,092500	0,1	-0,043156
0,094167	0,1	-0,034984
0,095833	0,1	-0,012254
