File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/670.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_24h-ChiBI_
Injection Number	51
Position	GA6
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	22:38:04
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,119050
Signal Max.	152,943430
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,055265
0,002500	0,1	-0,058223
0,004167	0,1	-0,037422
0,005833	0,1	-0,063439
0,007500	0,1	-0,025090
0,009167	0,1	-0,042305
0,010833	0,1	-0,043796
0,012500	0,1	-0,059707
0,014167	0,1	-0,005114
0,015833	0,1	-0,014790
0,017500	0,1	-0,063039
0,019167	0,1	-0,029625
0,020833	0,1	-0,040085
0,022500	0,1	-0,052645
0,024167	0,1	-0,014001
0,025833	0,1	-0,037255
0,027500	0,1	-0,045161
0,029167	0,1	-0,062128
0,030833	0,1	-0,079224
0,032500	0,1	-0,073114
0,034167	0,1	-0,054403
0,035833	0,1	-0,064732
0,037500	0,1	-0,089600
0,039167	0,1	-0,086938
0,040833	0,1	-0,102597
0,042500	0,1	-0,107439
0,044167	0,1	-0,091321
0,045833	0,1	-0,057009
0,047500	0,1	-0,119050
0,049167	0,1	-0,065524
0,050833	0,1	-0,035979
0,052500	0,1	-0,061350
0,054167	0,1	-0,011558
0,055833	0,1	0,007671
0,057500	0,1	-0,003188
0,059167	0,1	-0,045944
0,060833	0,1	0,004201
0,062500	0,1	-0,006923
0,064167	0,1	-0,040856
0,065833	0,1	-0,072724
0,067500	0,1	-0,020054
0,069167	0,1	-0,020173
0,070833	0,1	-0,031233
0,072500	0,1	-0,038770
0,074167	0,1	-0,050712
0,075833	0,1	-0,006424
0,077500	0,1	0,020321
0,079167	0,1	-0,009051
0,080833	0,1	-0,012322
0,082500	0,1	0,020320
0,084167	0,1	-0,035338
0,085833	0,1	0,031469
0,087500	0,1	-0,015228
0,089167	0,1	0,029647
0,090833	0,1	-0,029470
0,092500	0,1	-0,009823
0,094167	0,1	-0,002283
0,095833	0,1	-0,002480
0,097500	0,1	0,014051
0,099167	0,1	0,007611
0,100833	0,1	0,030521
0,102500	0,1	0,031459
0,104167	0,1	-0,016162
0,105833	0,1	0,026870
0,107500	0,1	0,015174
0,109167	0,1	-0,018612
0,110833	0,1	-0,024261
0,112500	0,1	0,001669
0,114167	0,1	-0,038327
0,115833	0,1	-0,038849
0,117500	0,1	-0,040534
0,119167	0,1	-0,017733
0,120833	0,1	-0,077585
0,122500	0,1	-0,015650
0,124167	0,1	-0,039213
0,125833	0,1	-0,050172
0,127500	0,1	-0,059354
0,129167	0,1	0,001819
0,130833	0,1	-0,010832
0,132500	0,1	-0,012240
0,134167	0,1	-0,042236
0,135833	0,1	-0,013692
0,137500	0,1	-0,039371
0,139167	0,1	-0,018559
0,140833	0,1	-0,021171
0,142500	0,1	-0,024592
0,144167	0,1	-0,019530
0,145833	0,1	0,030537
0,147500	0,1	-0,000737
0,149167	0,1	-0,024233
0,150833	0,1	0,047425
0,152500	0,1	0,008907
0,154167	0,1	0,019011
0,155833	0,1	0,037746
0,157500	0,1	-0,009006
0,159167	0,1	0,034384
0,160833	0,1	0,027196
0,162500	0,1	0,035103
0,164167	0,1	0,016770
0,165833	0,1	-0,003674
0,167500	0,1	0,024296
0,169167	0,1	0,062730
0,170833	0,1	0,034781
0,172500	0,1	0,029659
0,174167	0,1	0,014746
0,175833	0,1	0,041015
0,177500	0,1	0,013615
0,179167	0,1	0,069106
0,180833	0,1	-0,015401
0,182500	0,1	0,039870
0,184167	0,1	0,045573
0,185833	0,1	0,029975
0,187500	0,1	0,043217
0,189167	0,1	0,015129
0,190833	0,1	-0,006656
0,192500	0,1	0,032673
0,194167	0,1	0,095644
0,195833	0,1	0,053412
0,197500	0,1	0,020799
0,199167	0,1	0,023277
0,200833	0,1	0,014569
0,202500	0,1	0,038768
0,204167	0,1	0,046442
0,205833	0,1	0,057043
0,207500	0,1	0,025510
0,209167	0,1	0,035681
0,210833	0,1	0,017084
0,212500	0,1	0,055482
0,214167	0,1	0,029178
0,215833	0,1	0,003212
0,217500	0,1	0,018184
0,219167	0,1	-0,022081
0,220833	0,1	0,053649
0,222500	0,1	0,053557
0,224167	0,1	0,041909
0,225833	0,1	0,045997
0,227500	0,1	0,037222
0,229167	0,1	0,063486
0,230833	0,1	0,049958
0,232500	0,1	0,026020
0,234167	0,1	0,023146
0,235833	0,1	0,014520
0,237500	0,1	0,039166
0,239167	0,1	0,005925
0,240833	0,1	0,072036
0,242500	0,1	0,077162
0,244167	0,1	0,058962
0,245833	0,1	0,040555
0,247500	0,1	0,078089
0,249167	0,1	0,097256
0,250833	0,1	0,075724
0,252500	0,1	0,034777
0,254167	0,1	0,092912
0,255833	0,1	0,055519
0,257500	0,1	0,048089
0,259167	0,1	0,042312
0,260833	0,1	0,043552
0,262500	0,1	0,025175
0,264167	0,1	0,082373
0,265833	0,1	0,041470
0,267500	0,1	0,051153
0,269167	0,1	0,075713
0,270833	0,1	0,065561
0,272500	0,1	0,049026
0,274167	0,1	0,049310
0,275833	0,1	0,101340
