File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/908.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_24h-ChiBS_
Injection Number	23
Position	RC4
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	19:36:58
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,112315
Signal Max.	141,111086
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,026360
0,002500	0,1	-0,013627
0,004167	0,1	-0,059961
0,005833	0,1	-0,016253
0,007500	0,1	-0,072108
0,009167	0,1	-0,048595
0,010833	0,1	-0,069096
0,012500	0,1	-0,078923
0,014167	0,1	-0,081316
0,015833	0,1	-0,082669
0,017500	0,1	-0,073643
0,019167	0,1	-0,043109
0,020833	0,1	-0,029398
0,022500	0,1	-0,041935
0,024167	0,1	-0,059738
0,025833	0,1	-0,053714
0,027500	0,1	-0,071246
0,029167	0,1	-0,054790
0,030833	0,1	-0,058389
0,032500	0,1	-0,043358
0,034167	0,1	-0,072848
0,035833	0,1	-0,072085
0,037500	0,1	-0,038558
0,039167	0,1	-0,042292
0,040833	0,1	-0,094287
0,042500	0,1	-0,079456
0,044167	0,1	-0,111554
0,045833	0,1	-0,098501
0,047500	0,1	-0,078349
0,049167	0,1	-0,023501
0,050833	0,1	-0,070302
0,052500	0,1	-0,051908
0,054167	0,1	-0,052978
0,055833	0,1	-0,053343
0,057500	0,1	-0,093574
0,059167	0,1	-0,020154
0,060833	0,1	-0,001919
0,062500	0,1	-0,060540
0,064167	0,1	-0,027923
0,065833	0,1	-0,004410
0,067500	0,1	-0,018590
0,069167	0,1	-0,042743
0,070833	0,1	-0,078728
0,072500	0,1	-0,043502
0,074167	0,1	-0,035238
0,075833	0,1	-0,043997
0,077500	0,1	-0,071826
0,079167	0,1	-0,021920
0,080833	0,1	-0,074955
0,082500	0,1	-0,034019
0,084167	0,1	-0,027790
0,085833	0,1	-0,061317
0,087500	0,1	-0,015090
0,089167	0,1	-0,021843
0,090833	0,1	-0,000148
0,092500	0,1	-0,008462
0,094167	0,1	-0,035774
0,095833	0,1	-0,044452
0,097500	0,1	-0,010660
0,099167	0,1	-0,058238
0,100833	0,1	-0,037694
0,102500	0,1	-0,037273
0,104167	0,1	-0,020496
0,105833	0,1	-0,050088
0,107500	0,1	-0,037945
0,109167	0,1	-0,031457
0,110833	0,1	-0,049270
0,112500	0,1	-0,023051
0,114167	0,1	-0,007506
0,115833	0,1	-0,043790
0,117500	0,1	-0,045870
0,119167	0,1	-0,047034
0,120833	0,1	-0,034241
0,122500	0,1	0,003338
0,124167	0,1	-0,066820
0,125833	0,1	-0,048518
0,127500	0,1	-0,037465
0,129167	0,1	-0,039789
0,130833	0,1	-0,021759
0,132500	0,1	-0,024487
0,134167	0,1	-0,044286
0,135833	0,1	-0,030459
0,137500	0,1	-0,034819
0,139167	0,1	-0,027525
0,140833	0,1	-0,037687
0,142500	0,1	-0,032431
0,144167	0,1	-0,033264
0,145833	0,1	-0,037106
0,147500	0,1	-0,007600
0,149167	0,1	-0,025659
0,150833	0,1	-0,047068
0,152500	0,1	-0,023987
0,154167	0,1	-0,045942
0,155833	0,1	-0,049463
0,157500	0,1	-0,023470
0,159167	0,1	-0,031427
0,160833	0,1	0,045444
0,162500	0,1	-0,000650
0,164167	0,1	0,032516
0,165833	0,1	0,015694
0,167500	0,1	0,007208
0,169167	0,1	-0,013709
0,170833	0,1	-0,020819
0,172500	0,1	0,023282
0,174167	0,1	-0,030229
0,175833	0,1	-0,009759
0,177500	0,1	0,012195
0,179167	0,1	0,026045
0,180833	0,1	0,001316
0,182500	0,1	-0,014885
0,184167	0,1	0,033513
0,185833	0,1	0,026167
0,187500	0,1	-0,024576
0,189167	0,1	0,043702
0,190833	0,1	-0,021676
0,192500	0,1	0,017844
0,194167	0,1	-0,016424
0,195833	0,1	-0,038455
0,197500	0,1	0,008421
0,199167	0,1	0,012492
0,200833	0,1	-0,002366
0,202500	0,1	0,035359
0,204167	0,1	0,033814
0,205833	0,1	0,038592
0,207500	0,1	0,039101
0,209167	0,1	0,049610
0,210833	0,1	0,011085
0,212500	0,1	-0,005045
0,214167	0,1	0,029128
0,215833	0,1	0,060800
0,217500	0,1	0,010531
0,219167	0,1	0,019040
0,220833	0,1	0,020332
0,222500	0,1	0,014856
0,224167	0,1	0,012884
0,225833	0,1	0,026515
0,227500	0,1	0,037392
0,229167	0,1	0,035422
0,230833	0,1	0,025759
0,232500	0,1	0,049162
0,234167	0,1	0,029113
0,235833	0,1	0,068611
0,237500	0,1	0,048820
0,239167	0,1	0,019113
0,240833	0,1	0,056674
0,242500	0,1	0,003828
0,244167	0,1	0,038966
0,245833	0,1	0,020009
0,247500	0,1	0,028652
0,249167	0,1	0,060835
0,250833	0,1	0,062069
0,252500	0,1	0,021670
0,254167	0,1	0,059454
0,255833	0,1	0,002148
0,257500	0,1	0,089532
0,259167	0,1	0,022347
0,260833	0,1	0,115399
0,262500	0,1	0,070567
0,264167	0,1	0,050564
0,265833	0,1	0,078635
0,267500	0,1	0,031245
0,269167	0,1	0,034804
0,270833	0,1	0,000246
0,272500	0,1	0,063564
0,274167	0,1	0,080419
0,275833	0,1	0,046142
0,277500	0,1	0,086246
0,279167	0,1	0,062011
0,280833	0,1	0,076294
0,282500	0,1	0,094739
0,284167	0,1	0,068335
0,285833	0,1	0,069457
0,287500	0,1	0,059101
0,289167	0,1	0,093445
0,290833	0,1	0,111257
0,292500	0,1	0,055660
0,294167	0,1	0,084988
0,295833	0,1	0,091550
0,297500	0,1	0,066455
0,299167	0,1	0,073971
0,300833	0,1	0,071029
0,302500	0,1	0,050781
0,304167	0,1	0,079962
0,305833	0,1	0,080933
0,307500	0,1	0,064228
0,309167	0,1	0,069227
0,310833	0,1	0,100740
0,312500	0,1	0,070972
0,314167	0,1	0,096679
0,315833	0,1	0,104644
0,317500	0,1	0,092264
0,319167	0,1	0,106578
0,320833	0,1	0,096644
0,322500	0,1	0,094162
0,324167	0,1	0,077911
0,325833	0,1	0,064199
0,327500	0,1	0,130441
