File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/371.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	C-NE_24h-NT_
Injection Number	37
Position	RE1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	21:07:29
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,091071
Signal Max.	144,045256
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,025256
0,002500	0,1	-0,047383
0,004167	0,1	-0,009457
0,005833	0,1	-0,005194
0,007500	0,1	-0,003649
0,009167	0,1	0,044898
0,010833	0,1	-0,012748
0,012500	0,1	0,004532
0,014167	0,1	-0,030123
0,015833	0,1	0,020925
0,017500	0,1	-0,020426
0,019167	0,1	0,004403
0,020833	0,1	0,033528
0,022500	0,1	-0,025734
0,024167	0,1	0,005040
0,025833	0,1	-0,018330
0,027500	0,1	-0,033994
0,029167	0,1	-0,036155
0,030833	0,1	0,011810
0,032500	0,1	-0,052503
0,034167	0,1	-0,029845
0,035833	0,1	-0,024334
0,037500	0,1	-0,019951
0,039167	0,1	-0,032125
0,040833	0,1	-0,091071
0,042500	0,1	-0,053044
0,044167	0,1	-0,023823
0,045833	0,1	-0,012800
0,047500	0,1	-0,065073
0,049167	0,1	-0,036481
0,050833	0,1	-0,052353
0,052500	0,1	-0,031905
0,054167	0,1	-0,047296
0,055833	0,1	0,015992
0,057500	0,1	-0,062845
0,059167	0,1	0,023527
0,060833	0,1	-0,055885
0,062500	0,1	-0,059196
0,064167	0,1	0,011091
0,065833	0,1	-0,032152
0,067500	0,1	-0,067010
0,069167	0,1	0,005583
0,070833	0,1	-0,052796
0,072500	0,1	-0,041702
0,074167	0,1	-0,028937
0,075833	0,1	-0,013027
0,077500	0,1	-0,006064
0,079167	0,1	0,003217
0,080833	0,1	0,018548
0,082500	0,1	-0,006087
0,084167	0,1	0,032108
0,085833	0,1	-0,000680
0,087500	0,1	0,022221
0,089167	0,1	0,001547
0,090833	0,1	-0,002040
0,092500	0,1	0,021320
0,094167	0,1	-0,002963
0,095833	0,1	-0,002099
