File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/772.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_00.5h-EGS_1
Injection Number	106
Position	BB1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	04:34:08
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,122753
Signal Max.	120,703938
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,041888
0,002500	0,1	-0,085091
0,004167	0,1	-0,073247
0,005833	0,1	-0,057476
0,007500	0,1	-0,009857
0,009167	0,1	-0,075197
0,010833	0,1	-0,044812
0,012500	0,1	-0,044681
0,014167	0,1	-0,082279
0,015833	0,1	-0,049636
0,017500	0,1	-0,046897
0,019167	0,1	-0,066326
0,020833	0,1	-0,036842
0,022500	0,1	-0,056411
0,024167	0,1	-0,058548
0,025833	0,1	-0,083812
0,027500	0,1	-0,065611
0,029167	0,1	-0,081828
0,030833	0,1	-0,075708
0,032500	0,1	-0,078705
0,034167	0,1	-0,073739
0,035833	0,1	-0,098156
0,037500	0,1	-0,076724
0,039167	0,1	-0,116485
0,040833	0,1	-0,104684
0,042500	0,1	-0,116903
0,044167	0,1	-0,101188
0,045833	0,1	-0,072486
0,047500	0,1	-0,075583
0,049167	0,1	-0,091204
0,050833	0,1	-0,082142
0,052500	0,1	-0,108420
0,054167	0,1	-0,044346
0,055833	0,1	-0,058960
0,057500	0,1	-0,042428
0,059167	0,1	-0,058213
0,060833	0,1	-0,087248
0,062500	0,1	-0,066544
0,064167	0,1	-0,087724
0,065833	0,1	-0,057749
0,067500	0,1	-0,063533
0,069167	0,1	-0,055943
0,070833	0,1	-0,069411
0,072500	0,1	-0,063580
0,074167	0,1	-0,049838
0,075833	0,1	-0,057864
0,077500	0,1	-0,056292
0,079167	0,1	-0,070033
0,080833	0,1	-0,040032
0,082500	0,1	-0,088798
0,084167	0,1	-0,022199
0,085833	0,1	-0,051399
0,087500	0,1	-0,045429
0,089167	0,1	-0,079442
0,090833	0,1	-0,024391
0,092500	0,1	-0,075342
0,094167	0,1	-0,038379
0,095833	0,1	-0,077499
0,097500	0,1	-0,052801
0,099167	0,1	-0,037732
0,100833	0,1	-0,050349
0,102500	0,1	-0,030508
0,104167	0,1	-0,084552
0,105833	0,1	-0,050070
0,107500	0,1	-0,036178
0,109167	0,1	-0,056990
0,110833	0,1	-0,029080
0,112500	0,1	-0,067110
0,114167	0,1	-0,122753
0,115833	0,1	-0,107665
0,117500	0,1	-0,054733
0,119167	0,1	-0,085693
0,120833	0,1	-0,104713
0,122500	0,1	-0,054878
0,124167	0,1	-0,091700
0,125833	0,1	-0,093132
0,127500	0,1	-0,093133
0,129167	0,1	-0,041856
0,130833	0,1	-0,104254
0,132500	0,1	-0,049848
0,134167	0,1	-0,051676
0,135833	0,1	-0,081536
0,137500	0,1	-0,054873
0,139167	0,1	-0,078371
0,140833	0,1	-0,050214
0,142500	0,1	-0,048574
0,144167	0,1	-0,056290
0,145833	0,1	-0,051907
0,147500	0,1	-0,063823
0,149167	0,1	-0,049984
0,150833	0,1	-0,064217
0,152500	0,1	-0,067963
0,154167	0,1	-0,061593
0,155833	0,1	-0,035187
0,157500	0,1	-0,038016
0,159167	0,1	-0,049687
0,160833	0,1	-0,052008
0,162500	0,1	-0,052898
0,164167	0,1	-0,036820
0,165833	0,1	-0,059847
0,167500	0,1	-0,054535
0,169167	0,1	-0,050085
0,170833	0,1	-0,057099
0,172500	0,1	-0,064113
0,174167	0,1	-0,081662
0,175833	0,1	-0,018389
0,177500	0,1	-0,078215
0,179167	0,1	-0,040924
0,180833	0,1	-0,059145
0,182500	0,1	-0,063348
0,184167	0,1	-0,070343
0,185833	0,1	-0,035604
0,187500	0,1	-0,055831
0,189167	0,1	-0,033592
0,190833	0,1	-0,047411
0,192500	0,1	-0,050516
0,194167	0,1	-0,067424
0,195833	0,1	-0,067304
0,197500	0,1	0,004563
0,199167	0,1	-0,035214
0,200833	0,1	-0,063737
0,202500	0,1	-0,088742
0,204167	0,1	-0,090048
0,205833	0,1	-0,062714
0,207500	0,1	-0,041973
0,209167	0,1	-0,059186
0,210833	0,1	-0,051802
0,212500	0,1	-0,038953
0,214167	0,1	-0,065971
0,215833	0,1	-0,081186
0,217500	0,1	-0,049759
0,219167	0,1	-0,042385
0,220833	0,1	-0,074952
0,222500	0,1	-0,057517
0,224167	0,1	-0,071316
0,225833	0,1	-0,026146
0,227500	0,1	-0,063278
0,229167	0,1	-0,051700
0,230833	0,1	-0,049689
0,232500	0,1	-0,069846
0,234167	0,1	-0,044916
0,235833	0,1	-0,044910
0,237500	0,1	-0,080996
0,239167	0,1	-0,074943
0,240833	0,1	-0,022484
0,242500	0,1	-0,066361
0,244167	0,1	-0,034670
0,245833	0,1	-0,056060
0,247500	0,1	-0,039760
0,249167	0,1	-0,034106
0,250833	0,1	-0,024895
0,252500	0,1	-0,018459
0,254167	0,1	-0,055932
0,255833	0,1	-0,030199
0,257500	0,1	-0,032923
0,259167	0,1	-0,054114
0,260833	0,1	-0,049256
0,262500	0,1	-0,076569
0,264167	0,1	-0,066333
0,265833	0,1	-0,075722
0,267500	0,1	-0,029934
0,269167	0,1	-0,010514
0,270833	0,1	-0,093466
0,272500	0,1	-0,072916
0,274167	0,1	-0,064099
0,275833	0,1	0,006116
0,277500	0,1	-0,059713
0,279167	0,1	-0,031566
0,280833	0,1	-0,070915
0,282500	0,1	-0,062957
0,284167	0,1	-0,055196
0,285833	0,1	-0,062108
0,287500	0,1	-0,034090
0,289167	0,1	-0,024337
0,290833	0,1	0,003623
0,292500	0,1	-0,055118
0,294167	0,1	-0,047934
0,295833	0,1	-0,024631
0,297500	0,1	-0,049042
0,299167	0,1	0,008748
0,300833	0,1	-0,028631
0,302500	0,1	-0,097133
0,304167	0,1	-0,046453
0,305833	0,1	-0,021631
0,307500	0,1	-0,056554
0,309167	0,1	-0,051907
0,310833	0,1	-0,050456
0,312500	0,1	-0,066535
0,314167	0,1	-0,047999
0,315833	0,1	-0,034812
0,317500	0,1	-0,014714
0,319167	0,1	-0,067310
0,320833	0,1	-0,027657
0,322500	0,1	-0,048711
0,324167	0,1	-0,067756
0,325833	0,1	-0,023746
0,327500	0,1	-0,062618
0,329167	0,1	-0,039990
0,330833	0,1	-0,078905
0,332500	0,1	-0,060769
0,334167	0,1	-0,002139
0,335833	0,1	-0,032256
0,337500	0,1	-0,067646
0,339167	0,1	-0,037032
0,340833	0,1	-0,050638
0,342500	0,1	-0,037564
0,344167	0,1	-0,049646
0,345833	0,1	-0,013704
0,347500	0,1	-0,026361
0,349167	0,1	-0,050037
0,350833	0,1	-0,048636
0,352500	0,1	-0,023119
0,354167	0,1	-0,061601
0,355833	0,1	-0,054992
0,357500	0,1	-0,052651
0,359167	0,1	-0,048717
0,360833	0,1	-0,038143
0,362500	0,1	-0,040851
0,364167	0,1	-0,021214
0,365833	0,1	-0,021417
0,367500	0,1	-0,060817
0,369167	0,1	-0,060703
0,370833	0,1	-0,065234
0,372500	0,1	-0,027325
0,374167	0,1	-0,055811
0,375833	0,1	-0,033822
0,377500	0,1	-0,056848
0,379167	0,1	-0,018488
0,380833	0,1	-0,017257
0,382500	0,1	-0,017837
0,384167	0,1	-0,016740
0,385833	0,1	-0,010095
0,387500	0,1	-0,037864
0,389167	0,1	-0,021586
0,390833	0,1	-0,047179
0,392500	0,1	-0,011283
0,394167	0,1	0,012730
0,395833	0,1	-0,022547
0,397500	0,1	-0,034474
0,399167	0,1	-0,028725
0,400833	0,1	0,005298
0,402500	0,1	-0,035006
0,404167	0,1	-0,036609
0,405833	0,1	-0,018421
0,407500	0,1	-0,015104
0,409167	0,1	-0,024850
0,410833	0,1	-0,011423
0,412500	0,1	-0,013633
0,414167	0,1	-0,059842
0,415833	0,1	-0,017661
0,417500	0,1	-0,030273
0,419167	0,1	-0,007926
0,420833	0,1	-0,028241
0,422500	0,1	-0,051052
0,424167	0,1	-0,057408
0,425833	0,1	-0,022275
