File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/873.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_00h-EGS_2
Injection Number	119
Position	BC5
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	05:58:19
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,093638
Signal Max.	101,709890
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,042194
0,002500	0,1	-0,061834
0,004167	0,1	-0,051485
0,005833	0,1	-0,047602
0,007500	0,1	-0,022536
0,009167	0,1	-0,057996
0,010833	0,1	-0,063807
0,012500	0,1	-0,038869
0,014167	0,1	-0,005750
0,015833	0,1	-0,034045
0,017500	0,1	-0,031806
0,019167	0,1	-0,050041
0,020833	0,1	-0,027457
0,022500	0,1	-0,054361
0,024167	0,1	-0,043328
0,025833	0,1	-0,041553
0,027500	0,1	-0,060857
0,029167	0,1	-0,033355
0,030833	0,1	-0,061999
0,032500	0,1	-0,083893
0,034167	0,1	-0,071985
0,035833	0,1	-0,093638
0,037500	0,1	-0,064261
0,039167	0,1	-0,057181
0,040833	0,1	-0,089267
0,042500	0,1	-0,085929
0,044167	0,1	-0,058378
0,045833	0,1	-0,052919
0,047500	0,1	-0,048778
0,049167	0,1	-0,042607
0,050833	0,1	-0,013204
0,052500	0,1	-0,039437
0,054167	0,1	-0,076068
0,055833	0,1	-0,024590
0,057500	0,1	-0,000615
0,059167	0,1	-0,031690
0,060833	0,1	-0,050391
0,062500	0,1	-0,034682
0,064167	0,1	-0,041673
0,065833	0,1	-0,023072
0,067500	0,1	-0,030062
0,069167	0,1	-0,061435
0,070833	0,1	-0,035766
0,072500	0,1	-0,054135
0,074167	0,1	-0,014260
0,075833	0,1	0,013732
0,077500	0,1	-0,002089
0,079167	0,1	-0,026681
0,080833	0,1	-0,003777
0,082500	0,1	-0,044199
0,084167	0,1	-0,014398
0,085833	0,1	-0,022651
0,087500	0,1	-0,040265
0,089167	0,1	-0,014167
0,090833	0,1	-0,031343
0,092500	0,1	-0,017112
0,094167	0,1	0,010954
0,095833	0,1	-0,037813
0,097500	0,1	-0,060673
0,099167	0,1	-0,053392
0,100833	0,1	-0,017056
0,102500	0,1	-0,050632
0,104167	0,1	-0,047724
0,105833	0,1	-0,029654
0,107500	0,1	-0,037243
0,109167	0,1	-0,062673
0,110833	0,1	-0,078700
0,112500	0,1	-0,076902
0,114167	0,1	-0,030242
0,115833	0,1	-0,062426
0,117500	0,1	0,028492
0,119167	0,1	-0,073194
0,120833	0,1	-0,049777
0,122500	0,1	-0,072405
0,124167	0,1	-0,056357
0,125833	0,1	-0,036547
0,127500	0,1	-0,085627
0,129167	0,1	-0,025130
0,130833	0,1	-0,025739
0,132500	0,1	-0,057690
0,134167	0,1	-0,053085
0,135833	0,1	-0,090563
0,137500	0,1	-0,011107
0,139167	0,1	-0,043239
0,140833	0,1	-0,065605
0,142500	0,1	-0,070926
0,144167	0,1	-0,086688
0,145833	0,1	-0,016299
0,147500	0,1	-0,055230
0,149167	0,1	-0,014340
0,150833	0,1	-0,027599
0,152500	0,1	-0,055294
0,154167	0,1	-0,046212
0,155833	0,1	-0,052960
0,157500	0,1	-0,025853
0,159167	0,1	-0,009428
0,160833	0,1	-0,039848
0,162500	0,1	-0,033317
0,164167	0,1	-0,015995
0,165833	0,1	-0,013548
0,167500	0,1	-0,018160
0,169167	0,1	-0,072778
0,170833	0,1	-0,040734
0,172500	0,1	-0,009035
0,174167	0,1	-0,043804
0,175833	0,1	-0,006955
0,177500	0,1	-0,044751
0,179167	0,1	-0,033855
0,180833	0,1	-0,035576
0,182500	0,1	-0,007551
0,184167	0,1	-0,006903
0,185833	0,1	-0,000856
0,187500	0,1	-0,038044
0,189167	0,1	0,006976
0,190833	0,1	-0,009420
0,192500	0,1	-0,040139
0,194167	0,1	-0,030752
0,195833	0,1	-0,007093
0,197500	0,1	-0,025612
0,199167	0,1	-0,042586
0,200833	0,1	-0,054671
0,202500	0,1	-0,026037
0,204167	0,1	-0,058990
0,205833	0,1	-0,014506
0,207500	0,1	-0,040904
0,209167	0,1	-0,042605
0,210833	0,1	-0,003827
0,212500	0,1	-0,030955
0,214167	0,1	-0,047507
0,215833	0,1	-0,031485
0,217500	0,1	-0,001669
0,219167	0,1	-0,053424
0,220833	0,1	-0,030650
0,222500	0,1	0,006590
0,224167	0,1	0,003929
0,225833	0,1	0,000571
0,227500	0,1	-0,009986
0,229167	0,1	-0,039390
0,230833	0,1	0,025001
0,232500	0,1	-0,004602
0,234167	0,1	-0,010294
0,235833	0,1	-0,030456
0,237500	0,1	-0,005475
0,239167	0,1	0,000427
0,240833	0,1	-0,005161
0,242500	0,1	-0,023229
0,244167	0,1	0,003649
0,245833	0,1	-0,000485
0,247500	0,1	-0,002611
0,249167	0,1	-0,019548
0,250833	0,1	-0,034429
0,252500	0,1	-0,027420
