File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/966.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_00h-EGS_NA
Injection Number	121
Position	BC7
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	06:11:19
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,098078
Signal Max.	35,778482
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,004369
0,002500	0,1	-0,025644
0,004167	0,1	-0,024489
0,005833	0,1	0,002452
0,007500	0,1	-0,021336
0,009167	0,1	-0,009840
0,010833	0,1	-0,006294
0,012500	0,1	-0,009609
0,014167	0,1	-0,018009
0,015833	0,1	-0,029252
0,017500	0,1	-0,021038
0,019167	0,1	-0,008618
0,020833	0,1	-0,039298
0,022500	0,1	-0,009509
0,024167	0,1	-0,018651
0,025833	0,1	-0,028580
0,027500	0,1	-0,033300
0,029167	0,1	-0,082382
0,030833	0,1	-0,057153
0,032500	0,1	-0,034162
0,034167	0,1	-0,058822
0,035833	0,1	-0,082802
0,037500	0,1	-0,067110
0,039167	0,1	-0,074344
0,040833	0,1	-0,074894
0,042500	0,1	-0,081584
0,044167	0,1	-0,098078
0,045833	0,1	-0,042556
0,047500	0,1	-0,027364
0,049167	0,1	-0,089053
0,050833	0,1	-0,030107
0,052500	0,1	-0,046817
0,054167	0,1	-0,019132
0,055833	0,1	-0,040981
0,057500	0,1	-0,058884
0,059167	0,1	0,000916
0,060833	0,1	-0,006461
0,062500	0,1	-0,053530
0,064167	0,1	-0,034880
0,065833	0,1	-0,025254
0,067500	0,1	-0,015447
0,069167	0,1	-0,030151
0,070833	0,1	-0,047198
0,072500	0,1	-0,049692
0,074167	0,1	-0,037153
0,075833	0,1	-0,038769
0,077500	0,1	-0,023437
0,079167	0,1	-0,006344
0,080833	0,1	-0,031479
0,082500	0,1	-0,025895
0,084167	0,1	-0,036431
0,085833	0,1	-0,014747
0,087500	0,1	0,036104
0,089167	0,1	-0,026337
0,090833	0,1	0,009263
0,092500	0,1	-0,007191
0,094167	0,1	-0,031815
0,095833	0,1	0,012073
0,097500	0,1	-0,009543
0,099167	0,1	0,005313
0,100833	0,1	0,053887
0,102500	0,1	0,009116
0,104167	0,1	0,020378
0,105833	0,1	0,029467
0,107500	0,1	-0,025345
0,109167	0,1	-0,016194
0,110833	0,1	-0,018636
0,112500	0,1	-0,046814
0,114167	0,1	-0,022172
0,115833	0,1	-0,052052
0,117500	0,1	-0,075730
0,119167	0,1	-0,009273
0,120833	0,1	0,011772
0,122500	0,1	-0,041660
0,124167	0,1	-0,008243
0,125833	0,1	-0,010020
0,127500	0,1	-0,020392
0,129167	0,1	-0,036383
0,130833	0,1	-0,063418
0,132500	0,1	-0,027841
0,134167	0,1	-0,061033
0,135833	0,1	-0,046991
0,137500	0,1	0,002922
0,139167	0,1	-0,029033
0,140833	0,1	-0,005780
0,142500	0,1	-0,014221
0,144167	0,1	-0,022209
0,145833	0,1	-0,043958
0,147500	0,1	-0,009862
0,149167	0,1	-0,029661
0,150833	0,1	0,014379
0,152500	0,1	-0,018598
0,154167	0,1	-0,024365
0,155833	0,1	0,003674
0,157500	0,1	0,009991
0,159167	0,1	-0,017072
0,160833	0,1	0,001830
0,162500	0,1	-0,003451
0,164167	0,1	0,033126
0,165833	0,1	-0,031758
0,167500	0,1	-0,010026
0,169167	0,1	-0,000093
0,170833	0,1	0,019594
0,172500	0,1	0,021174
0,174167	0,1	0,017675
0,175833	0,1	0,024536
0,177500	0,1	0,005505
0,179167	0,1	0,022363
0,180833	0,1	0,005688
0,182500	0,1	0,052831
0,184167	0,1	0,033493
0,185833	0,1	0,007659
0,187500	0,1	0,038657
0,189167	0,1	-0,018745
0,190833	0,1	-0,015246
0,192500	0,1	-0,003776
0,194167	0,1	0,020603
0,195833	0,1	0,021769
0,197500	0,1	0,037534
0,199167	0,1	-0,023588
0,200833	0,1	-0,001793
0,202500	0,1	-0,000872
0,204167	0,1	-0,030867
0,205833	0,1	0,004483
0,207500	0,1	0,005912
0,209167	0,1	0,021063
0,210833	0,1	0,051279
0,212500	0,1	0,000747
0,214167	0,1	0,005331
0,215833	0,1	-0,004060
0,217500	0,1	-0,016114
0,219167	0,1	0,001752
0,220833	0,1	-0,019670
0,222500	0,1	-0,018683
0,224167	0,1	0,016170
0,225833	0,1	0,026013
0,227500	0,1	0,014119
0,229167	0,1	-0,003067
0,230833	0,1	0,022177
0,232500	0,1	0,007490
0,234167	0,1	-0,013865
0,235833	0,1	-0,011596
0,237500	0,1	0,038379
0,239167	0,1	0,014032
0,240833	0,1	-0,041736
0,242500	0,1	0,037715
0,244167	0,1	0,004012
0,245833	0,1	0,021019
0,247500	0,1	0,035637
0,249167	0,1	0,020825
0,250833	0,1	0,050349
0,252500	0,1	0,034379
0,254167	0,1	-0,000846
0,255833	0,1	0,006491
0,257500	0,1	-0,000412
0,259167	0,1	0,016923
0,260833	0,1	0,015248
0,262500	0,1	0,039257
0,264167	0,1	-0,018928
0,265833	0,1	0,036348
0,267500	0,1	-0,004802
0,269167	0,1	-0,008369
0,270833	0,1	0,021243
0,272500	0,1	0,034019
0,274167	0,1	0,015296
0,275833	0,1	0,022059
