File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/272.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_01h-EGS_1
Injection Number	97
Position	GE8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	03:35:36
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,111345
Signal Max.	126,733327
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,026103
0,002500	0,1	-0,058638
0,004167	0,1	-0,059349
0,005833	0,1	-0,044013
0,007500	0,1	-0,018514
0,009167	0,1	-0,034240
0,010833	0,1	-0,024928
0,012500	0,1	-0,006837
0,014167	0,1	-0,026143
0,015833	0,1	-0,025876
0,017500	0,1	-0,008200
0,019167	0,1	-0,035187
0,020833	0,1	-0,011929
0,022500	0,1	-0,044520
0,024167	0,1	-0,091756
0,025833	0,1	-0,030758
0,027500	0,1	-0,056899
0,029167	0,1	-0,084413
0,030833	0,1	-0,111345
0,032500	0,1	-0,093423
0,034167	0,1	-0,093280
0,035833	0,1	-0,073989
0,037500	0,1	-0,092545
0,039167	0,1	-0,044831
0,040833	0,1	-0,102600
0,042500	0,1	-0,080925
0,044167	0,1	-0,084558
0,045833	0,1	-0,105712
0,047500	0,1	-0,097746
0,049167	0,1	-0,067436
0,050833	0,1	-0,090874
0,052500	0,1	-0,088120
0,054167	0,1	-0,034705
0,055833	0,1	-0,070751
0,057500	0,1	-0,029470
0,059167	0,1	-0,057294
0,060833	0,1	-0,039752
0,062500	0,1	-0,032584
0,064167	0,1	-0,005494
0,065833	0,1	-0,076165
0,067500	0,1	-0,021668
0,069167	0,1	-0,091170
0,070833	0,1	-0,063724
0,072500	0,1	-0,063763
0,074167	0,1	-0,037705
0,075833	0,1	-0,015384
0,077500	0,1	-0,024632
0,079167	0,1	-0,020452
0,080833	0,1	-0,021840
0,082500	0,1	-0,010766
0,084167	0,1	-0,008591
0,085833	0,1	-0,036285
0,087500	0,1	-0,077782
0,089167	0,1	-0,020657
0,090833	0,1	-0,007996
0,092500	0,1	-0,005135
0,094167	0,1	-0,028857
0,095833	0,1	-0,021366
0,097500	0,1	-0,011555
0,099167	0,1	-0,031190
0,100833	0,1	-0,028049
0,102500	0,1	-0,062452
0,104167	0,1	-0,055834
0,105833	0,1	-0,027393
0,107500	0,1	-0,031984
0,109167	0,1	-0,015921
0,110833	0,1	-0,068258
0,112500	0,1	-0,103538
0,114167	0,1	-0,055283
0,115833	0,1	-0,087225
0,117500	0,1	-0,067161
0,119167	0,1	-0,035966
0,120833	0,1	-0,080436
0,122500	0,1	-0,067801
0,124167	0,1	-0,045862
0,125833	0,1	-0,062845
0,127500	0,1	-0,045527
0,129167	0,1	-0,062887
0,130833	0,1	-0,064421
0,132500	0,1	-0,023011
0,134167	0,1	-0,032476
0,135833	0,1	-0,028506
0,137500	0,1	-0,056652
0,139167	0,1	-0,087022
0,140833	0,1	-0,042404
0,142500	0,1	-0,053325
0,144167	0,1	-0,034618
0,145833	0,1	-0,049185
0,147500	0,1	-0,035197
0,149167	0,1	-0,055970
0,150833	0,1	0,007214
0,152500	0,1	-0,051223
0,154167	0,1	-0,066388
0,155833	0,1	-0,062331
0,157500	0,1	0,008700
0,159167	0,1	-0,024585
0,160833	0,1	-0,026473
0,162500	0,1	-0,039683
0,164167	0,1	-0,052595
0,165833	0,1	0,004149
0,167500	0,1	-0,030940
0,169167	0,1	-0,021325
0,170833	0,1	-0,012711
0,172500	0,1	-0,047045
0,174167	0,1	-0,050137
0,175833	0,1	-0,012285
0,177500	0,1	-0,038149
0,179167	0,1	-0,049642
0,180833	0,1	-0,009904
0,182500	0,1	-0,058300
0,184167	0,1	-0,088736
0,185833	0,1	-0,048450
0,187500	0,1	-0,052334
0,189167	0,1	-0,086775
0,190833	0,1	-0,005401
0,192500	0,1	-0,033570
0,194167	0,1	-0,023250
0,195833	0,1	-0,041211
0,197500	0,1	-0,060884
0,199167	0,1	-0,065826
0,200833	0,1	-0,027564
0,202500	0,1	-0,028152
0,204167	0,1	-0,019485
0,205833	0,1	-0,060149
0,207500	0,1	0,017103
0,209167	0,1	-0,056353
0,210833	0,1	-0,015450
0,212500	0,1	-0,022937
0,214167	0,1	-0,031815
0,215833	0,1	-0,007457
0,217500	0,1	-0,043051
0,219167	0,1	-0,023356
0,220833	0,1	-0,040279
0,222500	0,1	-0,005514
0,224167	0,1	-0,062132
0,225833	0,1	0,003025
0,227500	0,1	-0,003746
0,229167	0,1	-0,025686
0,230833	0,1	-0,032539
0,232500	0,1	-0,018800
0,234167	0,1	-0,027219
0,235833	0,1	-0,014081
0,237500	0,1	-0,016582
0,239167	0,1	-0,004578
0,240833	0,1	-0,008960
0,242500	0,1	-0,010910
0,244167	0,1	-0,065649
0,245833	0,1	-0,036834
0,247500	0,1	-0,054107
0,249167	0,1	-0,033254
0,250833	0,1	-0,035815
0,252500	0,1	-0,024657
0,254167	0,1	-0,018115
0,255833	0,1	-0,058620
0,257500	0,1	-0,020793
0,259167	0,1	-0,012858
0,260833	0,1	-0,042560
0,262500	0,1	-0,016775
0,264167	0,1	0,009891
0,265833	0,1	-0,026551
0,267500	0,1	-0,026580
0,269167	0,1	-0,025918
0,270833	0,1	-0,027949
0,272500	0,1	-0,007912
0,274167	0,1	0,000021
0,275833	0,1	-0,006808
0,277500	0,1	-0,022849
0,279167	0,1	0,020983
0,280833	0,1	-0,020732
0,282500	0,1	0,010014
0,284167	0,1	-0,013781
0,285833	0,1	-0,019852
0,287500	0,1	-0,033036
0,289167	0,1	0,012951
0,290833	0,1	-0,007346
0,292500	0,1	-0,003890
0,294167	0,1	-0,033427
0,295833	0,1	-0,010669
0,297500	0,1	-0,026637
0,299167	0,1	-0,025506
0,300833	0,1	-0,012691
0,302500	0,1	0,003764
0,304167	0,1	-0,008131
0,305833	0,1	0,010079
0,307500	0,1	-0,022245
0,309167	0,1	-0,014677
0,310833	0,1	0,001032
0,312500	0,1	-0,028436
0,314167	0,1	-0,013790
0,315833	0,1	-0,039450
0,317500	0,1	-0,044009
0,319167	0,1	-0,015492
0,320833	0,1	0,002689
0,322500	0,1	-0,036485
0,324167	0,1	-0,016729
0,325833	0,1	-0,033203
0,327500	0,1	-0,019504
0,329167	0,1	-0,032105
0,330833	0,1	-0,033619
0,332500	0,1	-0,031238
0,334167	0,1	-0,044155
0,335833	0,1	-0,004732
0,337500	0,1	-0,019250
0,339167	0,1	-0,004331
0,340833	0,1	-0,031978
0,342500	0,1	-0,026376
0,344167	0,1	-0,017474
0,345833	0,1	-0,014844
0,347500	0,1	0,010783
0,349167	0,1	0,003584
0,350833	0,1	-0,011137
0,352500	0,1	-0,028131
0,354167	0,1	-0,003236
0,355833	0,1	-0,017177
0,357500	0,1	0,011277
0,359167	0,1	-0,013468
0,360833	0,1	0,001094
0,362500	0,1	-0,040466
0,364167	0,1	-0,014417
0,365833	0,1	-0,027243
0,367500	0,1	-0,020127
0,369167	0,1	-0,011160
0,370833	0,1	-0,006440
0,372500	0,1	-0,019850
0,374167	0,1	-0,003172
0,375833	0,1	0,037526
0,377500	0,1	0,014913
0,379167	0,1	-0,020282
0,380833	0,1	0,005646
0,382500	0,1	0,004369
0,384167	0,1	-0,019206
0,385833	0,1	-0,039286
0,387500	0,1	0,005580
0,389167	0,1	0,003874
0,390833	0,1	-0,018853
0,392500	0,1	-0,004805
0,394167	0,1	-0,011386
0,395833	0,1	0,001304
0,397500	0,1	0,001139
0,399167	0,1	-0,037751
0,400833	0,1	-0,023108
0,402500	0,1	-0,004621
0,404167	0,1	-0,012212
0,405833	0,1	0,002502
0,407500	0,1	0,027800
0,409167	0,1	0,000733
0,410833	0,1	-0,001716
0,412500	0,1	0,014015
0,414167	0,1	0,016067
0,415833	0,1	-0,019369
0,417500	0,1	-0,004455
0,419167	0,1	0,022830
0,420833	0,1	-0,019367
0,422500	0,1	-0,006892
0,424167	0,1	0,004637
0,425833	0,1	-0,009600
0,427500	0,1	-0,000665
0,429167	0,1	-0,014672
0,430833	0,1	0,027009
0,432500	0,1	0,019982
0,434167	0,1	-0,022057
0,435833	0,1	0,016077
0,437500	0,1	-0,021269
0,439167	0,1	-0,004370
0,440833	0,1	0,032454
0,442500	0,1	-0,010506
0,444167	0,1	0,034545
0,445833	0,1	-0,020420
0,447500	0,1	0,067868
0,449167	0,1	0,016554
0,450833	0,1	-0,015786
0,452500	0,1	0,009082
0,454167	0,1	-0,015170
0,455833	0,1	0,036240
0,457500	0,1	0,004253
0,459167	0,1	0,008716
0,460833	0,1	0,010704
0,462500	0,1	-0,025164
0,464167	0,1	0,038680
0,465833	0,1	-0,000238
0,467500	0,1	-0,024505
0,469167	0,1	0,034998
0,470833	0,1	-0,014663
0,472500	0,1	0,010427
0,474167	0,1	0,027430
0,475833	0,1	0,036104
0,477500	0,1	0,007896
0,479167	0,1	-0,014879
0,480833	0,1	0,009830
0,482500	0,1	0,022315
0,484167	0,1	0,028549
0,485833	0,1	0,059332
0,487500	0,1	-0,014578
0,489167	0,1	0,007263
0,490833	0,1	0,024987
0,492500	0,1	0,041777
0,494167	0,1	0,026297
0,495833	0,1	0,010937
0,497500	0,1	0,033329
0,499167	0,1	0,008102
0,500833	0,1	-0,015232
0,502500	0,1	-0,035478
0,504167	0,1	0,026548
0,505833	0,1	0,037471
0,507500	0,1	0,006861
0,509167	0,1	-0,021024
0,510833	0,1	0,005169
0,512500	0,1	0,063071
0,514167	0,1	0,000742
0,515833	0,1	0,024300
0,517500	0,1	-0,007941
0,519167	0,1	0,010305
0,520833	0,1	0,016811
0,522500	0,1	0,007000
0,524167	0,1	-0,008463
0,525833	0,1	-0,005612
0,527500	0,1	-0,001138
0,529167	0,1	0,054833
0,530833	0,1	0,009908
0,532500	0,1	0,017762
0,534167	0,1	0,025278
0,535833	0,1	0,023478
0,537500	0,1	0,032420
0,539167	0,1	-0,006261
0,540833	0,1	0,023182
0,542500	0,1	-0,001525
0,544167	0,1	0,042040
0,545833	0,1	0,015327
0,547500	0,1	0,032729
0,549167	0,1	0,031428
0,550833	0,1	-0,000137
0,552500	0,1	0,009024
0,554167	0,1	0,038214
0,555833	0,1	0,004068
0,557500	0,1	0,063381
0,559167	0,1	0,022225
0,560833	0,1	0,023269
0,562500	0,1	0,033660
0,564167	0,1	0,043911
0,565833	0,1	0,032943
0,567500	0,1	0,041757
0,569167	0,1	0,025575
0,570833	0,1	0,039479
0,572500	0,1	0,017274
0,574167	0,1	0,052891
0,575833	0,1	0,043293
0,577500	0,1	0,086598
0,579167	0,1	0,024280
0,580833	0,1	0,028156
0,582500	0,1	0,007853
0,584167	0,1	0,039745
0,585833	0,1	0,061796
0,587500	0,1	0,015061
0,589167	0,1	0,094996
0,590833	0,1	0,023910
0,592500	0,1	0,045192
0,594167	0,1	0,012491
0,595833	0,1	0,045561
0,597500	0,1	0,030253
0,599167	0,1	0,073760
0,600833	0,1	0,021295
0,602500	0,1	0,042107
0,604167	0,1	0,022385
0,605833	0,1	0,062145
0,607500	0,1	0,069957
0,609167	0,1	0,059175
0,610833	0,1	0,062009
0,612500	0,1	0,076728
0,614167	0,1	0,072674
0,615833	0,1	0,057105
0,617500	0,1	0,063996
0,619167	0,1	0,064453
0,620833	0,1	0,052735
0,622500	0,1	0,013301
0,624167	0,1	0,048749
0,625833	0,1	0,079975
0,627500	0,1	0,112316
0,629167	0,1	0,082122
0,630833	0,1	0,075760
0,632500	0,1	0,053773
0,634167	0,1	0,053498
0,635833	0,1	0,050994
0,637500	0,1	0,113098
0,639167	0,1	0,055543
0,640833	0,1	0,070102
0,642500	0,1	0,085818
0,644167	0,1	0,086215
0,645833	0,1	0,116976
0,647500	0,1	0,052211
0,649167	0,1	0,082936
0,650833	0,1	0,113002
0,652500	0,1	0,091002
0,654167	0,1	0,113540
0,655833	0,1	0,103320
0,657500	0,1	0,075598
0,659167	0,1	0,080623
0,660833	0,1	0,093584
0,662500	0,1	0,123957
0,664167	0,1	0,106904
0,665833	0,1	0,127145
0,667500	0,1	0,089391
0,669167	0,1	0,114659
0,670833	0,1	0,117708
0,672500	0,1	0,124126
0,674167	0,1	0,115166
0,675833	0,1	0,108536
0,677500	0,1	0,154001
0,679167	0,1	0,115792
0,680833	0,1	0,117027
0,682500	0,1	0,142825
0,684167	0,1	0,116493
0,685833	0,1	0,126381
0,687500	0,1	0,128933
0,689167	0,1	0,134852
0,690833	0,1	0,098171
0,692500	0,1	0,131080
0,694167	0,1	0,118252
0,695833	0,1	0,108518
0,697500	0,1	0,118371
0,699167	0,1	0,159676
0,700833	0,1	0,165855
0,702500	0,1	0,128693
0,704167	0,1	0,120527
0,705833	0,1	0,150982
0,707500	0,1	0,168670
0,709167	0,1	0,159087
0,710833	0,1	0,142335
0,712500	0,1	0,191212
0,714167	0,1	0,198310
0,715833	0,1	0,156941
0,717500	0,1	0,161135
0,719167	0,1	0,190888
0,720833	0,1	0,177049
0,722500	0,1	0,174124
0,724167	0,1	0,198807
0,725833	0,1	0,165472
0,727500	0,1	0,157661
0,729167	0,1	0,182834
0,730833	0,1	0,232039
0,732500	0,1	0,192918
0,734167	0,1	0,213653
0,735833	0,1	0,184444
0,737500	0,1	0,168969
0,739167	0,1	0,222634
0,740833	0,1	0,199122
0,742500	0,1	0,210280
0,744167	0,1	0,201233
0,745833	0,1	0,211299
0,747500	0,1	0,262257
0,749167	0,1	0,236075
0,750833	0,1	0,213335
0,752500	0,1	0,221775
0,754167	0,1	0,203515
0,755833	0,1	0,201482
0,757500	0,1	0,189827
0,759167	0,1	0,205042
0,760833	0,1	0,238566
0,762500	0,1	0,197514
0,764167	0,1	0,219001
0,765833	0,1	0,236981
