File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/638.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_01h-EGS_3
Injection Number	99
Position	BA2
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	03:48:37
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,172983
Signal Max.	122,418042
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,106081
0,002500	0,1	-0,102831
0,004167	0,1	-0,080315
0,005833	0,1	-0,060669
0,007500	0,1	-0,084525
0,009167	0,1	-0,097218
0,010833	0,1	-0,053098
0,012500	0,1	-0,060353
0,014167	0,1	-0,061700
0,015833	0,1	-0,088268
0,017500	0,1	-0,065100
0,019167	0,1	-0,091810
0,020833	0,1	-0,087658
0,022500	0,1	-0,068743
0,024167	0,1	-0,061060
0,025833	0,1	-0,074302
0,027500	0,1	-0,085150
0,029167	0,1	-0,120085
0,030833	0,1	-0,098258
0,032500	0,1	-0,107777
0,034167	0,1	-0,116427
0,035833	0,1	-0,128581
0,037500	0,1	-0,172983
0,039167	0,1	-0,121432
0,040833	0,1	-0,146394
0,042500	0,1	-0,121276
0,044167	0,1	-0,124873
0,045833	0,1	-0,106455
0,047500	0,1	-0,126110
0,049167	0,1	-0,111859
0,050833	0,1	-0,115724
0,052500	0,1	-0,100495
0,054167	0,1	-0,074602
0,055833	0,1	-0,075609
0,057500	0,1	-0,088629
0,059167	0,1	-0,086333
0,060833	0,1	-0,075302
0,062500	0,1	-0,092972
0,064167	0,1	-0,108417
0,065833	0,1	-0,053039
0,067500	0,1	-0,119498
0,069167	0,1	-0,090996
0,070833	0,1	-0,112097
0,072500	0,1	-0,069226
0,074167	0,1	-0,048082
0,075833	0,1	-0,084213
0,077500	0,1	-0,059675
0,079167	0,1	-0,098453
0,080833	0,1	-0,088819
0,082500	0,1	-0,075012
0,084167	0,1	-0,071430
0,085833	0,1	-0,072218
0,087500	0,1	-0,058204
0,089167	0,1	-0,050377
0,090833	0,1	-0,105944
0,092500	0,1	0,004357
0,094167	0,1	-0,073874
0,095833	0,1	-0,061517
0,097500	0,1	-0,041064
0,099167	0,1	-0,076907
