File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/246.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_02h-EGS_1
Injection Number	87
Position	GD7
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	02:30:54
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,101415
Signal Max.	143,479721
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,020352
0,002500	0,1	-0,005423
0,004167	0,1	-0,022127
0,005833	0,1	0,035287
0,007500	0,1	-0,025721
0,009167	0,1	0,015098
0,010833	0,1	0,013781
0,012500	0,1	-0,003756
0,014167	0,1	-0,031693
0,015833	0,1	0,000642
0,017500	0,1	-0,033988
0,019167	0,1	0,022260
0,020833	0,1	-0,068649
0,022500	0,1	-0,011934
0,024167	0,1	0,007687
0,025833	0,1	-0,019100
0,027500	0,1	-0,041554
0,029167	0,1	-0,031537
0,030833	0,1	-0,073751
0,032500	0,1	-0,058316
0,034167	0,1	-0,060465
0,035833	0,1	-0,085038
0,037500	0,1	-0,039644
0,039167	0,1	-0,094783
0,040833	0,1	-0,055754
0,042500	0,1	-0,101415
0,044167	0,1	-0,024594
0,045833	0,1	-0,057889
0,047500	0,1	-0,023609
0,049167	0,1	-0,021201
0,050833	0,1	-0,037473
0,052500	0,1	-0,022488
0,054167	0,1	-0,028217
0,055833	0,1	-0,028984
0,057500	0,1	-0,023022
0,059167	0,1	-0,012874
0,060833	0,1	-0,028671
0,062500	0,1	-0,012257
0,064167	0,1	-0,031362
0,065833	0,1	-0,056319
0,067500	0,1	-0,030651
0,069167	0,1	-0,028325
0,070833	0,1	-0,044185
0,072500	0,1	0,012482
0,074167	0,1	0,047762
0,075833	0,1	-0,012548
0,077500	0,1	-0,016352
0,079167	0,1	-0,014675
0,080833	0,1	-0,015772
0,082500	0,1	-0,014780
0,084167	0,1	0,000563
0,085833	0,1	0,001872
0,087500	0,1	0,037717
0,089167	0,1	-0,002386
