File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/858.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	CelS2_04h-EGS_3
Injection Number	80
Position	GC8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	01:45:27
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,142470
Signal Max.	302,815653
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,055566
0,002500	0,1	-0,068143
0,004167	0,1	-0,045251
0,005833	0,1	-0,088152
0,007500	0,1	-0,063530
0,009167	0,1	-0,086459
0,010833	0,1	-0,037155
0,012500	0,1	0,005439
0,014167	0,1	-0,058471
0,015833	0,1	0,006176
0,017500	0,1	-0,048298
0,019167	0,1	-0,028938
0,020833	0,1	-0,047397
0,022500	0,1	-0,041972
0,024167	0,1	-0,063995
0,025833	0,1	-0,074027
0,027500	0,1	-0,054244
0,029167	0,1	-0,043445
0,030833	0,1	-0,076427
0,032500	0,1	-0,061434
0,034167	0,1	-0,133483
0,035833	0,1	-0,111107
0,037500	0,1	-0,099417
0,039167	0,1	-0,129267
0,040833	0,1	-0,142470
0,042500	0,1	-0,104274
0,044167	0,1	-0,107455
0,045833	0,1	-0,036934
0,047500	0,1	-0,112970
0,049167	0,1	-0,091380
0,050833	0,1	-0,079234
0,052500	0,1	-0,062905
0,054167	0,1	-0,052026
0,055833	0,1	-0,058922
0,057500	0,1	-0,056479
0,059167	0,1	-0,057287
0,060833	0,1	-0,059937
0,062500	0,1	-0,052189
0,064167	0,1	-0,070150
0,065833	0,1	-0,079501
0,067500	0,1	-0,076662
0,069167	0,1	-0,070675
0,070833	0,1	-0,043803
0,072500	0,1	-0,099754
0,074167	0,1	-0,046067
0,075833	0,1	-0,092297
0,077500	0,1	-0,005996
0,079167	0,1	-0,056383
0,080833	0,1	-0,078770
0,082500	0,1	-0,078527
0,084167	0,1	-0,033136
0,085833	0,1	-0,038013
0,087500	0,1	-0,008427
0,089167	0,1	-0,077992
0,090833	0,1	-0,043992
0,092500	0,1	-0,020878
0,094167	0,1	-0,017786
0,095833	0,1	-0,031524
0,097500	0,1	-0,058792
0,099167	0,1	-0,048296
0,100833	0,1	-0,048787
0,102500	0,1	-0,041478
0,104167	0,1	-0,042158
0,105833	0,1	-0,050487
0,107500	0,1	-0,010185
0,109167	0,1	-0,076544
0,110833	0,1	-0,037340
0,112500	0,1	-0,080693
0,114167	0,1	-0,110514
0,115833	0,1	-0,073026
0,117500	0,1	-0,053295
0,119167	0,1	-0,111503
0,120833	0,1	-0,094777
0,122500	0,1	-0,094091
0,124167	0,1	-0,093240
0,125833	0,1	-0,090153
0,127500	0,1	-0,040447
0,129167	0,1	-0,073566
0,130833	0,1	-0,027746
0,132500	0,1	-0,069398
0,134167	0,1	-0,051965
0,135833	0,1	-0,040358
0,137500	0,1	-0,048188
0,139167	0,1	-0,036441
0,140833	0,1	-0,081937
0,142500	0,1	-0,047430
0,144167	0,1	-0,088795
0,145833	0,1	-0,020809
0,147500	0,1	-0,026095
0,149167	0,1	-0,032935
0,150833	0,1	-0,020709
0,152500	0,1	0,021894
0,154167	0,1	-0,029087
0,155833	0,1	-0,032850
0,157500	0,1	-0,018101
0,159167	0,1	-0,051828
0,160833	0,1	-0,048687
0,162500	0,1	-0,043069
0,164167	0,1	-0,043109
0,165833	0,1	-0,087074
0,167500	0,1	-0,051264
0,169167	0,1	-0,026995
0,170833	0,1	-0,033845
0,172500	0,1	0,011133
0,174167	0,1	-0,024264
0,175833	0,1	-0,025516
0,177500	0,1	-0,040227
0,179167	0,1	-0,006563
0,180833	0,1	-0,029469
0,182500	0,1	-0,032294
0,184167	0,1	-0,027445
0,185833	0,1	-0,034509
0,187500	0,1	-0,058562
0,189167	0,1	-0,044460
0,190833	0,1	-0,029312
0,192500	0,1	-0,015452
0,194167	0,1	-0,047745
0,195833	0,1	-0,028979
0,197500	0,1	-0,020278
0,199167	0,1	-0,021310
0,200833	0,1	-0,038198
0,202500	0,1	-0,008427
0,204167	0,1	-0,007151
0,205833	0,1	-0,048322
0,207500	0,1	-0,021997
0,209167	0,1	-0,000527
0,210833	0,1	-0,050765
0,212500	0,1	-0,027841
0,214167	0,1	-0,015076
0,215833	0,1	-0,052719
0,217500	0,1	-0,048333
0,219167	0,1	-0,025563
0,220833	0,1	-0,012732
0,222500	0,1	-0,019670
0,224167	0,1	-0,038857
0,225833	0,1	-0,040646
0,227500	0,1	-0,015430
0,229167	0,1	-0,027215
0,230833	0,1	-0,006475
0,232500	0,1	-0,011647
0,234167	0,1	-0,031106
0,235833	0,1	0,021600
0,237500	0,1	-0,035368
0,239167	0,1	-0,007699
0,240833	0,1	-0,013825
0,242500	0,1	-0,012934
0,244167	0,1	-0,039519
0,245833	0,1	-0,002749
0,247500	0,1	-0,027125
0,249167	0,1	-0,055353
0,250833	0,1	-0,013507
0,252500	0,1	-0,001584
0,254167	0,1	-0,040512
0,255833	0,1	-0,017461
0,257500	0,1	-0,036287
0,259167	0,1	-0,049201
