File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/685.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_06h-ChiBS_2
Injection Number	69
Position	GB6
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	13.06.2022
Injection Time	00:34:15
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,141995
Signal Max.	415,257194
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,024258
0,002500	0,1	-0,049016
0,004167	0,1	-0,106528
0,005833	0,1	-0,068714
0,007500	0,1	-0,035615
0,009167	0,1	-0,054845
0,010833	0,1	-0,060810
0,012500	0,1	-0,010891
0,014167	0,1	-0,068174
0,015833	0,1	-0,041123
0,017500	0,1	-0,017935
0,019167	0,1	-0,013969
0,020833	0,1	-0,062994
0,022500	0,1	-0,008194
0,024167	0,1	-0,060773
0,025833	0,1	-0,055871
0,027500	0,1	-0,045809
0,029167	0,1	-0,070425
0,030833	0,1	-0,106963
0,032500	0,1	-0,074877
0,034167	0,1	-0,090172
0,035833	0,1	-0,085136
0,037500	0,1	-0,101620
0,039167	0,1	-0,141995
0,040833	0,1	-0,109639
0,042500	0,1	-0,085038
0,044167	0,1	-0,100484
0,045833	0,1	-0,091276
0,047500	0,1	-0,069793
0,049167	0,1	-0,074225
0,050833	0,1	-0,105766
0,052500	0,1	-0,071828
0,054167	0,1	-0,076634
0,055833	0,1	-0,067672
0,057500	0,1	-0,051473
0,059167	0,1	-0,069643
0,060833	0,1	-0,042396
0,062500	0,1	-0,108250
0,064167	0,1	-0,036947
0,065833	0,1	-0,037510
0,067500	0,1	-0,057088
0,069167	0,1	-0,084131
0,070833	0,1	-0,066374
0,072500	0,1	-0,056327
0,074167	0,1	-0,098399
0,075833	0,1	-0,054052
0,077500	0,1	-0,072858
0,079167	0,1	-0,056705
0,080833	0,1	-0,026194
0,082500	0,1	-0,049080
0,084167	0,1	-0,049188
0,085833	0,1	-0,032661
0,087500	0,1	-0,034106
0,089167	0,1	-0,023265
0,090833	0,1	-0,028443
0,092500	0,1	-0,015069
0,094167	0,1	-0,026638
0,095833	0,1	-0,022621
0,097500	0,1	-0,032817
0,099167	0,1	-0,024462
0,100833	0,1	-0,025709
0,102500	0,1	-0,052874
0,104167	0,1	-0,058252
0,105833	0,1	-0,091783
0,107500	0,1	-0,056544
0,109167	0,1	-0,031463
0,110833	0,1	-0,089104
0,112500	0,1	-0,042692
0,114167	0,1	-0,073576
0,115833	0,1	-0,084034
0,117500	0,1	-0,084906
0,119167	0,1	-0,053431
0,120833	0,1	-0,060455
0,122500	0,1	-0,115113
0,124167	0,1	-0,093913
0,125833	0,1	-0,075971
0,127500	0,1	-0,092517
0,129167	0,1	-0,039250
0,130833	0,1	-0,092672
0,132500	0,1	-0,034020
0,134167	0,1	-0,100739
0,135833	0,1	-0,059221
0,137500	0,1	-0,055251
0,139167	0,1	-0,040981
0,140833	0,1	-0,049209
0,142500	0,1	-0,069391
0,144167	0,1	0,010487
0,145833	0,1	-0,038973
0,147500	0,1	-0,039439
0,149167	0,1	-0,032533
0,150833	0,1	-0,029403
0,152500	0,1	-0,036702
0,154167	0,1	-0,070877
0,155833	0,1	-0,034973
0,157500	0,1	-0,031107
0,159167	0,1	-0,049484
0,160833	0,1	-0,005745
0,162500	0,1	0,004325
0,164167	0,1	-0,020847
0,165833	0,1	-0,029300
0,167500	0,1	-0,016355
0,169167	0,1	-0,032010
0,170833	0,1	-0,005804
0,172500	0,1	-0,040365
0,174167	0,1	0,002994
0,175833	0,1	-0,041195
0,177500	0,1	-0,015462
0,179167	0,1	-0,079480
0,180833	0,1	-0,022898
0,182500	0,1	-0,024612
0,184167	0,1	-0,062517
0,185833	0,1	-0,032625
0,187500	0,1	-0,081704
0,189167	0,1	-0,007468
0,190833	0,1	0,011724
0,192500	0,1	-0,081857
0,194167	0,1	-0,030223
0,195833	0,1	-0,023063
0,197500	0,1	-0,075891
0,199167	0,1	-0,035262
0,200833	0,1	-0,038758
0,202500	0,1	-0,061134
0,204167	0,1	-0,010539
0,205833	0,1	-0,030710
0,207500	0,1	-0,025710
0,209167	0,1	-0,018333
0,210833	0,1	-0,006671
0,212500	0,1	-0,031325
0,214167	0,1	-0,034420
0,215833	0,1	-0,037572
0,217500	0,1	-0,041305
0,219167	0,1	-0,036642
0,220833	0,1	-0,020655
0,222500	0,1	-0,014411
0,224167	0,1	-0,018306
0,225833	0,1	-0,035375
0,227500	0,1	-0,034925
0,229167	0,1	-0,004557
0,230833	0,1	-0,041423
0,232500	0,1	-0,008894
0,234167	0,1	-0,007664
0,235833	0,1	0,000088
0,237500	0,1	-0,015794
0,239167	0,1	-0,045611
0,240833	0,1	-0,036315
0,242500	0,1	-0,013685
0,244167	0,1	-0,028364
0,245833	0,1	-0,023994
0,247500	0,1	-0,008701
0,249167	0,1	-0,022414
0,250833	0,1	-0,010176
0,252500	0,1	-0,044625
0,254167	0,1	-0,038572
0,255833	0,1	-0,067523
0,257500	0,1	-0,035085
0,259167	0,1	-0,021665
0,260833	0,1	-0,030106
0,262500	0,1	-0,026088
0,264167	0,1	-0,022368
0,265833	0,1	0,001397
0,267500	0,1	-0,015704
0,269167	0,1	-0,020046
0,270833	0,1	-0,016253
0,272500	0,1	-0,010439
0,274167	0,1	-0,019843
0,275833	0,1	-0,015106
0,277500	0,1	-0,031821
0,279167	0,1	-0,014288
0,280833	0,1	0,002394
0,282500	0,1	0,006256
0,284167	0,1	0,023617
0,285833	0,1	-0,021674
0,287500	0,1	0,000691
0,289167	0,1	-0,010323
0,290833	0,1	0,004236
0,292500	0,1	-0,030667
0,294167	0,1	-0,012296
0,295833	0,1	-0,039230
0,297500	0,1	-0,023267
0,299167	0,1	-0,034912
0,300833	0,1	-0,061485
0,302500	0,1	-0,054420
0,304167	0,1	-0,073076
0,305833	0,1	-0,062757
0,307500	0,1	0,005762
0,309167	0,1	-0,027441
0,310833	0,1	-0,013229
0,312500	0,1	0,007576
0,314167	0,1	-0,016309
0,315833	0,1	-0,033359
0,317500	0,1	-0,009247
0,319167	0,1	-0,028754
0,320833	0,1	-0,016796
0,322500	0,1	-0,019921
0,324167	0,1	0,014419
0,325833	0,1	-0,024401
0,327500	0,1	0,018125
0,329167	0,1	-0,011542
0,330833	0,1	-0,002332
0,332500	0,1	-0,013966
0,334167	0,1	0,007664
0,335833	0,1	0,028420
0,337500	0,1	-0,007264
0,339167	0,1	-0,001045
0,340833	0,1	-0,011861
0,342500	0,1	0,003491
0,344167	0,1	-0,038849
0,345833	0,1	-0,027085
0,347500	0,1	0,022361
0,349167	0,1	0,018224
0,350833	0,1	0,030278
0,352500	0,1	-0,035250
0,354167	0,1	0,013748
0,355833	0,1	0,013106
0,357500	0,1	-0,000361
0,359167	0,1	0,020991
0,360833	0,1	-0,004481
0,362500	0,1	-0,010853
0,364167	0,1	0,029400
0,365833	0,1	0,022463
0,367500	0,1	0,004785
0,369167	0,1	0,000923
0,370833	0,1	0,005978
0,372500	0,1	0,012398
0,374167	0,1	0,005074
0,375833	0,1	0,061719
0,377500	0,1	0,017176
0,379167	0,1	0,027035
0,380833	0,1	0,046102
0,382500	0,1	-0,006566
0,384167	0,1	0,001527
0,385833	0,1	0,009912
0,387500	0,1	0,007354
0,389167	0,1	-0,028624
0,390833	0,1	0,017596
0,392500	0,1	0,016838
0,394167	0,1	0,034009
0,395833	0,1	0,034681
0,397500	0,1	-0,001969
0,399167	0,1	0,018372
0,400833	0,1	0,040692
