File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/719.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-ChiBI_2
Injection Number	48
Position	GA3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	22:18:35
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,056678
Signal Max.	443,340716
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,005621
0,002500	0,1	0,056193
0,004167	0,1	0,024334
0,005833	0,1	0,044997
0,007500	0,1	-0,005480
0,009167	0,1	0,004197
0,010833	0,1	0,007676
0,012500	0,1	0,043673
0,014167	0,1	-0,003132
0,015833	0,1	0,043926
0,017500	0,1	0,033829
0,019167	0,1	0,035534
0,020833	0,1	0,043970
0,022500	0,1	0,015992
0,024167	0,1	0,034145
0,025833	0,1	0,015959
0,027500	0,1	-0,016884
0,029167	0,1	0,013659
0,030833	0,1	-0,021328
0,032500	0,1	0,000394
0,034167	0,1	-0,040938
0,035833	0,1	0,001582
0,037500	0,1	-0,056678
0,039167	0,1	-0,054085
0,040833	0,1	-0,006761
0,042500	0,1	-0,017052
0,044167	0,1	-0,016990
0,045833	0,1	0,001683
0,047500	0,1	-0,001627
0,049167	0,1	0,004039
0,050833	0,1	0,011444
0,052500	0,1	0,012508
0,054167	0,1	0,018754
0,055833	0,1	0,022490
0,057500	0,1	0,002499
0,059167	0,1	0,029860
0,060833	0,1	0,051341
0,062500	0,1	0,054536
0,064167	0,1	0,045230
0,065833	0,1	0,025813
0,067500	0,1	0,025905
0,069167	0,1	0,029866
0,070833	0,1	0,001887
0,072500	0,1	0,041804
0,074167	0,1	0,063515
0,075833	0,1	0,034283
0,077500	0,1	-0,015754
0,079167	0,1	0,016107
0,080833	0,1	0,035982
0,082500	0,1	0,015638
0,084167	0,1	0,083763
0,085833	0,1	0,039504
0,087500	0,1	0,018729
0,089167	0,1	0,047766
0,090833	0,1	0,100391
0,092500	0,1	0,035938
0,094167	0,1	0,077393
0,095833	0,1	0,039438
0,097500	0,1	0,028967
0,099167	0,1	0,036823
0,100833	0,1	0,078131
0,102500	0,1	0,031875
0,104167	0,1	0,051374
0,105833	0,1	0,034767
0,107500	0,1	0,076619
0,109167	0,1	0,040470
0,110833	0,1	-0,016976
0,112500	0,1	0,008091
0,114167	0,1	0,039264
0,115833	0,1	0,058812
0,117500	0,1	0,031033
0,119167	0,1	0,002531
0,120833	0,1	0,048341
0,122500	0,1	0,044488
0,124167	0,1	0,034795
0,125833	0,1	0,007491
0,127500	0,1	0,029764
0,129167	0,1	0,076262
0,130833	0,1	0,055766
0,132500	0,1	0,042752
0,134167	0,1	0,032155
0,135833	0,1	0,079742
0,137500	0,1	0,032164
0,139167	0,1	0,028836
0,140833	0,1	0,059233
0,142500	0,1	0,056020
0,144167	0,1	0,033480
0,145833	0,1	0,044808
0,147500	0,1	0,112910
0,149167	0,1	0,046694
0,150833	0,1	0,071503
0,152500	0,1	0,054347
0,154167	0,1	0,073339
0,155833	0,1	0,072764
0,157500	0,1	0,093952
0,159167	0,1	0,097915
0,160833	0,1	0,062984
0,162500	0,1	0,018058
0,164167	0,1	0,069725
0,165833	0,1	0,087640
0,167500	0,1	0,056604
0,169167	0,1	0,065065
0,170833	0,1	0,112336
0,172500	0,1	0,035361
0,174167	0,1	0,050798
0,175833	0,1	0,062520
0,177500	0,1	0,103963
0,179167	0,1	0,048109
0,180833	0,1	0,053956
0,182500	0,1	0,067511
0,184167	0,1	0,067935
0,185833	0,1	0,058499
0,187500	0,1	0,064774
0,189167	0,1	0,060686
0,190833	0,1	0,069060
0,192500	0,1	0,054091
0,194167	0,1	0,057175
0,195833	0,1	0,075016
0,197500	0,1	0,104160
0,199167	0,1	0,075607
0,200833	0,1	0,086228
0,202500	0,1	0,045917
0,204167	0,1	0,069826
0,205833	0,1	0,102458
0,207500	0,1	0,067458
0,209167	0,1	0,051320
0,210833	0,1	0,113107
0,212500	0,1	0,073451
0,214167	0,1	0,055089
0,215833	0,1	0,070796
0,217500	0,1	0,099651
0,219167	0,1	0,090288
0,220833	0,1	0,105133
0,222500	0,1	0,112216
0,224167	0,1	0,106356
0,225833	0,1	0,072805
0,227500	0,1	0,068454
0,229167	0,1	0,090605
0,230833	0,1	0,058119
0,232500	0,1	0,081906
0,234167	0,1	0,092670
0,235833	0,1	0,084973
0,237500	0,1	0,065039
0,239167	0,1	0,089216
0,240833	0,1	0,066555
0,242500	0,1	0,085776
0,244167	0,1	0,081816
0,245833	0,1	0,074054
0,247500	0,1	0,057215
0,249167	0,1	0,100097
0,250833	0,1	0,070422
0,252500	0,1	0,064357
0,254167	0,1	0,092082
0,255833	0,1	0,082303
0,257500	0,1	0,093569
0,259167	0,1	0,089611
0,260833	0,1	0,071193
0,262500	0,1	0,068385
0,264167	0,1	0,064683
0,265833	0,1	0,114522
0,267500	0,1	0,113961
0,269167	0,1	0,095218
0,270833	0,1	0,098530
0,272500	0,1	0,102909
0,274167	0,1	0,093384
0,275833	0,1	0,110766
0,277500	0,1	0,070330
0,279167	0,1	0,069738
0,280833	0,1	0,134105
0,282500	0,1	0,088045
0,284167	0,1	0,092381
0,285833	0,1	0,109512
0,287500	0,1	0,109807
0,289167	0,1	0,075961
0,290833	0,1	0,121652
0,292500	0,1	0,118827
