File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/570.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-ChiBI_NA
Injection Number	50
Position	GA5
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	22:31:34
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,142318
Signal Max.	42,482894
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	0,003051
0,002500	0,1	-0,039312
0,004167	0,1	-0,025516
0,005833	0,1	-0,008335
0,007500	0,1	-0,020533
0,009167	0,1	0,021026
0,010833	0,1	-0,012438
0,012500	0,1	-0,007198
0,014167	0,1	-0,015708
0,015833	0,1	-0,004911
0,017500	0,1	-0,025912
0,019167	0,1	-0,023026
0,020833	0,1	0,004176
0,022500	0,1	-0,006196
0,024167	0,1	-0,024244
0,025833	0,1	-0,041318
0,027500	0,1	-0,019963
0,029167	0,1	-0,042761
0,030833	0,1	-0,037209
0,032500	0,1	-0,042072
0,034167	0,1	-0,053121
0,035833	0,1	-0,035548
0,037500	0,1	-0,061745
0,039167	0,1	-0,045680
0,040833	0,1	-0,090076
0,042500	0,1	-0,055288
0,044167	0,1	-0,087923
0,045833	0,1	-0,076619
0,047500	0,1	-0,041190
0,049167	0,1	-0,026234
0,050833	0,1	-0,056032
0,052500	0,1	-0,064302
0,054167	0,1	-0,032147
0,055833	0,1	-0,023407
0,057500	0,1	-0,009491
0,059167	0,1	-0,034067
0,060833	0,1	-0,027274
0,062500	0,1	0,014734
0,064167	0,1	-0,022306
0,065833	0,1	-0,036185
0,067500	0,1	-0,035363
0,069167	0,1	-0,033786
0,070833	0,1	-0,011674
0,072500	0,1	-0,022335
0,074167	0,1	-0,038426
0,075833	0,1	-0,003451
0,077500	0,1	-0,002931
0,079167	0,1	-0,023665
0,080833	0,1	-0,039764
0,082500	0,1	-0,003230
0,084167	0,1	0,002580
0,085833	0,1	0,021074
0,087500	0,1	0,000098
0,089167	0,1	0,012340
0,090833	0,1	0,003651
0,092500	0,1	0,021942
0,094167	0,1	0,048217
0,095833	0,1	0,003839
0,097500	0,1	-0,021579
0,099167	0,1	0,020423
0,100833	0,1	0,018836
0,102500	0,1	-0,013396
0,104167	0,1	0,023581
0,105833	0,1	-0,035705
0,107500	0,1	-0,028538
0,109167	0,1	0,005376
0,110833	0,1	0,001450
0,112500	0,1	-0,022688
0,114167	0,1	-0,038559
0,115833	0,1	-0,023475
0,117500	0,1	-0,025313
0,119167	0,1	0,016934
0,120833	0,1	-0,016328
0,122500	0,1	-0,004466
0,124167	0,1	0,000092
0,125833	0,1	-0,022309
0,127500	0,1	0,018157
0,129167	0,1	-0,025417
0,130833	0,1	-0,020581
0,132500	0,1	-0,001936
0,134167	0,1	-0,006576
0,135833	0,1	-0,012956
0,137500	0,1	-0,024335
0,139167	0,1	-0,031121
0,140833	0,1	-0,037030
0,142500	0,1	-0,010319
0,144167	0,1	-0,032226
0,145833	0,1	0,013109
0,147500	0,1	0,001228
0,149167	0,1	0,027253
0,150833	0,1	0,026526
