File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/694.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-ChiBS_1
Injection Number	19
Position	RB8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	19:10:44
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,064764
Signal Max.	871,383236
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,002414
0,002500	0,1	-0,004287
0,004167	0,1	-0,027590
0,005833	0,1	-0,011435
0,007500	0,1	0,002968
0,009167	0,1	0,002564
0,010833	0,1	0,005548
0,012500	0,1	-0,015232
0,014167	0,1	-0,031044
0,015833	0,1	-0,041237
0,017500	0,1	0,003664
0,019167	0,1	-0,062536
0,020833	0,1	-0,017123
0,022500	0,1	0,001561
0,024167	0,1	-0,026708
0,025833	0,1	0,035167
0,027500	0,1	-0,039930
0,029167	0,1	-0,030056
0,030833	0,1	-0,018344
0,032500	0,1	-0,064764
0,034167	0,1	-0,057459
0,035833	0,1	-0,017769
0,037500	0,1	-0,056689
0,039167	0,1	-0,023267
0,040833	0,1	-0,037721
0,042500	0,1	-0,023965
0,044167	0,1	-0,028532
0,045833	0,1	-0,051828
0,047500	0,1	-0,030585
0,049167	0,1	-0,007808
0,050833	0,1	0,021881
0,052500	0,1	-0,028753
0,054167	0,1	-0,010090
0,055833	0,1	0,012279
0,057500	0,1	-0,008437
0,059167	0,1	-0,038358
0,060833	0,1	0,045470
0,062500	0,1	0,012879
0,064167	0,1	-0,002641
0,065833	0,1	0,005724
0,067500	0,1	0,003331
0,069167	0,1	0,023581
0,070833	0,1	0,019253
0,072500	0,1	0,009125
0,074167	0,1	-0,001943
0,075833	0,1	-0,021497
0,077500	0,1	0,023166
0,079167	0,1	0,000755
0,080833	0,1	0,012991
0,082500	0,1	-0,058614
0,084167	0,1	-0,032224
0,085833	0,1	-0,014833
0,087500	0,1	0,007712
0,089167	0,1	0,008769
0,090833	0,1	0,001571
0,092500	0,1	0,034187
0,094167	0,1	-0,019268
0,095833	0,1	0,011343
0,097500	0,1	-0,006565
0,099167	0,1	-0,000069
0,100833	0,1	0,032714
0,102500	0,1	-0,002754
0,104167	0,1	0,031190
0,105833	0,1	0,006380
0,107500	0,1	-0,004638
0,109167	0,1	-0,034614
0,110833	0,1	-0,004880
0,112500	0,1	0,004849
0,114167	0,1	-0,036077
0,115833	0,1	-0,034387
0,117500	0,1	-0,017873
0,119167	0,1	-0,007864
0,120833	0,1	-0,032039
0,122500	0,1	-0,007513
0,124167	0,1	-0,019449
0,125833	0,1	0,019357
0,127500	0,1	-0,020617
0,129167	0,1	-0,007098
0,130833	0,1	-0,010555
0,132500	0,1	-0,014592
0,134167	0,1	-0,018226
0,135833	0,1	-0,033914
0,137500	0,1	-0,026245
0,139167	0,1	0,035639
0,140833	0,1	0,049765
0,142500	0,1	0,000943
0,144167	0,1	-0,011193
0,145833	0,1	-0,007390
0,147500	0,1	-0,021263
0,149167	0,1	-0,013189
0,150833	0,1	-0,008968
0,152500	0,1	0,044248
0,154167	0,1	0,000173
0,155833	0,1	-0,011251
0,157500	0,1	0,022526
0,159167	0,1	0,022532
0,160833	0,1	0,031320
0,162500	0,1	-0,000704
0,164167	0,1	0,006839
0,165833	0,1	0,022649
0,167500	0,1	0,019485
0,169167	0,1	0,013517
0,170833	0,1	-0,031504
0,172500	0,1	0,019367
0,174167	0,1	0,008364
0,175833	0,1	-0,015173
0,177500	0,1	0,011458
0,179167	0,1	0,014507
0,180833	0,1	-0,005920
0,182500	0,1	0,039686
0,184167	0,1	-0,017098
0,185833	0,1	0,008242
0,187500	0,1	0,034300
0,189167	0,1	0,063523
0,190833	0,1	0,007731
0,192500	0,1	-0,011953
0,194167	0,1	0,021297
0,195833	0,1	0,002923
0,197500	0,1	0,023285
0,199167	0,1	0,034543
0,200833	0,1	0,042156
0,202500	0,1	0,025468
0,204167	0,1	0,031728
0,205833	0,1	0,065573
0,207500	0,1	0,038876
0,209167	0,1	0,012994
0,210833	0,1	0,008481
0,212500	0,1	0,005490
0,214167	0,1	0,013163
0,215833	0,1	-0,013062
0,217500	0,1	0,003031
0,219167	0,1	0,046359
0,220833	0,1	0,020141
0,222500	0,1	0,024346
0,224167	0,1	0,052918
0,225833	0,1	0,024711
0,227500	0,1	0,007023
0,229167	0,1	0,007603
0,230833	0,1	0,000986
0,232500	0,1	0,032427
0,234167	0,1	0,004567
0,235833	0,1	-0,011074
0,237500	0,1	0,048290
0,239167	0,1	0,018795
0,240833	0,1	0,010296
0,242500	0,1	0,016385
0,244167	0,1	0,045836
0,245833	0,1	0,019313
0,247500	0,1	0,020897
0,249167	0,1	0,021535
0,250833	0,1	0,050281
0,252500	0,1	0,050237
0,254167	0,1	0,031906
0,255833	0,1	0,038054
0,257500	0,1	0,050291
0,259167	0,1	0,068270
0,260833	0,1	0,009373
0,262500	0,1	0,078457
0,264167	0,1	0,050125
0,265833	0,1	0,049763
0,267500	0,1	0,029860
0,269167	0,1	0,059722
0,270833	0,1	0,038058
0,272500	0,1	0,001460
0,274167	0,1	0,014805
0,275833	0,1	0,026160
0,277500	0,1	0,051105
0,279167	0,1	0,036948
