File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/221.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-ChiBS_2
Injection Number	20
Position	RC1
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	19:17:17
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,143805
Signal Max.	953,873349
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,039444
0,002500	0,1	-0,083989
0,004167	0,1	-0,070500
0,005833	0,1	-0,073952
0,007500	0,1	-0,120805
0,009167	0,1	-0,086038
0,010833	0,1	-0,082686
0,012500	0,1	-0,069565
0,014167	0,1	-0,053448
0,015833	0,1	-0,065447
0,017500	0,1	-0,052219
0,019167	0,1	-0,056252
0,020833	0,1	-0,079395
0,022500	0,1	-0,078173
0,024167	0,1	-0,094102
0,025833	0,1	-0,069106
0,027500	0,1	-0,123297
0,029167	0,1	-0,079922
0,030833	0,1	-0,094883
0,032500	0,1	-0,120422
0,034167	0,1	-0,120658
0,035833	0,1	-0,139589
0,037500	0,1	-0,115337
0,039167	0,1	-0,112170
0,040833	0,1	-0,129860
0,042500	0,1	-0,078721
0,044167	0,1	-0,104148
0,045833	0,1	-0,143805
0,047500	0,1	-0,076315
0,049167	0,1	-0,114263
0,050833	0,1	-0,066254
0,052500	0,1	-0,064756
0,054167	0,1	-0,061487
0,055833	0,1	-0,102247
0,057500	0,1	-0,109637
0,059167	0,1	-0,069415
0,060833	0,1	-0,084969
0,062500	0,1	-0,096864
0,064167	0,1	-0,084500
0,065833	0,1	-0,105013
0,067500	0,1	-0,104518
0,069167	0,1	-0,083614
0,070833	0,1	-0,084096
0,072500	0,1	-0,050119
0,074167	0,1	-0,098742
0,075833	0,1	-0,070797
0,077500	0,1	-0,082914
0,079167	0,1	-0,064931
0,080833	0,1	-0,068841
0,082500	0,1	-0,070790
0,084167	0,1	-0,030196
0,085833	0,1	-0,061757
0,087500	0,1	-0,064865
0,089167	0,1	-0,054092
0,090833	0,1	-0,090122
0,092500	0,1	-0,074186
0,094167	0,1	-0,081054
0,095833	0,1	-0,039732
0,097500	0,1	-0,047274
0,099167	0,1	-0,047920
0,100833	0,1	-0,074054
0,102500	0,1	-0,042199
0,104167	0,1	-0,083674
0,105833	0,1	-0,084035
0,107500	0,1	-0,091479
0,109167	0,1	-0,109756
0,110833	0,1	-0,109274
0,112500	0,1	-0,067115
0,114167	0,1	-0,093129
0,115833	0,1	-0,103787
0,117500	0,1	-0,113918
0,119167	0,1	-0,085149
0,120833	0,1	-0,079477
0,122500	0,1	-0,075025
0,124167	0,1	-0,129196
0,125833	0,1	-0,105837
0,127500	0,1	-0,097696
0,129167	0,1	-0,119596
0,130833	0,1	-0,081916
0,132500	0,1	-0,078234
0,134167	0,1	-0,100804
0,135833	0,1	-0,101794
0,137500	0,1	-0,106876
0,139167	0,1	-0,110697
0,140833	0,1	-0,071918
0,142500	0,1	-0,105752
0,144167	0,1	-0,061082
0,145833	0,1	-0,105226
0,147500	0,1	-0,072331
0,149167	0,1	-0,099160
0,150833	0,1	-0,047437
0,152500	0,1	-0,081741
0,154167	0,1	-0,074489
0,155833	0,1	-0,054922
0,157500	0,1	-0,077937
0,159167	0,1	-0,068980
0,160833	0,1	-0,078001
0,162500	0,1	-0,104890
