File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/587.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-ChiBS_NA
Injection Number	22
Position	RC3
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	19:30:26
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,197392
Signal Max.	125,273653
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,115470
0,002500	0,1	-0,107046
0,004167	0,1	-0,157580
0,005833	0,1	-0,084582
0,007500	0,1	-0,120812
0,009167	0,1	-0,117078
0,010833	0,1	-0,094411
0,012500	0,1	-0,103171
0,014167	0,1	-0,090692
0,015833	0,1	-0,085856
0,017500	0,1	-0,138556
0,019167	0,1	-0,138731
0,020833	0,1	-0,090281
0,022500	0,1	-0,120268
0,024167	0,1	-0,113042
0,025833	0,1	-0,081336
0,027500	0,1	-0,098807
0,029167	0,1	-0,155099
0,030833	0,1	-0,108409
0,032500	0,1	-0,161613
0,034167	0,1	-0,164395
0,035833	0,1	-0,159629
0,037500	0,1	-0,184387
0,039167	0,1	-0,145824
0,040833	0,1	-0,181073
0,042500	0,1	-0,145281
0,044167	0,1	-0,162709
0,045833	0,1	-0,107766
0,047500	0,1	-0,163219
0,049167	0,1	-0,121564
0,050833	0,1	-0,141484
0,052500	0,1	-0,121824
0,054167	0,1	-0,159429
0,055833	0,1	-0,104504
0,057500	0,1	-0,161423
0,059167	0,1	-0,139724
0,060833	0,1	-0,111467
0,062500	0,1	-0,126078
0,064167	0,1	-0,150906
0,065833	0,1	-0,159436
0,067500	0,1	-0,088252
0,069167	0,1	-0,095228
0,070833	0,1	-0,103690
0,072500	0,1	-0,125332
0,074167	0,1	-0,128296
0,075833	0,1	-0,146621
0,077500	0,1	-0,133347
0,079167	0,1	-0,079833
0,080833	0,1	-0,084818
0,082500	0,1	-0,102524
0,084167	0,1	-0,093589
0,085833	0,1	-0,110784
0,087500	0,1	-0,077237
0,089167	0,1	-0,092202
0,090833	0,1	-0,081504
0,092500	0,1	-0,112427
0,094167	0,1	-0,088696
0,095833	0,1	-0,079367
0,097500	0,1	-0,102851
0,099167	0,1	-0,088429
0,100833	0,1	-0,110482
0,102500	0,1	-0,065636
0,104167	0,1	-0,083496
0,105833	0,1	-0,098819
0,107500	0,1	-0,146311
0,109167	0,1	-0,085542
0,110833	0,1	-0,106686
0,112500	0,1	-0,120779
0,114167	0,1	-0,093111
0,115833	0,1	-0,082177
0,117500	0,1	-0,136846
0,119167	0,1	-0,129436
0,120833	0,1	-0,131598
0,122500	0,1	-0,120305
0,124167	0,1	-0,153877
0,125833	0,1	-0,159108
0,127500	0,1	-0,130568
0,129167	0,1	-0,106179
0,130833	0,1	-0,122867
0,132500	0,1	-0,089241
0,134167	0,1	-0,095747
0,135833	0,1	-0,144057
0,137500	0,1	-0,127985
0,139167	0,1	-0,107076
0,140833	0,1	-0,142759
0,142500	0,1	-0,115311
0,144167	0,1	-0,111007
0,145833	0,1	-0,141950
0,147500	0,1	-0,100602
0,149167	0,1	-0,079281
0,150833	0,1	-0,110527
0,152500	0,1	-0,121400
0,154167	0,1	-0,108175
0,155833	0,1	-0,091391
0,157500	0,1	-0,103589
0,159167	0,1	-0,076047
0,160833	0,1	-0,081454
0,162500	0,1	-0,096453
0,164167	0,1	-0,115010
0,165833	0,1	-0,084016
0,167500	0,1	-0,102069
0,169167	0,1	-0,155541
0,170833	0,1	-0,093902
0,172500	0,1	-0,067694
0,174167	0,1	-0,117228
0,175833	0,1	-0,028960
0,177500	0,1	-0,076001
0,179167	0,1	-0,072787
0,180833	0,1	-0,092264
0,182500	0,1	-0,130968
0,184167	0,1	-0,128208
0,185833	0,1	-0,080377
0,187500	0,1	-0,073207
0,189167	0,1	-0,087333
0,190833	0,1	-0,081302
0,192500	0,1	-0,106456
0,194167	0,1	-0,095952
0,195833	0,1	-0,042438
0,197500	0,1	-0,090131
0,199167	0,1	-0,099010
0,200833	0,1	-0,087593
0,202500	0,1	-0,105333
0,204167	0,1	-0,091373
0,205833	0,1	-0,075526
0,207500	0,1	-0,078948
0,209167	0,1	-0,091039
0,210833	0,1	-0,067531
0,212500	0,1	-0,075291
0,214167	0,1	-0,066336
0,215833	0,1	-0,051008
0,217500	0,1	-0,072745
0,219167	0,1	-0,061048
0,220833	0,1	-0,066196
0,222500	0,1	-0,099622
0,224167	0,1	-0,063371
0,225833	0,1	-0,065208
0,227500	0,1	-0,067979
0,229167	0,1	-0,081526
0,230833	0,1	-0,090268
0,232500	0,1	-0,120585
0,234167	0,1	-0,067046
0,235833	0,1	-0,049435
0,237500	0,1	-0,075706
0,239167	0,1	-0,065148
0,240833	0,1	-0,084941
0,242500	0,1	-0,036948
0,244167	0,1	-0,070251
0,245833	0,1	-0,054234
0,247500	0,1	-0,068320
0,249167	0,1	-0,065591
0,250833	0,1	-0,042367
0,252500	0,1	-0,086363
0,254167	0,1	-0,055592
0,255833	0,1	-0,065070
0,257500	0,1	-0,036625
0,259167	0,1	-0,070451
0,260833	0,1	-0,082969
0,262500	0,1	-0,065785
0,264167	0,1	-0,059975
0,265833	0,1	-0,095941
0,267500	0,1	-0,032635
0,269167	0,1	-0,071550
0,270833	0,1	-0,090329
0,272500	0,1	-0,016505
0,274167	0,1	-0,062880
0,275833	0,1	-0,066943
0,277500	0,1	-0,056785
0,279167	0,1	-0,055330
0,280833	0,1	-0,001588
0,282500	0,1	-0,072906
0,284167	0,1	-0,039589
0,285833	0,1	-0,055653
0,287500	0,1	-0,072038
0,289167	0,1	-0,056787
0,290833	0,1	-0,043236
0,292500	0,1	-0,024907
0,294167	0,1	-0,036515
0,295833	0,1	-0,045331
0,297500	0,1	-0,022811
0,299167	0,1	-0,021159
0,300833	0,1	-0,035715
0,302500	0,1	-0,042713
0,304167	0,1	-0,028786
0,305833	0,1	-0,030492
0,307500	0,1	-0,023160
0,309167	0,1	0,000093
0,310833	0,1	-0,042060
0,312500	0,1	-0,010879
0,314167	0,1	-0,024037
0,315833	0,1	-0,014645
0,317500	0,1	0,006936
0,319167	0,1	-0,020316
0,320833	0,1	-0,066059
0,322500	0,1	-0,046019
0,324167	0,1	-0,033302
0,325833	0,1	-0,046748
0,327500	0,1	0,031311
0,329167	0,1	0,000751
0,330833	0,1	-0,012838
0,332500	0,1	-0,036902
0,334167	0,1	-0,001036
0,335833	0,1	0,018391
0,337500	0,1	-0,010219
0,339167	0,1	-0,052285
0,340833	0,1	-0,045781
0,342500	0,1	-0,048140
0,344167	0,1	-0,001748
0,345833	0,1	-0,034030
0,347500	0,1	0,003252
0,349167	0,1	-0,001063
0,350833	0,1	0,008159
0,352500	0,1	-0,023706
0,354167	0,1	0,014770
0,355833	0,1	0,008001
0,357500	0,1	-0,037287
0,359167	0,1	-0,004746
0,360833	0,1	0,003840
0,362500	0,1	-0,002290
0,364167	0,1	-0,002419
0,365833	0,1	-0,027579
0,367500	0,1	0,012350
0,369167	0,1	-0,009929
0,370833	0,1	0,021322
0,372500	0,1	-0,008573
0,374167	0,1	0,019290
0,375833	0,1	0,004783
0,377500	0,1	0,018292
0,379167	0,1	0,025456
0,380833	0,1	0,052433
0,382500	0,1	-0,023275
0,384167	0,1	-0,025975
0,385833	0,1	-0,003006
0,387500	0,1	0,011385
0,389167	0,1	0,010971
0,390833	0,1	0,019392
0,392500	0,1	0,024550
0,394167	0,1	0,027655
0,395833	0,1	0,049303
0,397500	0,1	0,001303
0,399167	0,1	0,048295
0,400833	0,1	-0,009601
0,402500	0,1	0,005832
0,404167	0,1	0,045229
0,405833	0,1	-0,003732
0,407500	0,1	0,036903
0,409167	0,1	0,047141
0,410833	0,1	0,006817
0,412500	0,1	0,061974
0,414167	0,1	0,037469
0,415833	0,1	0,067660
0,417500	0,1	0,042471
0,419167	0,1	0,043238
0,420833	0,1	0,013076
0,422500	0,1	0,045556
0,424167	0,1	0,020167
0,425833	0,1	0,041394
0,427500	0,1	0,060403
0,429167	0,1	-0,018277
0,430833	0,1	0,059098
0,432500	0,1	0,057791
0,434167	0,1	0,045695
0,435833	0,1	0,037368
0,437500	0,1	0,071917
0,439167	0,1	0,053986
0,440833	0,1	0,068213
0,442500	0,1	0,060862
0,444167	0,1	0,074086
0,445833	0,1	0,026888
0,447500	0,1	0,063690
0,449167	0,1	0,099509
0,450833	0,1	0,087453
0,452500	0,1	0,091807
0,454167	0,1	0,075673
0,455833	0,1	0,097737
0,457500	0,1	0,090872
0,459167	0,1	0,073059
0,460833	0,1	0,088285
0,462500	0,1	0,062217
0,464167	0,1	0,110447
0,465833	0,1	0,084743
0,467500	0,1	0,095645
0,469167	0,1	0,082772
0,470833	0,1	0,083093
0,472500	0,1	0,073607
0,474167	0,1	0,057986
0,475833	0,1	0,079341
0,477500	0,1	0,098640
0,479167	0,1	0,121748
0,480833	0,1	0,137340
0,482500	0,1	0,113531
0,484167	0,1	0,137176
0,485833	0,1	0,104205
0,487500	0,1	0,100323
0,489167	0,1	0,109586
0,490833	0,1	0,108134
0,492500	0,1	0,111395
0,494167	0,1	0,138531
0,495833	0,1	0,110208
0,497500	0,1	0,140629
0,499167	0,1	0,154349
0,500833	0,1	0,127797
0,502500	0,1	0,099169
0,504167	0,1	0,122393
0,505833	0,1	0,134984
0,507500	0,1	0,113402
0,509167	0,1	0,129174
0,510833	0,1	0,124113
0,512500	0,1	0,140664
0,514167	0,1	0,153123
0,515833	0,1	0,157096
0,517500	0,1	0,138445
0,519167	0,1	0,134118
0,520833	0,1	0,159317
0,522500	0,1	0,146449
0,524167	0,1	0,196077
0,525833	0,1	0,152460
0,527500	0,1	0,152901
0,529167	0,1	0,186268
0,530833	0,1	0,201797
0,532500	0,1	0,187085
0,534167	0,1	0,167043
0,535833	0,1	0,163812
0,537500	0,1	0,196468
0,539167	0,1	0,176177
0,540833	0,1	0,203573
0,542500	0,1	0,172823
0,544167	0,1	0,168718
0,545833	0,1	0,179367
0,547500	0,1	0,185436
0,549167	0,1	0,194280
0,550833	0,1	0,204188
0,552500	0,1	0,211258
0,554167	0,1	0,175182
0,555833	0,1	0,237845
0,557500	0,1	0,205200
0,559167	0,1	0,256211
0,560833	0,1	0,183937
0,562500	0,1	0,224714
0,564167	0,1	0,205359
0,565833	0,1	0,240885
0,567500	0,1	0,211621
0,569167	0,1	0,200384
0,570833	0,1	0,233008
0,572500	0,1	0,253060
0,574167	0,1	0,275853
0,575833	0,1	0,276049
0,577500	0,1	0,278566
0,579167	0,1	0,249489
0,580833	0,1	0,294925
0,582500	0,1	0,217154
0,584167	0,1	0,239179
0,585833	0,1	0,271232
0,587500	0,1	0,232413
0,589167	0,1	0,301122
0,590833	0,1	0,273218
0,592500	0,1	0,267661
0,594167	0,1	0,271018
0,595833	0,1	0,265045
0,597500	0,1	0,269372
0,599167	0,1	0,282698
0,600833	0,1	0,279153
0,602500	0,1	0,329540
0,604167	0,1	0,326324
0,605833	0,1	0,337495
0,607500	0,1	0,286268
0,609167	0,1	0,302041
0,610833	0,1	0,321376
0,612500	0,1	0,330841
0,614167	0,1	0,305054
0,615833	0,1	0,372160
0,617500	0,1	0,350157
0,619167	0,1	0,350122
0,620833	0,1	0,351283
0,622500	0,1	0,348027
0,624167	0,1	0,328853
0,625833	0,1	0,331458
0,627500	0,1	0,377882
0,629167	0,1	0,374010
0,630833	0,1	0,383668
0,632500	0,1	0,374797
0,634167	0,1	0,403974
0,635833	0,1	0,351745
0,637500	0,1	0,382174
0,639167	0,1	0,380674
0,640833	0,1	0,335156
0,642500	0,1	0,395252
