File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/764.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-NT_3
Injection Number	35
Position	RD7
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	20:54:32
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,182593
Signal Max.	837,676486
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,077115
0,002500	0,1	-0,073503
0,004167	0,1	-0,107346
0,005833	0,1	-0,097844
0,007500	0,1	-0,103452
0,009167	0,1	-0,099586
0,010833	0,1	-0,113669
0,012500	0,1	-0,064005
0,014167	0,1	-0,116268
0,015833	0,1	-0,106612
0,017500	0,1	-0,054885
0,019167	0,1	-0,117396
0,020833	0,1	-0,071129
0,022500	0,1	-0,130644
0,024167	0,1	-0,101267
0,025833	0,1	-0,105899
0,027500	0,1	-0,106804
0,029167	0,1	-0,108222
0,030833	0,1	-0,133072
0,032500	0,1	-0,150093
0,034167	0,1	-0,122413
0,035833	0,1	-0,132590
0,037500	0,1	-0,116800
0,039167	0,1	-0,158726
0,040833	0,1	-0,119065
0,042500	0,1	-0,144192
0,044167	0,1	-0,115356
0,045833	0,1	-0,129465
0,047500	0,1	-0,150382
0,049167	0,1	-0,119126
0,050833	0,1	-0,130399
0,052500	0,1	-0,123569
0,054167	0,1	-0,105554
0,055833	0,1	-0,085567
0,057500	0,1	-0,097065
0,059167	0,1	-0,107317
0,060833	0,1	-0,113414
0,062500	0,1	-0,071485
0,064167	0,1	-0,098257
0,065833	0,1	-0,130299
0,067500	0,1	-0,148031
0,069167	0,1	-0,120835
0,070833	0,1	-0,151509
0,072500	0,1	-0,141720
0,074167	0,1	-0,119737
0,075833	0,1	-0,142485
0,077500	0,1	-0,120025
0,079167	0,1	-0,122697
0,080833	0,1	-0,118798
0,082500	0,1	-0,095751
0,084167	0,1	-0,102160
0,085833	0,1	-0,079765
0,087500	0,1	-0,066705
0,089167	0,1	-0,084878
0,090833	0,1	-0,119496
0,092500	0,1	-0,101394
0,094167	0,1	-0,105964
0,095833	0,1	-0,137034
0,097500	0,1	-0,129792
0,099167	0,1	-0,102942
0,100833	0,1	-0,126528
0,102500	0,1	-0,127563
0,104167	0,1	-0,146805
0,105833	0,1	-0,142943
0,107500	0,1	-0,141201
0,109167	0,1	-0,087704
0,110833	0,1	-0,161715
0,112500	0,1	-0,158832
0,114167	0,1	-0,115584
0,115833	0,1	-0,169262
0,117500	0,1	-0,153420
0,119167	0,1	-0,146327
0,120833	0,1	-0,104238
0,122500	0,1	-0,122695
0,124167	0,1	-0,122470
0,125833	0,1	-0,139037
0,127500	0,1	-0,135946
0,129167	0,1	-0,172296
0,130833	0,1	-0,115236
0,132500	0,1	-0,149444
0,134167	0,1	-0,149805
0,135833	0,1	-0,154480
0,137500	0,1	-0,114842
0,139167	0,1	-0,093399
0,140833	0,1	-0,147442
0,142500	0,1	-0,120900
0,144167	0,1	-0,100879
0,145833	0,1	-0,101905
0,147500	0,1	-0,097458
0,149167	0,1	-0,109898
0,150833	0,1	-0,107805
0,152500	0,1	-0,105388
0,154167	0,1	-0,084922
0,155833	0,1	-0,164743
0,157500	0,1	-0,088319
0,159167	0,1	-0,112506
