File Path	chrom://chromeleon01/ikbm_chromeleon/2022/Rezex/Esteban/220612_chitin_4_7.seq/320.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Sc10D_24h-NT_NA
Injection Number	36
Position	RD8
Comment	
Processing Method	New ProcMethod
Instrument Method	Short_Rezex_6min_194nm
Type	Unknown
Status	Finished
Injection Date	12.06.2022
Injection Time	21:01:00
Injection Volume (µl)	8,000
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000833
Time Max. (min)	6,000833
Data Points	3601
Detector	UV
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0,362180
Signal Max.	121,783669
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0,1
Max. Step (s)	0,1
Average Step (s)	0,1

Signal Parameter Information:
Signal Info	WVL:194 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0,000833	n.a.	-0,136170
0,002500	0,1	-0,150218
0,004167	0,1	-0,152929
0,005833	0,1	-0,141137
0,007500	0,1	-0,123214
0,009167	0,1	-0,150251
0,010833	0,1	-0,134851
0,012500	0,1	-0,120729
0,014167	0,1	-0,162466
0,015833	0,1	-0,132049
0,017500	0,1	-0,144256
0,019167	0,1	-0,110901
0,020833	0,1	-0,097645
0,022500	0,1	-0,136156
0,024167	0,1	-0,170525
0,025833	0,1	-0,151616
0,027500	0,1	-0,141461
0,029167	0,1	-0,191189
0,030833	0,1	-0,196063
0,032500	0,1	-0,145695
0,034167	0,1	-0,176009
0,035833	0,1	-0,178335
0,037500	0,1	-0,186200
0,039167	0,1	-0,195194
0,040833	0,1	-0,196968
0,042500	0,1	-0,186590
0,044167	0,1	-0,168060
0,045833	0,1	-0,202697
0,047500	0,1	-0,142827
0,049167	0,1	-0,139590
0,050833	0,1	-0,144876
0,052500	0,1	-0,132175
0,054167	0,1	-0,195534
0,055833	0,1	-0,165094
0,057500	0,1	-0,165922
0,059167	0,1	-0,176204
0,060833	0,1	-0,149684
0,062500	0,1	-0,140462
0,064167	0,1	-0,161632
0,065833	0,1	-0,151968
0,067500	0,1	-0,157868
0,069167	0,1	-0,147875
0,070833	0,1	-0,178234
0,072500	0,1	-0,180979
0,074167	0,1	-0,158159
0,075833	0,1	-0,152546
0,077500	0,1	-0,150676
0,079167	0,1	-0,132337
0,080833	0,1	-0,124981
0,082500	0,1	-0,102906
0,084167	0,1	-0,167200
0,085833	0,1	-0,129087
0,087500	0,1	-0,144354
0,089167	0,1	-0,148387
0,090833	0,1	-0,130112
0,092500	0,1	-0,085884
0,094167	0,1	-0,138123
0,095833	0,1	-0,144286
0,097500	0,1	-0,146996
0,099167	0,1	-0,119768
0,100833	0,1	-0,134459
0,102500	0,1	-0,149707
0,104167	0,1	-0,120702
0,105833	0,1	-0,143188
0,107500	0,1	-0,151833
0,109167	0,1	-0,181163
0,110833	0,1	-0,148749
0,112500	0,1	-0,127889
0,114167	0,1	-0,147452
0,115833	0,1	-0,141780
0,117500	0,1	-0,172626
0,119167	0,1	-0,185522
0,120833	0,1	-0,195674
0,122500	0,1	-0,180953
0,124167	0,1	-0,199124
0,125833	0,1	-0,140469
0,127500	0,1	-0,157829
0,129167	0,1	-0,166374
0,130833	0,1	-0,160799
0,132500	0,1	-0,142043
0,134167	0,1	-0,156446
0,135833	0,1	-0,163151
0,137500	0,1	-0,147682
0,139167	0,1	-0,149195
0,140833	0,1	-0,216326
0,142500	0,1	-0,132322
0,144167	0,1	-0,151347
0,145833	0,1	-0,142875
0,147500	0,1	-0,168240
0,149167	0,1	-0,122547
0,150833	0,1	-0,159145
0,152500	0,1	-0,122698
0,154167	0,1	-0,143578
0,155833	0,1	-0,160149
0,157500	0,1	-0,114679
0,159167	0,1	-0,117886
0,160833	0,1	-0,132909
0,162500	0,1	-0,134425
0,164167	0,1	-0,158472
0,165833	0,1	-0,138429
0,167500	0,1	-0,158793
0,169167	0,1	-0,149485
0,170833	0,1	-0,143166
0,172500	0,1	-0,129146
0,174167	0,1	-0,149802
0,175833	0,1	-0,134271
0,177500	0,1	-0,149029
0,179167	0,1	-0,114060
0,180833	0,1	-0,139290
0,182500	0,1	-0,178038
0,184167	0,1	-0,105172
0,185833	0,1	-0,144603
0,187500	0,1	-0,100846
0,189167	0,1	-0,145603
0,190833	0,1	-0,143069
0,192500	0,1	-0,155511
0,194167	0,1	-0,114647
0,195833	0,1	-0,107062
0,197500	0,1	-0,150795
0,199167	0,1	-0,155349
0,200833	0,1	-0,162345
0,202500	0,1	-0,153966
0,204167	0,1	-0,130302
0,205833	0,1	-0,130042
0,207500	0,1	-0,135909
0,209167	0,1	-0,141327
0,210833	0,1	-0,132530
0,212500	0,1	-0,142642
0,214167	0,1	-0,137841
0,215833	0,1	-0,118666
0,217500	0,1	-0,119595
0,219167	0,1	-0,118472
0,220833	0,1	-0,150509
0,222500	0,1	-0,133980
0,224167	0,1	-0,117026
0,225833	0,1	-0,152537
0,227500	0,1	-0,124571
0,229167	0,1	-0,116344
0,230833	0,1	-0,138001
0,232500	0,1	-0,151543
0,234167	0,1	-0,120733
0,235833	0,1	-0,127456
0,237500	0,1	-0,156888
0,239167	0,1	-0,122443
0,240833	0,1	-0,128332
0,242500	0,1	-0,135199
0,244167	0,1	-0,159761
0,245833	0,1	-0,178622
0,247500	0,1	-0,126997
0,249167	0,1	-0,144515
0,250833	0,1	-0,143198
0,252500	0,1	-0,121571
0,254167	0,1	-0,154342
0,255833	0,1	-0,099683
0,257500	0,1	-0,104480
0,259167	0,1	-0,139961
0,260833	0,1	-0,202820
0,262500	0,1	-0,135022
0,264167	0,1	-0,127275
0,265833	0,1	-0,115440
0,267500	0,1	-0,134783
0,269167	0,1	-0,122409
0,270833	0,1	-0,109092
0,272500	0,1	-0,177321
0,274167	0,1	-0,092343
0,275833	0,1	-0,128845
0,277500	0,1	-0,143161
0,279167	0,1	-0,153284
0,280833	0,1	-0,143941
0,282500	0,1	-0,131756
0,284167	0,1	-0,095295
0,285833	0,1	-0,102734
0,287500	0,1	-0,121816
0,289167	0,1	-0,178289
0,290833	0,1	-0,129440
0,292500	0,1	-0,165014
0,294167	0,1	-0,146361
0,295833	0,1	-0,168339
0,297500	0,1	-0,133501
0,299167	0,1	-0,152317
0,300833	0,1	-0,124028
0,302500	0,1	-0,137293
0,304167	0,1	-0,121830
0,305833	0,1	-0,141964
0,307500	0,1	-0,135818
0,309167	0,1	-0,130948
0,310833	0,1	-0,135236
0,312500	0,1	-0,146544
0,314167	0,1	-0,146968
0,315833	0,1	-0,116443
0,317500	0,1	-0,142932
0,319167	0,1	-0,143939
0,320833	0,1	-0,121280
0,322500	0,1	-0,144968
0,324167	0,1	-0,134530
0,325833	0,1	-0,099650
0,327500	0,1	-0,150793
0,329167	0,1	-0,090526
0,330833	0,1	-0,114793
0,332500	0,1	-0,144995
0,334167	0,1	-0,130436
0,335833	0,1	-0,165338
0,337500	0,1	-0,157900
0,339167	0,1	-0,169242
0,340833	0,1	-0,162283
0,342500	0,1	-0,106842
0,344167	0,1	-0,133455
0,345833	0,1	-0,123212
0,347500	0,1	-0,131041
0,349167	0,1	-0,117539
0,350833	0,1	-0,115537
0,352500	0,1	-0,136711
0,354167	0,1	-0,152703
0,355833	0,1	-0,103269
0,357500	0,1	-0,153887
0,359167	0,1	-0,119380
0,360833	0,1	-0,085947
0,362500	0,1	-0,164099
0,364167	0,1	-0,125959
0,365833	0,1	-0,112288
0,367500	0,1	-0,133233
0,369167	0,1	-0,132528
0,370833	0,1	-0,179355
0,372500	0,1	-0,118645
0,374167	0,1	-0,100877
0,375833	0,1	-0,129037
0,377500	0,1	-0,063740
0,379167	0,1	-0,132989
0,380833	0,1	-0,124826
0,382500	0,1	-0,102930
0,384167	0,1	-0,127137
0,385833	0,1	-0,158924
0,387500	0,1	-0,134887
0,389167	0,1	-0,090820
0,390833	0,1	-0,098285
0,392500	0,1	-0,138191
0,394167	0,1	-0,104967
0,395833	0,1	-0,125523
0,397500	0,1	-0,119922
0,399167	0,1	-0,114090
0,400833	0,1	-0,167264
0,402500	0,1	-0,126633
0,404167	0,1	-0,143026
0,405833	0,1	-0,146453
0,407500	0,1	-0,109996
0,409167	0,1	-0,140157
0,410833	0,1	-0,101071
0,412500	0,1	-0,120396
0,414167	0,1	-0,108548
0,415833	0,1	-0,084171
0,417500	0,1	-0,126525
0,419167	0,1	-0,132620
0,420833	0,1	-0,137584
0,422500	0,1	-0,089915
0,424167	0,1	-0,095706
0,425833	0,1	-0,144702
0,427500	0,1	-0,132175
0,429167	0,1	-0,112928
0,430833	0,1	-0,127945
0,432500	0,1	-0,134299
0,434167	0,1	-0,149962
0,435833	0,1	-0,081572
0,437500	0,1	-0,130582
0,439167	0,1	-0,158762
0,440833	0,1	-0,109296
0,442500	0,1	-0,078722
0,444167	0,1	-0,118528
0,445833	0,1	-0,088034
0,447500	0,1	-0,092061
0,449167	0,1	-0,144896
0,450833	0,1	-0,113640
0,452500	0,1	-0,103997
0,454167	0,1	-0,111340
0,455833	0,1	-0,128304
0,457500	0,1	-0,106415
0,459167	0,1	-0,149152
0,460833	0,1	-0,114097
0,462500	0,1	-0,128429
0,464167	0,1	-0,113091
0,465833	0,1	-0,105801
0,467500	0,1	-0,088937
0,469167	0,1	-0,119463
0,470833	0,1	-0,086331
0,472500	0,1	-0,106730
0,474167	0,1	-0,096962
0,475833	0,1	-0,077272
0,477500	0,1	-0,126037
0,479167	0,1	-0,106935
0,480833	0,1	-0,109190
0,482500	0,1	-0,099418
0,484167	0,1	-0,088102
0,485833	0,1	-0,093162
0,487500	0,1	-0,124621
0,489167	0,1	-0,090780
0,490833	0,1	-0,147150
0,492500	0,1	-0,105130
0,494167	0,1	-0,114310
0,495833	0,1	-0,113342
0,497500	0,1	-0,125265
0,499167	0,1	-0,072635
0,500833	0,1	-0,107371
0,502500	0,1	-0,066640
0,504167	0,1	-0,093091
0,505833	0,1	-0,109013
0,507500	0,1	-0,134165
0,509167	0,1	-0,086821
0,510833	0,1	-0,103470
0,512500	0,1	-0,107987
0,514167	0,1	-0,123011
0,515833	0,1	-0,100450
0,517500	0,1	-0,129681
0,519167	0,1	-0,104001
0,520833	0,1	-0,087719
0,522500	0,1	-0,097959
0,524167	0,1	-0,092426
0,525833	0,1	-0,117945
0,527500	0,1	-0,061251
0,529167	0,1	-0,082609
0,530833	0,1	-0,106894
0,532500	0,1	-0,077528
0,534167	0,1	-0,076108
0,535833	0,1	-0,088292
0,537500	0,1	-0,084941
0,539167	0,1	-0,052339
0,540833	0,1	-0,086648
0,542500	0,1	-0,116980
0,544167	0,1	-0,080819
0,545833	0,1	-0,069371
0,547500	0,1	-0,042253
0,549167	0,1	-0,100142
0,550833	0,1	-0,060379
0,552500	0,1	-0,095185
0,554167	0,1	-0,094541
0,555833	0,1	-0,016991
0,557500	0,1	-0,058068
0,559167	0,1	-0,076683
0,560833	0,1	-0,079969
0,562500	0,1	-0,074819
0,564167	0,1	-0,052541
0,565833	0,1	-0,090090
0,567500	0,1	-0,068206
0,569167	0,1	-0,069621
0,570833	0,1	-0,104820
0,572500	0,1	-0,069246
0,574167	0,1	-0,079546
0,575833	0,1	-0,063756
0,577500	0,1	-0,075161
0,579167	0,1	-0,097411
0,580833	0,1	-0,086905
0,582500	0,1	-0,092249
0,584167	0,1	-0,078683
